svelte-yarn;svelte-kit-yarn;react-yarn;react-vite-yarn;react-next-yarn;vue-yarn;vue-nuxt-yarn;angular-yarn;svelte-build;svelte-kit-build;react-build;react-vite-build;react-next-build;vue-build;vue-nuxt-build;angular-build;svelte-build-size;svelte-kit-build-size;react-build-size;react-vite-build-size;react-next-build-size;vue-build-size;vue-nuxt-build-size;angular-build-size
449;393;1174;382;544;747;755;906;1709;5868;8207;5161;19433;7960;7608;25566;28;124;548;164;396;684;184;204
392;411;1196;376;619;751;805;906;1711;5924;8213;5189;19473;7905;7586;25411;28;124;548;164;396;684;184;204
363;399;1149;381;564;759;781;928;1509;5812;8300;5222;19584;8019;7513;25841;28;124;548;164;396;684;184;204
373;399;1165;381;550;751;771;938;1488;5858;8231;5177;19542;7899;7549;25511;28;124;548;164;396;684;184;204
382;403;1135;392;575;767;771;918;1526;5891;8216;5189;19420;8049;7641;25725;28;124;548;164;396;684;184;204
394;394;1163;394;569;749;770;908;1526;5927;8233;5196;19439;8070;7622;25445;28;124;548;164;396;684;184;204
379;396;1154;397;568;734;764;915;1558;5896;8389;5192;19444;7947;7779;25785;28;124;548;164;396;684;184;204
370;400;1167;383;566;761;767;926;1558;5861;8186;5203;19500;7979;7689;25477;28;124;548;164;396;684;184;204
395;400;1155;384;559;773;787;924;1555;5875;8264;5192;19977;7922;7560;25553;28;124;548;164;396;684;184;204
375;389;1161;386;550;751;768;940;1542;5909;8168;5169;19366;7800;7654;25709;28;124;548;164;396;684;184;204
396;396;1145;390;578;771;788;921;1718;5897;8255;5253;19362;7988;7513;25526;28;124;548;164;396;684;184;204
378;409;1183;388;585;760;779;924;1532;5850;8277;5171;19442;8067;7529;25483;28;124;548;164;396;684;184;204
409;387;1184;384;561;781;795;904;1549;5959;8254;5183;19693;7962;7540;25986;28;124;548;164;396;684;184;204
371;391;1148;381;570;764;759;929;1555;5920;8241;5267;19582;7932;7542;25679;28;124;548;164;396;684;184;204
372;405;1163;387;577;746;808;905;1596;5929;8225;5190;19355;7923;7629;25325;28;124;548;164;396;684;184;204
375;407;1161;387;550;748;764;908;1509;5962;8188;5154;19354;8037;7585;25433;28;124;548;164;396;684;184;204
373;391;1165;384;555;750;781;931;1517;5835;8230;5228;19745;7907;7462;25342;28;124;548;164;396;684;184;204
399;401;1170;387;557;755;793;904;1555;5848;8246;5169;19780;7965;7519;25790;28;124;548;164;396;684;184;204
373;397;1174;389;553;763;786;903;1528;5875;8216;5134;19805;7867;7587;25522;28;124;548;164;396;684;184;204
394;400;1156;395;587;758;807;925;1738;5883;8285;5209;19410;8012;7645;25485;28;124;548;164;396;684;184;204
375;406;1174;392;576;763;775;910;1552;5880;8213;5200;19547;7916;7593;25289;28;124;548;164;396;684;184;204
376;394;1161;403;566;769;780;911;1571;5883;8275;5218;19276;7931;7628;25629;28;124;548;164;396;684;184;204
370;407;1148;374;574;769;771;934;1505;5837;8202;5210;19438;8000;7564;25444;28;124;548;164;396;684;184;204
373;384;1144;383;559;779;771;911;1546;5884;8359;5187;19452;8063;7665;25412;28;124;548;164;396;684;184;204
381;397;1149;379;578;757;794;915;1588;6223;8240;5225;21036;8059;7503;25699;28;124;548;164;396;684;184;204
387;398;1175;377;559;764;780;915;1529;5964;8294;5189;19853;7950;7580;25404;28;124;548;164;396;684;184;204
376;396;1150;370;561;755;756;915;1535;5852;8298;5146;19351;7991;7502;25671;28;124;548;164;396;684;184;204
408;396;1180;392;567;775;786;929;1575;5885;8247;5190;19510;8028;7724;25118;28;124;548;164;396;684;184;204
370;414;1150;378;566;775;778;923;1648;5924;8278;5240;19777;8036;7551;25551;28;124;548;164;396;684;184;204
370;403;1169;391;540;760;772;920;1514;6079;8269;5179;19926;8028;7631;25515;28;124;548;164;396;684;184;204
396;394;1170;386;568;779;776;919;1712;5911;8196;5180;19964;7936;7579;25472;28;124;548;164;396;684;184;204
382;391;1159;380;576;775;794;908;1536;5859;8253;5137;19635;7997;7526;25529;28;124;548;164;396;684;184;204
386;404;1173;380;584;740;808;917;1545;5889;8357;5195;19712;7979;7466;25032;28;124;548;164;396;684;184;204
367;401;1150;396;558;750;781;903;1618;5882;8279;5173;19439;7979;7563;25521;28;124;548;164;396;684;184;204
471;400;1176;391;609;794;782;906;1717;5896;8211;5208;20406;8015;7576;25604;28;124;548;164;396;684;184;204
475;386;1201;374;563;754;799;899;1659;5972;8269;5217;20115;7846;7581;25432;28;124;548;164;396;684;184;204
451;396;1192;383;577;788;794;891;1672;5967;8251;5183;20178;7983;7496;25539;28;124;548;164;396;684;184;204
478;397;1148;392;558;760;778;923;1642;6047;8231;5190;19540;8109;7541;25527;28;124;548;164;396;684;184;204
389;399;1189;375;566;767;784;916;1549;5906;8293;5171;19396;8049;7710;25339;28;124;548;164;396;684;184;204
387;399;1259;399;572;742;789;900;1569;5884;8204;5149;19324;7920;7576;25399;28;124;548;164;396;684;184;204
456;405;1202;382;558;757;794;921;1653;5945;8249;5174;19661;7953;7561;25068;28;124;548;164;396;684;184;204
388;391;1131;377;571;757;791;895;1527;5979;8203;5182;19445;7853;7660;25545;28;124;548;164;396;684;184;204
394;379;1179;381;565;751;783;912;1533;5881;8247;5189;19647;8027;7558;25593;28;124;548;164;396;684;184;204
384;427;1137;375;549;772;774;909;1511;5929;8248;5152;19440;7935;7629;25646;28;124;548;164;396;684;184;204
388;386;1147;378;554;764;769;912;1542;5845;8242;5218;19431;7963;7647;25384;28;124;548;164;396;684;184;204
380;392;1144;386;557;766;757;899;1534;6094;8305;5136;19778;7899;7557;25675;28;124;548;164;396;684;184;204
375;385;1145;378;574;749;776;923;1512;5972;8285;5159;19738;8168;7598;25722;28;124;548;164;396;684;184;204
398;393;1183;383;563;750;773;918;1633;5999;8183;5201;20061;7972;7556;25630;28;124;548;164;396;684;184;204
383;406;1159;382;569;758;784;909;1555;5860;8244;5145;20544;8032;7597;25544;28;124;548;164;396;684;184;204
400;398;1145;371;581;765;780;931;1544;5877;8183;5214;19346;7958;7561;25628;28;124;548;164;396;684;184;204
447;387;1160;378;569;758;777;930;1670;5983;8246;5221;19670;8013;7491;25619;28;124;548;164;396;684;184;204
431;403;1192;392;653;760;786;916;1525;5899;8239;5168;19857;8017;7500;25323;28;124;548;164;396;684;184;204
400;396;1185;392;567;769;785;902;1571;5842;8285;5485;19579;7867;7659;25843;28;124;548;164;396;684;184;204
373;397;1161;361;548;761;769;897;1578;5922;8279;5201;19191;7900;7571;25531;28;124;548;164;396;684;184;204
390;391;1159;376;560;780;767;890;1519;5928;8187;5171;19403;7959;7582;25245;28;124;548;164;396;684;184;204
367;393;1161;389;566;772;783;919;1541;5900;8193;5150;19337;7967;7557;25411;28;124;548;164;396;684;184;204
374;401;1175;379;555;751;784;911;1525;5891;8281;5155;19549;7970;7597;25463;28;124;548;164;396;684;184;204
373;391;1145;387;554;764;759;894;1564;5890;8275;5160;19765;7998;7600;25427;28;124;548;164;396;684;184;204
378;383;1172;379;565;755;771;899;1540;5935;8221;5184;19251;8137;7529;25643;28;124;548;164;396;684;184;204
381;389;1171;381;578;764;798;926;1720;5890;8153;5192;20156;7987;7591;25581;28;124;548;164;396;684;184;204
392;397;1185;391;575;764;803;903;1553;5921;8363;5190;19469;8163;7652;25485;28;124;548;164;396;684;184;204
388;391;1142;395;563;779;768;915;1509;5908;8270;5189;19941;8069;7551;25569;28;124;548;164;396;684;184;204
382;387;1175;384;550;765;769;903;1500;5864;8319;5198;19404;7861;7602;25389;28;124;548;164;396;684;184;204
381;396;1168;375;564;777;767;906;1491;5882;8185;5334;20612;7990;7605;25581;28;124;548;164;396;684;184;204
385;407;1176;383;556;761;761;904;1553;5930;8290;5167;19422;8055;7576;25362;28;124;548;164;396;684;184;204
395;409;1156;403;558;746;786;925;1567;5948;8233;5220;20069;8046;7567;25510;28;124;548;164;396;684;184;204
370;395;1161;380;556;748;790;915;1534;5840;8215;5240;19501;7914;7583;25572;28;124;548;164;396;684;184;204
390;407;1147;390;561;754;769;903;1529;5877;8202;5164;19345;7847;7638;25486;28;124;548;164;396;684;184;204
389;417;1187;394;545;757;769;904;1508;5835;8232;5164;20271;7850;7703;25541;28;124;548;164;396;684;184;204
371;388;1158;379;550;763;767;922;1525;5869;8276;5254;19722;7984;7624;25659;28;124;548;164;396;684;184;204
380;388;1166;398;561;769;780;913;1495;6017;8204;5228;19631;7927;7567;25636;28;124;548;164;396;684;184;204
390;418;1183;369;546;752;789;897;1565;6132;8247;5226;20012;7795;7603;25673;28;124;548;164;396;684;184;204
393;407;1194;387;567;767;798;906;1663;5891;8289;5117;20312;8012;7646;25185;28;124;548;164;396;684;184;204
410;384;1190;408;559;772;766;913;1530;5892;8263;5193;19718;7915;7556;25602;28;124;548;164;396;684;184;204
402;397;1164;374;563;768;791;909;1545;5931;8240;5188;19478;8053;7543;25386;28;124;548;164;396;684;184;204
