svelte-yarn;svelte-kit-yarn;react-yarn;react-vite-yarn;react-next-yarn;vue-yarn;vue-nuxt-yarn;angular-yarn;svelte-build;svelte-kit-build;react-build;react-vite-build;react-next-build;vue-build;vue-nuxt-build;angular-build;svelte-build-size;svelte-kit-build-size;react-build-size;react-vite-build-size;react-next-build-size;vue-build-size;vue-nuxt-build-size;angular-build-size
;;;;;;;;1059;4033;5138;2870;11708;4632;4316;16048;28;124;548;164;396;684;184;204
;;;;;;;;919;3348;4728;2922;12388;4561;4254;15942;28;124;548;164;396;684;184;204
;;;;;;;;1008;3430;4676;2842;12543;4575;4233;16026;28;124;548;164;396;684;184;204
;;;;;;;;903;3403;4873;2944;11782;4621;4307;15866;28;124;548;164;396;684;184;204
;;;;;;;;894;3363;4655;2907;11682;4648;4319;17327;28;124;548;164;396;684;184;204
;;;;;;;;877;3506;4926;3059;12278;5024;4615;17231;28;124;548;164;396;684;184;204
;;;;;;;;928;3790;4967;3040;11890;5180;4603;17014;28;124;548;164;396;684;184;204
;;;;;;;;886;3630;5000;3056;12001;5059;4588;16857;28;124;548;164;396;684;184;204
;;;;;;;;900;3539;4989;2913;12091;4988;4427;16830;28;124;548;164;396;684;184;204
;;;;;;;;910;3539;4872;3218;12153;4976;4473;16940;28;124;548;164;396;684;184;204
;;;;;;;;904;3390;4918;3033;12011;4799;4491;16824;28;124;548;164;396;684;184;204
;;;;;;;;969;3517;4951;3145;11899;5071;4585;17091;28;124;548;164;396;684;184;204
;;;;;;;;895;3719;5071;3048;12072;4976;4492;17009;28;124;548;164;396;684;184;204
;;;;;;;;888;3511;5017;3148;12127;4982;4677;16973;28;124;548;164;396;684;184;204
;;;;;;;;910;3579;5013;3022;12185;4982;4478;16853;28;124;548;164;396;684;184;204
;;;;;;;;879;3502;4991;2997;12180;4992;4466;16816;28;124;548;164;396;684;184;204
;;;;;;;;943;3472;4952;3046;12075;5178;4611;16972;28;124;548;164;396;684;184;204
;;;;;;;;884;3487;4926;3097;11969;4942;4672;17130;28;124;548;164;396;684;184;204
;;;;;;;;943;3446;4980;3216;12022;4897;4488;16849;28;124;548;164;396;684;184;204
;;;;;;;;970;3545;4900;3012;12008;4991;4472;16914;28;124;548;164;396;684;184;204
;;;;;;;;872;3502;4934;2955;12239;4949;4508;16913;28;124;548;164;396;684;184;204
;;;;;;;;925;3485;5043;3016;11936;5003;4444;16663;28;124;548;164;396;684;184;204
;;;;;;;;885;3665;4975;3069;11913;5039;4487;16755;28;124;548;164;396;684;184;204
;;;;;;;;940;3512;5076;3236;11890;4981;4493;16932;28;124;548;164;396;684;184;204
;;;;;;;;881;3522;5011;3079;12301;5082;4542;16899;28;124;548;164;396;684;184;204
;;;;;;;;886;3517;4917;3048;12244;4914;4552;16703;28;124;548;164;396;684;184;204
;;;;;;;;895;3570;4920;3007;12017;5162;4553;16997;28;124;548;164;396;684;184;204
;;;;;;;;958;3544;5017;3091;12278;4967;4692;16892;28;124;548;164;396;684;184;204
;;;;;;;;929;3504;4932;3055;12157;4993;4642;17218;28;124;548;164;396;684;184;204
;;;;;;;;917;3440;4957;3088;12076;4841;4569;17203;28;124;548;164;396;684;184;204
;;;;;;;;984;3495;5043;3141;12081;5053;4629;17056;28;124;548;164;396;684;184;204
;;;;;;;;952;3477;4993;3110;12012;4993;4589;16953;28;124;548;164;396;684;184;204
;;;;;;;;876;3478;4985;3053;12080;4931;4562;16888;28;124;548;164;396;684;184;204
;;;;;;;;883;3540;5046;2998;11950;5006;4628;16688;28;124;548;164;396;684;184;204
;;;;;;;;932;3516;4960;3144;12277;4922;4505;16849;28;124;548;164;396;684;184;204
;;;;;;;;939;3544;4911;2999;12121;4949;4575;16955;28;124;548;164;396;684;184;204
;;;;;;;;918;3449;4971;3083;12221;4926;4476;17230;28;124;548;164;396;684;184;204
;;;;;;;;958;3487;4984;3058;12118;5164;4588;16837;28;124;548;164;396;684;184;204
;;;;;;;;876;3652;5031;3126;12031;4950;4724;17139;28;124;548;164;396;684;184;204
;;;;;;;;904;3520;4983;3096;12031;5021;4593;17134;28;124;548;164;396;684;184;204
;;;;;;;;883;3595;4959;3098;12034;4919;4530;17194;28;124;548;164;396;684;184;204
;;;;;;;;885;3548;4961;2988;13167;5001;4598;17109;28;124;548;164;396;684;184;204
;;;;;;;;959;3580;4974;3080;12176;5025;4624;16789;28;124;548;164;396;684;184;204
