install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
205940;16137;1812;825;208;33;33;31
16282;15308;1812;825;208;38;37;31
18188;15304;1812;825;208;35;36;35
23029;15195;1812;825;208;30;32;33
23184;15141;1812;825;208;33;30;30
30224;15171;1812;825;208;27;34;30
14719;23600;1812;825;208;35;32;34
28804;15872;1812;825;208;32;31;34
27918;15926;1812;825;208;38;31;50
15028;22973;1812;825;208;32;33;30
24485;15942;1812;825;208;31;30;31
33626;15971;1812;825;208;32;30;34
31232;15809;1812;825;208;27;34;31
30422;15799;1812;825;208;31;31;32
27448;15887;1812;825;208;29;34;28
24647;16079;1812;825;208;31;31;32
14537;21612;1812;825;208;35;35;31
19753;16087;1812;825;208;36;33;33
30887;16134;1812;825;208;36;31;35
32215;16056;1812;825;208;32;32;34
31678;15941;1812;825;208;29;35;35
15123;21631;1812;825;208;35;31;32
28693;15966;1812;825;208;29;36;33
16203;15449;1812;825;208;30;34;31
29617;15212;1812;825;208;30;33;30
32621;16082;1812;825;208;32;28;44
15156;28528;1812;825;208;31;31;45
17423;15868;1812;825;208;35;29;31
14759;30610;1812;825;208;35;32;27
12378;16363;1812;825;208;35;32;36
33848;16040;1812;825;208;35;33;32
23829;15934;1812;825;208;35;32;35
15947;28310;1812;825;208;33;34;31
33296;16099;1812;825;208;29;32;31
13724;17508;1812;825;208;36;36;31
28149;16036;1812;825;208;32;32;35
32358;15824;1812;825;208;32;31;32
14499;26862;1812;825;208;33;32;35
22021;23977;1812;825;208;38;35;35
31859;15877;1812;825;208;32;31;39
31810;15902;1812;825;208;37;32;31
29954;16022;1812;825;208;32;121;32
14431;22608;1812;825;208;34;33;31
28028;15214;1812;825;208;35;35;34
27285;15466;1812;825;208;34;31;30
24135;15364;1812;825;208;30;33;33
32072;15437;1812;825;208;30;30;31
24995;15306;1812;825;208;31;31;34
15046;31259;1812;825;208;29;30;30
14664;22492;1812;825;208;30;31;32
12592;24532;1812;825;208;31;30;30
17102;15413;1812;825;208;32;34;33
15249;24472;1812;825;208;0;0;0
16039;19298;1812;825;208;145;33;43
17143;30465;1812;825;208;29;29;31
31006;19241;1812;825;208;31;31;32
24378;19050;1812;825;208;841;34;32
15282;24806;1812;825;208;32;31;32
15693;26054;1812;825;208;30;36;30
15398;31820;1812;825;208;30;28;35
14824;32187;1812;825;208;37;43;35
16107;28481;1812;825;208;30;30;30
15421;29756;1812;825;208;32;32;36
16610;23010;1812;825;208;0;0;0
15555;32984;1812;825;208;0;0;0
26252;18008;1812;825;208;0;0;0
205626;16164;1812;825;208;34;38;38
24088;15521;1812;825;208;33;37;31
14160;21283;1812;825;208;30;30;30
25713;14957;1812;825;208;33;34;30
15149;22363;1812;825;208;33;30;34
14170;27978;1812;825;208;34;29;30
24527;15129;1812;825;208;30;29;33
15221;15100;1812;825;208;31;30;35
14541;22355;1812;825;208;35;30;30
14861;22701;1812;825;208;31;32;30
14541;29420;1812;825;208;31;29;30
27820;15171;1812;825;208;37;33;30
15150;22620;1812;825;208;30;30;29
15354;27649;1812;825;208;31;30;29
11955;25028;1812;825;208;31;31;30
33080;15313;1812;825;208;30;32;31
14877;27422;1812;825;208;34;30;30
25975;15543;1812;825;208;31;34;33
30163;17495;1812;825;208;45;48;34
14027;25322;1812;825;208;29;36;40
22631;15713;1812;825;208;31;35;33
15871;29312;1812;825;208;34;35;31
14853;28748;1812;825;208;35;36;32
19385;15736;1812;825;208;34;32;30
14650;28864;1812;825;208;33;32;30
15181;29717;1812;825;208;31;31;31
15722;21805;1812;825;208;34;35;35
28258;17535;1812;825;208;33;34;33
28833;15892;1812;825;208;32;36;32
14527;30764;1812;825;208;35;36;31
15220;24116;1812;825;208;30;33;31
33519;15620;1812;825;208;32;30;31
23532;15761;1812;825;208;31;31;30
16330;15934;1812;825;208;32;36;33
14087;29880;1812;825;208;36;30;31
30968;15800;1812;825;208;33;32;31
15436;30655;1812;825;208;34;38;31
14364;22669;1812;825;208;33;35;34
