install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
78428;19547;549;269;404;0;0;0
27610;17532;549;269;404;0;0;0
27484;17889;549;269;404;0;0;0
15571;17245;549;269;404;0;0;0
25019;17288;549;269;404;0;0;0
7221;24486;549;269;404;0;0;0
10378;24638;549;269;404;0;0;0
7670;27636;549;269;404;0;0;0
7110;26064;549;269;404;0;0;0
12587;18184;549;269;404;0;0;0
26010;18055;549;269;404;0;0;0
26686;18101;549;269;404;0;0;0
27689;18586;549;269;404;0;0;0
29371;18100;549;269;404;0;0;0
21281;17992;549;269;404;0;0;0
7371;22567;549;269;404;0;0;0
7302;20692;549;269;404;0;0;0
28413;17958;549;269;404;0;0;0
10830;31937;549;269;404;0;0;0
27667;17996;549;269;404;0;0;0
7293;28495;549;269;404;0;0;0
8689;18140;549;269;404;0;0;0
25496;18231;549;269;404;0;0;0
22509;17439;549;269;404;0;0;0
25616;18004;549;269;404;0;0;0
26850;18117;549;269;404;0;0;0
7401;23792;549;269;404;0;0;0
24952;18450;549;269;404;0;0;0
7068;22044;549;269;404;0;0;0
26848;17932;549;269;404;0;0;0
29147;18092;549;269;404;0;0;0
29840;17962;549;269;404;0;0;0
24720;18422;549;269;404;0;0;0
6543;22246;549;269;404;0;0;0
21652;18597;549;269;404;0;0;0
27880;18022;549;269;404;0;0;0
7230;26166;549;269;404;0;0;0
11542;31300;549;269;404;0;0;0
27289;19158;549;269;404;0;0;0
11637;26485;549;269;404;0;0;0
24513;33161;549;269;404;0;0;0
29676;18300;549;269;404;0;0;0
12434;20638;549;269;404;0;0;0
28531;17590;549;269;404;0;0;0
29776;17656;549;269;404;0;0;0
29787;17498;549;269;404;0;0;0
31012;17618;549;269;404;0;0;0
22276;24990;549;269;404;0;0;0
13715;30178;549;269;404;0;0;0
13827;20359;549;269;404;0;0;0
18434;17527;549;269;404;0;0;0
31801;0;549;269;404;0;0;0
12928;0;549;269;404;0;0;0
32010;22321;549;269;404;0;0;0
19889;26233;549;269;404;0;0;0
28880;21709;549;269;404;0;0;0
32518;23726;549;269;404;0;0;0
15877;24042;549;269;404;0;0;0
13209;25172;549;269;404;0;0;0
14272;27601;549;269;404;0;0;0
25957;21829;549;269;404;0;0;0
13159;24223;549;269;404;0;0;0
28142;21333;549;269;404;0;0;0
21387;21943;549;269;404;0;0;0
7996;28151;549;269;404;0;0;0
30345;22090;549;269;404;0;0;0
77854;19557;549;269;404;0;0;0
8259;28530;549;269;404;0;0;0
13123;17469;549;269;404;0;0;0
29621;17295;549;269;404;0;0;0
12275;17469;549;269;404;0;0;0
8860;25446;549;269;404;0;0;0
12504;34282;549;269;404;0;0;0
28265;17294;549;269;404;0;0;0
27753;17393;549;269;404;0;0;0
22049;17364;549;269;404;0;0;0
13216;22967;549;269;404;0;0;0
12307;33429;549;269;404;0;0;0
22754;17339;549;269;404;0;0;0
12416;27982;549;269;404;0;0;0
27417;17594;549;269;404;0;0;0
27480;17751;549;269;404;0;0;0
10096;26600;549;269;404;0;0;0
31452;21104;549;269;404;0;0;0
31000;21096;549;269;404;0;0;0
13552;24354;549;269;404;0;0;0
31518;18518;549;269;404;0;0;0
30722;18155;549;269;404;0;0;0
13820;24511;549;269;404;0;0;0
32914;17984;549;269;404;0;0;0
28199;17937;549;269;404;0;0;0
13789;27628;549;269;404;0;0;0
17574;18166;549;269;404;0;0;0
12159;22897;549;269;404;0;0;0
32619;18080;549;269;404;0;0;0
13009;32419;549;269;404;0;0;0
13356;20853;549;269;404;0;0;0
8445;24478;549;269;404;0;0;0
12163;28494;549;269;404;0;0;0
33332;17985;549;269;404;0;0;0
10999;22667;549;269;404;0;0;0
31975;19056;549;269;404;0;0;0
14663;28908;549;269;404;0;0;0
16613;22479;549;269;404;0;0;0
34557;35975;549;269;404;0;24731;25116
14473;20003;549;269;404;24284;24848;24595
14385;21005;549;269;404;24550;24579;24608
13424;24256;549;269;404;24575;24690;24679
13340;19684;549;269;404;25189;24862;25106
18357;20436;549;269;404;25619;25578;25307
14438;23516;549;269;404;24997;24887;25027
17378;19985;549;269;404;25462;24974;25029
13838;20706;549;269;404;24923;24752;24988
8152;19004;549;269;404;25086;24888;24961
21589;19217;549;269;404;25468;25485;25637
8343;20390;549;269;404;24898;24995;25011
10704;19739;549;269;404;26530;25278;25189
17069;20652;549;269;404;26178;25660;25580
