install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
3571;3618;171;102;164;0;0;0
1912;7231;171;102;164;0;0;0
1313;2932;171;102;164;0;0;0
1900;2787;171;102;164;0;0;0
1289;2798;171;102;164;0;0;0
1321;2906;171;102;164;0;0;0
1315;2897;171;102;164;0;0;0
1314;2894;171;102;164;0;0;0
1376;2889;171;102;164;0;0;0
1278;2999;171;102;164;0;0;0
1317;2860;171;102;164;0;0;0
1331;2868;171;102;164;0;0;0
1557;2896;171;102;164;0;0;0
1340;7704;171;102;164;0;0;0
1298;2934;171;102;164;0;0;0
1329;2951;171;102;164;0;0;0
1389;2886;171;102;164;0;0;0
1331;2929;171;102;164;0;0;0
1258;2846;171;102;164;0;0;0
1338;2847;171;102;164;0;0;0
1339;2917;171;102;164;0;0;0
1309;2939;171;102;164;0;0;0
1384;6027;171;102;164;0;0;0
1319;5105;171;102;164;0;0;0
1337;2893;171;102;164;0;0;0
1337;2904;171;102;164;0;0;0
1348;3024;171;102;164;0;0;0
1338;3267;171;102;164;0;0;0
1296;2882;171;102;164;0;0;0
2466;2928;171;102;164;0;0;0
1321;4183;171;102;164;0;0;0
1307;3000;171;102;164;0;0;0
1373;2966;171;102;164;0;0;0
1255;2909;171;102;164;0;0;0
1918;3141;171;102;164;0;0;0
1352;2880;171;102;164;0;0;0
1378;2920;171;102;164;0;0;0
1329;2898;171;102;164;0;0;0
1438;2950;171;102;164;0;0;0
1654;2890;171;102;164;0;0;0
1355;2853;171;102;164;0;0;0
1419;3852;171;102;164;0;0;0
1316;2779;171;102;164;0;0;0
2751;2844;171;102;164;0;0;0
1400;7105;171;102;164;0;0;0
1359;2778;171;102;164;0;0;0
1307;2773;171;102;164;0;0;0
1295;2790;171;102;164;0;0;0
1305;2807;171;102;164;0;0;0
1313;2776;171;102;164;0;0;0
3015;3506;171;102;164;0;0;0
1282;2848;171;102;164;0;0;0
1265;2792;171;102;164;0;0;0
1519;3358;171;102;164;0;0;0
1422;3298;171;102;164;0;0;0
1551;4546;171;102;164;0;0;0
1577;4020;171;102;164;0;0;0
1905;3025;171;102;164;0;0;0
1488;3433;171;102;164;0;0;0
1389;3264;171;102;164;0;0;0
1479;3370;171;102;164;0;0;0
1503;3292;171;102;164;0;0;0
1535;4090;171;102;164;0;0;0
3536;3266;171;102;164;0;0;0
1400;3215;171;102;164;0;0;0
1532;6828;171;102;164;0;0;0
4068;3303;171;102;164;0;0;0
2495;2748;171;102;164;0;0;0
1718;2816;171;102;164;0;0;0
1330;2745;171;102;164;0;0;0
4459;2806;171;102;164;0;0;0
1259;2789;171;102;164;0;0;0
1314;2778;171;102;164;0;0;0
1326;2771;171;102;164;0;0;0
5204;2782;171;102;164;0;0;0
1668;9465;171;102;164;0;0;0
1498;2940;171;102;164;0;0;0
1292;2780;171;102;164;0;0;0
4683;2802;171;102;164;0;0;0
1309;2789;171;102;164;0;0;0
1251;2790;171;102;164;0;0;0
1342;2994;171;102;164;0;0;0
1337;2780;171;102;164;0;0;0
3087;3572;171;102;164;0;0;0
1358;3260;171;102;164;0;0;0
1328;2883;171;102;164;0;0;0
1306;2892;171;102;164;0;0;0
1304;2875;171;102;164;0;0;0
1332;3242;171;102;164;0;0;0
1339;2891;171;102;164;0;0;0
1364;2838;171;102;164;0;0;0
1304;2925;171;102;164;0;0;0
1270;2872;171;102;164;0;0;0
1363;2892;171;102;164;0;0;0
1434;2949;171;102;164;0;0;0
1301;2873;171;102;164;0;0;0
1282;2876;171;102;164;0;0;0
1299;2935;171;102;164;0;0;0
1284;2915;171;102;164;0;0;0
1310;3891;171;102;164;0;0;0
1317;2917;171;102;164;0;0;0
1417;6320;171;102;164;0;0;0
1391;3086;171;102;164;0;0;0
1309;2886;171;102;164;0;0;0
1364;3489;171;102;164;25193;25389;25355
1397;3104;171;102;164;24341;24583;24217
1416;3076;171;102;164;24246;24315;24326
1454;3078;171;102;164;24425;24307;24373
1383;3150;171;102;164;24641;24604;24733
1425;3242;171;102;164;25243;25146;25297
1387;3036;171;102;164;24754;24591;25082
1378;3001;171;102;164;24738;24777;24545
1367;3203;171;102;164;24748;24705;24712
1401;3071;171;102;164;24581;24917;25160
1417;3105;171;102;164;24889;25148;25274
1415;3023;171;102;164;25066;25130;24700
1423;3062;171;102;164;24447;24653;24670
1400;3287;171;102;164;25334;25358;24964
