install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
173825;5748;2617;1129;548;31;32;29
18426;5655;2617;1129;548;32;30;29
19136;5668;2617;1129;548;33;30;51
19121;5656;2617;1129;548;34;34;30
22721;5797;2617;1129;548;31;31;30
30956;5861;2617;1129;548;32;32;32
24433;6000;2617;1129;548;31;32;42
27022;6088;2617;1129;548;32;35;31
30259;6166;2617;1129;548;36;31;31
18935;5978;2617;1129;548;32;31;35
26118;5921;2617;1129;548;31;31;35
29600;5908;2617;1129;548;33;31;34
28671;5878;2617;1129;548;31;35;31
23847;6421;2617;1129;548;32;33;32
25196;5933;2617;1129;548;32;33;31
25251;5985;2617;1129;548;32;32;41
18405;19665;2617;1129;548;33;36;34
22379;5927;2617;1129;548;32;31;32
16990;5963;2617;1129;548;32;31;31
20492;5936;2617;1129;548;35;34;31
30987;5922;2617;1129;548;35;35;34
19704;5845;2617;1129;548;32;33;29
22815;5951;2617;1129;548;34;36;36
17887;5748;2617;1129;548;30;34;34
27657;5942;2617;1129;548;31;32;31
31642;5952;2617;1129;548;30;35;34
29831;5910;2617;1129;548;32;32;31
27129;6215;2617;1129;548;34;32;34
32010;5999;2617;1129;548;36;35;33
23677;5934;2617;1129;548;35;33;31
20421;5906;2617;1129;548;33;35;35
26145;5937;2617;1129;548;35;33;32
33001;5885;2617;1129;548;35;31;35
21567;6127;2617;1129;548;32;32;31
19137;5947;2617;1129;548;27;32;28
26512;5981;2617;1129;548;35;33;30
30228;6042;2617;1129;548;35;35;32
32602;5959;2617;1129;548;39;31;35
19387;5961;2617;1129;548;35;32;34
34058;5941;2617;1129;548;31;35;33
32837;6033;2617;1129;548;31;35;33
21907;5904;2617;1129;548;36;31;34
17791;16738;2617;1129;548;34;30;34
20750;5712;2617;1129;548;30;31;30
23106;5796;2617;1129;548;31;34;29
32147;5694;2617;1129;548;34;34;30
30835;5629;2617;1129;548;33;34;34
22244;5715;2617;1129;548;35;30;31
27860;5726;2617;1129;548;33;35;30
17612;16698;2617;1129;548;30;34;34
16807;5783;2617;1129;548;30;32;32
22498;5700;2617;1129;548;32;36;29
17001;5666;2617;1129;548;0;0;0
18779;7627;2617;1129;548;30;45;38
19032;6775;2617;1129;548;38;40;33
19564;7001;2617;1129;548;33;32;29
18332;6806;2617;1129;548;30;29;29
18859;8386;2617;1129;548;32;34;29
18643;21113;2617;1129;548;32;33;33
18732;18017;2617;1129;548;33;29;28
18451;7972;2617;1129;548;30;31;35
18191;20252;2617;1129;548;32;36;35
22082;7045;2617;1129;548;45;34;43
18802;6911;2617;1129;548;0;0;0
32918;7332;2617;1129;548;0;0;0
20830;7081;2617;1129;548;0;0;0
184029;5775;2617;1129;548;34;34;38
28607;5634;2617;1129;548;39;34;33
17200;16954;2617;1129;548;36;32;30
29750;5640;2617;1129;548;30;34;30
16563;15263;2617;1129;548;38;34;30
27989;5661;2617;1129;548;33;30;32
21910;5628;2617;1129;548;31;30;30
16842;5776;2617;1129;548;30;31;33
16868;5649;2617;1129;548;31;30;34
16910;5628;2617;1129;548;38;35;32
30187;5651;2617;1129;548;33;34;31
25731;5656;2617;1129;548;33;32;30
17691;5640;2617;1129;548;33;32;32
25732;5631;2617;1129;548;29;30;30
16239;5660;2617;1129;548;30;31;30
30970;5635;2617;1129;548;33;29;38
29189;5670;2617;1129;548;32;35;30
35236;5648;2617;1129;548;34;30;105
29506;6511;2617;1129;548;30;31;38
17334;19891;2617;1129;548;29;31;31
22855;6185;2617;1129;548;31;31;34
26127;6035;2617;1129;548;31;31;31
28474;5897;2617;1129;548;32;34;31
25294;5956;2617;1129;548;34;31;31
33731;6148;2617;1129;548;37;32;31
27196;5902;2617;1129;548;32;32;31
16104;5885;2617;1129;548;1088;30;30
33539;5887;2617;1129;548;35;34;36
20993;5870;2617;1129;548;31;31;31
27909;5860;2617;1129;548;33;31;32
18312;18530;2617;1129;548;34;33;34
17434;5863;2617;1129;548;35;33;31
25534;5916;2617;1129;548;32;31;32
19811;5899;2617;1129;548;34;31;32
27163;5883;2617;1129;548;31;30;34
34711;6302;2617;1129;548;36;34;36
24034;6240;2617;1129;548;32;33;35
17183;17878;2617;1129;548;33;33;33
