install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
5296;6024;250;132;112;0;0;0
1959;4965;250;132;112;0;0;0
2001;4478;250;132;112;0;0;0
1937;4486;250;132;112;0;0;0
2022;4547;250;132;112;0;0;0
1993;4649;250;132;112;0;0;0
1986;4659;250;132;112;0;0;0
3584;4777;250;132;112;0;0;0
1986;4809;250;132;112;0;0;0
1924;4698;250;132;112;0;0;0
1975;4738;250;132;112;0;0;0
2132;4617;250;132;112;0;0;0
1986;4647;250;132;112;0;0;0
2009;4827;250;132;112;0;0;0
1971;4635;250;132;112;0;0;0
1982;4702;250;132;112;0;0;0
1950;4827;250;132;112;0;0;0
2041;4676;250;132;112;0;0;0
1999;4680;250;132;112;0;0;0
1926;4651;250;132;112;0;0;0
2073;7124;250;132;112;0;0;0
1949;4683;250;132;112;0;0;0
2002;4718;250;132;112;0;0;0
1926;4598;250;132;112;0;0;0
2011;4595;250;132;112;0;0;0
1963;4714;250;132;112;0;0;0
2024;6974;250;132;112;0;0;0
1979;4685;250;132;112;0;0;0
1927;6402;250;132;112;0;0;0
2070;4714;250;132;112;0;0;0
2018;4752;250;132;112;0;0;0
2016;4742;250;132;112;0;0;0
2018;4742;250;132;112;0;0;0
1921;4680;250;132;112;0;0;0
2019;4696;250;132;112;0;0;0
2019;4660;250;132;112;0;0;0
2040;5875;250;132;112;0;0;0
2039;4691;250;132;112;0;0;0
1977;4647;250;132;112;0;0;0
2130;4742;250;132;112;0;0;0
1932;4748;250;132;112;0;0;0
2027;4569;250;132;112;0;0;0
2042;4559;250;132;112;0;0;0
1982;4566;250;132;112;0;0;0
1986;4563;250;132;112;0;0;0
1933;4600;250;132;112;0;0;0
1929;4575;250;132;112;0;0;0
1936;4666;250;132;112;0;0;0
1899;4585;250;132;112;0;0;0
1947;4612;250;132;112;0;0;0
1954;4529;250;132;112;0;0;0
1969;4660;250;132;112;0;0;0
2071;5771;250;132;112;0;0;0
2621;6371;250;132;112;0;0;0
2164;7645;250;132;112;0;0;0
2164;5357;250;132;112;0;0;0
2230;5753;250;132;112;0;0;0
2066;6184;250;132;112;0;0;0
2086;5943;250;132;112;0;0;0
3409;5253;250;132;112;0;0;0
2179;5432;250;132;112;0;0;0
2250;5474;250;132;112;0;0;0
2284;6282;250;132;112;0;0;0
2826;5381;250;132;112;0;0;0
2445;5590;250;132;112;0;0;0
2098;4937;250;132;112;0;0;0
5339;4593;250;132;112;0;0;0
3187;4611;250;132;112;0;0;0
1877;4509;250;132;112;0;0;0
2108;4541;250;132;112;0;0;0
3040;4517;250;132;112;0;0;0
2268;4494;250;132;112;0;0;0
2294;5505;250;132;112;0;0;0
1976;4607;250;132;112;0;0;0
1890;4532;250;132;112;0;0;0
1898;4618;250;132;112;0;0;0
1910;4544;250;132;112;0;0;0
2165;4503;250;132;112;0;0;0
1947;4529;250;132;112;0;0;0
1988;10323;250;132;112;0;0;0
2386;4604;250;132;112;0;0;0
1931;4524;250;132;112;0;0;0
1951;4464;250;132;112;0;0;0
2055;4949;250;132;112;0;0;0
1991;4898;250;132;112;0;0;0
2019;4617;250;132;112;0;0;0
1991;4663;250;132;112;0;0;0
1964;4895;250;132;112;0;0;0
1986;4683;250;132;112;0;0;0
2789;5992;250;132;112;0;0;0
1975;4876;250;132;112;0;0;0
2702;4668;250;132;112;0;0;0
2004;4709;250;132;112;0;0;0
1980;4675;250;132;112;0;0;0
2001;4684;250;132;112;0;0;0
2002;4728;250;132;112;0;0;0
1986;4683;250;132;112;0;0;0
1975;4753;250;132;112;0;0;0
2054;5460;250;132;112;0;0;0
2297;4722;250;132;112;0;0;0
1984;4757;250;132;112;0;0;0
1998;4945;250;132;112;0;0;0
1958;5888;250;132;112;0;0;0
2696;4766;250;132;112;0;0;0
2483;5286;250;132;112;23912;24219;25038
2065;5122;250;132;112;24054;24182;24081
2726;5029;250;132;112;23923;23980;24043
2142;5125;250;132;112;24014;24120;24041
2039;5511;250;132;112;24200;24115;24324
2176;5179;250;132;112;24585;24750;24414
2046;5092;250;132;112;24267;24401;24544
2090;5054;250;132;112;24209;24108;24248
2042;4967;250;132;112;24074;24220;24354
2151;5154;250;132;112;24509;24497;24423
2118;4977;250;132;112;24293;24254;24299
2092;4909;250;132;112;24148;24180;24007
2049;6081;250;132;112;24055;24168;24328
