install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
8005;1408;221;117;28;0;0;0
1404;1776;221;117;28;0;0;0
1736;1397;221;117;28;0;0;0
1541;1344;221;117;28;0;0;0
1286;1397;221;117;28;0;0;0
1355;1411;221;117;28;0;0;0
1386;1432;221;117;28;0;0;0
1366;1470;221;117;28;0;0;0
1406;1404;221;117;28;0;0;0
1389;1498;221;117;28;0;0;0
3311;1416;221;117;28;0;0;0
1345;3937;221;117;28;0;0;0
1633;2444;221;117;28;0;0;0
1359;1438;221;117;28;0;0;0
1374;1531;221;117;28;0;0;0
1448;1417;221;117;28;0;0;0
1392;1387;221;117;28;0;0;0
1414;1858;221;117;28;0;0;0
1333;1476;221;117;28;0;0;0
3921;1408;221;117;28;0;0;0
1391;1374;221;117;28;0;0;0
1393;1414;221;117;28;0;0;0
1418;1425;221;117;28;0;0;0
1303;1391;221;117;28;0;0;0
1345;1426;221;117;28;0;0;0
1314;7339;221;117;28;0;0;0
1393;1385;221;117;28;0;0;0
1370;1442;221;117;28;0;0;0
1444;1433;221;117;28;0;0;0
1470;1433;221;117;28;0;0;0
1387;1496;221;117;28;0;0;0
1380;1475;221;117;28;0;0;0
1445;1380;221;117;28;0;0;0
1342;1417;221;117;28;0;0;0
1364;1461;221;117;28;0;0;0
1386;1427;221;117;28;0;0;0
1377;1485;221;117;28;0;0;0
1392;1462;221;117;28;0;0;0
3234;1465;221;117;28;0;0;0
1376;1464;221;117;28;0;0;0
1332;1481;221;117;28;0;0;0
1392;1439;221;117;28;0;0;0
1356;1498;221;117;28;0;0;0
1356;1399;221;117;28;0;0;0
1359;1425;221;117;28;0;0;0
1322;1371;221;117;28;0;0;0
1341;1371;221;117;28;0;0;0
2649;1396;221;117;28;0;0;0
1365;1862;221;117;28;0;0;0
1619;1419;221;117;28;0;0;0
1410;1397;221;117;28;0;0;0
1348;1392;221;117;28;0;0;0
1318;1405;221;117;28;0;0;0
1612;1492;221;117;28;0;0;0
1451;1731;221;117;28;0;0;0
1534;1871;221;117;28;0;0;0
1600;2138;221;117;28;0;0;0
1326;1698;221;117;28;0;0;0
1416;1742;221;117;28;0;0;0
1493;1727;221;117;28;0;0;0
1528;1612;221;117;28;0;0;0
1527;1626;221;117;28;0;0;0
1558;1826;221;117;28;0;0;0
1507;1612;221;117;28;0;0;0
1684;1711;221;117;28;0;0;0
1522;2076;221;117;28;0;0;0
9005;1431;221;117;28;0;0;0
1589;1346;221;117;28;0;0;0
1372;1398;221;117;28;0;0;0
2717;1381;221;117;28;0;0;0
1363;1792;221;117;28;0;0;0
1328;1524;221;117;28;0;0;0
1340;1405;221;117;28;0;0;0
1365;1646;221;117;28;0;0;0
1293;1428;221;117;28;0;0;0
1354;1374;221;117;28;0;0;0
1369;1399;221;117;28;0;0;0
1343;1378;221;117;28;0;0;0
1310;1404;221;117;28;0;0;0
1358;1365;221;117;28;0;0;0
1318;1511;221;117;28;0;0;0
1870;5604;221;117;28;0;0;0
1307;1358;221;117;28;0;0;0
2110;1528;221;117;28;0;0;0
1386;1616;221;117;28;0;0;0
1303;1529;221;117;28;0;0;0
1317;1413;221;117;28;0;0;0
1341;1490;221;117;28;0;0;0
1357;1436;221;117;28;0;0;0
1378;1560;221;117;28;0;0;0
2174;2365;221;117;28;0;0;0
1596;1893;221;117;28;0;0;0
4323;1436;221;117;28;0;0;0
1368;1470;221;117;28;0;0;0
1396;1408;221;117;28;0;0;0
1339;1460;221;117;28;0;0;0
1347;1484;221;117;28;0;0;0
1402;1420;221;117;28;0;0;0
1340;1422;221;117;28;0;0;0
1351;1456;221;117;28;0;0;0
1373;1426;221;117;28;0;0;0
1600;1437;221;117;28;0;0;0
1414;1511;221;117;28;0;0;0
1352;1410;221;117;28;0;0;0
1500;1578;221;117;28;24525;24247;25023
1405;1518;221;117;28;23915;24152;24024
1462;1541;221;117;28;24453;23858;23878
1355;1493;221;117;28;23966;23903;23897
1465;1521;221;117;28;24043;24111;24109
1528;1580;221;117;28;24515;24358;24284
1416;1509;221;117;28;24167;24357;24119
1376;1501;221;117;28;24122;24277;24251
1412;1850;221;117;28;23971;24168;24059
1397;1524;221;117;28;24344;24422;24385
1393;1519;221;117;28;24211;24122;24382
1366;1498;221;117;28;24367;24234;24109
1445;1531;221;117;28;24162;24065;24079
1449;1577;221;117;28;24387;25067;25037
