install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
74534;4818;1395;626;188;0;0;0
10576;4799;1395;626;188;0;0;0
10466;4669;1395;626;188;0;0;0
10081;4596;1395;626;188;0;0;0
11589;4747;1395;626;188;0;0;0
23612;4910;1395;626;188;0;0;0
18232;4824;1395;626;188;0;0;0
20896;4885;1395;626;188;0;0;0
9278;15871;1395;626;188;0;0;0
9060;4789;1395;626;188;0;0;0
19566;4767;1395;626;188;0;0;0
21763;4795;1395;626;188;0;0;0
17579;4854;1395;626;188;0;0;0
9985;4804;1395;626;188;0;0;0
9449;4834;1395;626;188;0;0;0
9290;17520;1395;626;188;0;0;0
10383;4846;1395;626;188;0;0;0
18126;4793;1395;626;188;0;0;0
15991;4808;1395;626;188;0;0;0
20581;4929;1395;626;188;0;0;0
9765;16752;1395;626;188;0;0;0
9719;4869;1395;626;188;0;0;0
10931;5280;1395;626;188;0;0;0
9840;4759;1395;626;188;0;0;0
10779;4909;1395;626;188;0;0;0
17376;4835;1395;626;188;0;0;0
9445;4822;1395;626;188;0;0;0
14359;4833;1395;626;188;0;0;0
9227;8831;1395;626;188;0;0;0
7824;4967;1395;626;188;0;0;0
7594;4913;1395;626;188;0;0;0
14810;5024;1395;626;188;0;0;0
12802;4852;1395;626;188;0;0;0
10278;10573;1395;626;188;0;0;0
10283;4895;1395;626;188;0;0;0
13227;4886;1395;626;188;0;0;0
25991;4815;1395;626;188;0;0;0
26124;4853;1395;626;188;0;0;0
19905;4890;1395;626;188;0;0;0
19689;4830;1395;626;188;0;0;0
7630;4894;1395;626;188;0;0;0
10356;4674;1395;626;188;0;0;0
9405;4719;1395;626;188;0;0;0
9735;4625;1395;626;188;0;0;0
8759;4713;1395;626;188;0;0;0
14096;4668;1395;626;188;0;0;0
9732;4638;1395;626;188;0;0;0
12306;4747;1395;626;188;0;0;0
19840;4647;1395;626;188;0;0;0
9588;11681;1395;626;188;0;0;0
8895;5229;1395;626;188;0;0;0
8961;4725;1395;626;188;0;0;0
9244;4629;1395;626;188;0;0;0
9840;5663;1395;626;188;0;0;0
20702;6086;1395;626;188;0;0;0
8787;5554;1395;626;188;0;0;0
10762;9357;1395;626;188;0;0;0
9484;11225;1395;626;188;0;0;0
13563;6550;1395;626;188;0;0;0
18530;5770;1395;626;188;0;0;0
9701;5656;1395;626;188;0;0;0
9323;19504;1395;626;188;0;0;0
11122;11200;1395;626;188;0;0;0
13859;6503;1395;626;188;0;0;0
9684;5529;1395;626;188;0;0;0
17691;5553;1395;626;188;0;0;0
63784;4841;1395;626;188;0;0;0
9458;17155;1395;626;188;0;0;0
9602;4574;1395;626;188;0;0;0
25647;4670;1395;626;188;0;0;0
11777;4644;1395;626;188;0;0;0
8582;4713;1395;626;188;0;0;0
9358;9254;1395;626;188;0;0;0
8545;18118;1395;626;188;0;0;0
17980;4817;1395;626;188;0;0;0
18141;4706;1395;626;188;0;0;0
9266;4590;1395;626;188;0;0;0
10146;18764;1395;626;188;0;0;0
17073;4642;1395;626;188;0;0;0
20801;4643;1395;626;188;0;0;0
9729;4688;1395;626;188;0;0;0
24316;4579;1395;626;188;0;0;0
9667;4641;1395;626;188;0;0;0
11655;4980;1395;626;188;0;0;0
9698;17215;1395;626;188;0;0;0
9438;4850;1395;626;188;0;0;0
25649;4822;1395;626;188;0;0;0
20885;4863;1395;626;188;0;0;0
10234;4876;1395;626;188;0;0;0
28023;4879;1395;626;188;0;0;0
22776;4912;1395;626;188;0;0;0
8477;18763;1395;626;188;0;0;0
27544;4821;1395;626;188;0;0;0
9556;4886;1395;626;188;0;0;0
20103;4858;1395;626;188;0;0;0
26128;4809;1395;626;188;0;0;0
7850;4817;1395;626;188;0;0;0
10110;4863;1395;626;188;0;0;0
9002;9530;1395;626;188;0;0;0
17778;4854;1395;626;188;0;0;0
9017;4908;1395;626;188;0;0;0
10366;5093;1395;626;188;0;0;0
9647;17604;1395;626;188;0;0;0
10121;5041;1395;626;188;0;0;0
9595;9891;1395;626;188;24135;24302;24827
9537;5114;1395;626;188;25049;24115;23980
10223;5163;1395;626;188;25632;24267;24112
10640;14073;1395;626;188;25163;25569;25324
10006;5204;1395;626;188;24449;24220;24232
9864;5474;1395;626;188;25046;24664;24721
13302;5180;1395;626;188;25783;24476;24606
9919;5180;1395;626;188;24620;26842;24686
10473;5067;1395;626;188;24315;24356;24347
10406;5053;1395;626;188;24358;24388;24450
10807;11867;1395;626;188;24293;24281;24280
10561;11094;1395;626;188;24340;24262;24246
10448;5116;1395;626;188;24501;24669;24433
