install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
28881;4458;1369;608;580;0;0;0
12265;4321;1369;608;580;0;0;0
12569;4293;1369;608;580;0;0;0
7479;4362;1369;608;580;0;0;0
8404;4391;1369;608;580;0;0;0
8215;4682;1369;608;580;0;0;0
7448;4916;1369;608;580;0;0;0
8434;4834;1369;608;580;0;0;0
7819;4704;1369;608;580;0;0;0
7509;13592;1369;608;580;0;0;0
6839;4722;1369;608;580;0;0;0
6935;4687;1369;608;580;0;0;0
7387;4873;1369;608;580;0;0;0
8478;14173;1369;608;580;0;0;0
8058;15018;1369;608;580;0;0;0
8085;4783;1369;608;580;0;0;0
11294;4726;1369;608;580;0;0;0
6583;4924;1369;608;580;0;0;0
7485;4715;1369;608;580;0;0;0
7859;4767;1369;608;580;0;0;0
6958;4794;1369;608;580;0;0;0
6817;8941;1369;608;580;0;0;0
17330;4753;1369;608;580;0;0;0
8434;4332;1369;608;580;0;0;0
8116;4790;1369;608;580;0;0;0
6802;4744;1369;608;580;0;0;0
6856;4870;1369;608;580;0;0;0
6971;4925;1369;608;580;0;0;0
7743;4741;1369;608;580;0;0;0
6958;11646;1369;608;580;0;0;0
8295;14966;1369;608;580;0;0;0
7133;4657;1369;608;580;0;0;0
7141;4892;1369;608;580;0;0;0
6883;4724;1369;608;580;0;0;0
8311;14280;1369;608;580;0;0;0
7489;4841;1369;608;580;0;0;0
8067;4738;1369;608;580;0;0;0
6999;4697;1369;608;580;0;0;0
7199;4814;1369;608;580;0;0;0
8603;4790;1369;608;580;0;0;0
7922;4757;1369;608;580;0;0;0
8240;4324;1369;608;580;0;0;0
6552;4575;1369;608;580;0;0;0
6957;13393;1369;608;580;0;0;0
8401;11034;1369;608;580;0;0;0
8056;4283;1369;608;580;0;0;0
12493;4393;1369;608;580;0;0;0
8439;4407;1369;608;580;0;0;0
8426;4519;1369;608;580;0;0;0
9039;4349;1369;608;580;0;0;0
7199;4561;1369;608;580;0;0;0
8182;4398;1369;608;580;0;0;0
7037;4701;1369;608;580;0;0;0
10808;5095;1369;608;580;0;0;0
9390;5593;1369;608;580;0;0;0
13499;4963;1369;608;580;0;0;0
8942;5307;1369;608;580;0;0;0
9244;5270;1369;608;580;0;0;0
10222;16076;1369;608;580;0;0;0
8015;5352;1369;608;580;0;0;0
16922;5287;1369;608;580;0;0;0
9453;5133;1369;608;580;0;0;0
16764;5161;1369;608;580;0;0;0
9042;5201;1369;608;580;0;0;0
9007;4991;1369;608;580;0;0;0
6882;6386;1369;608;580;0;0;0
32583;4360;1369;608;580;0;0;0
8039;4375;1369;608;580;0;0;0
8681;13619;1369;608;580;0;0;0
7495;4410;1369;608;580;0;0;0
8483;4260;1369;608;580;0;0;0
10377;4458;1369;608;580;0;0;0
7350;4356;1369;608;580;0;0;0
7185;4364;1369;608;580;0;0;0
7076;4561;1369;608;580;0;0;0
8698;4350;1369;608;580;0;0;0
7758;4544;1369;608;580;0;0;0
6459;4607;1369;608;580;0;0;0
8455;4349;1369;608;580;0;0;0
7730;4489;1369;608;580;0;0;0
7973;14851;1369;608;580;0;0;0
8224;4124;1369;608;580;0;0;0
9800;4276;1369;608;580;0;0;0
8684;6372;1369;608;580;0;0;0
9115;4819;1369;608;580;0;0;0
8693;4312;1369;608;580;0;0;0
8804;4511;1369;608;580;0;0;0
9577;4355;1369;608;580;0;0;0
9866;4691;1369;608;580;0;0;0
9055;4487;1369;608;580;0;0;0
8229;4485;1369;608;580;0;0;0
7894;4535;1369;608;580;0;0;0
8391;4502;1369;608;580;0;0;0
10191;4536;1369;608;580;0;0;0
8564;4486;1369;608;580;0;0;0
8447;4468;1369;608;580;0;0;0
19769;4531;1369;608;580;0;0;0
7544;4789;1369;608;580;0;0;0
7686;4488;1369;608;580;0;0;0
8696;4562;1369;608;580;0;0;0
19542;4542;1369;608;580;0;0;0
8500;5439;1369;608;580;0;0;0
7846;5260;1369;608;580;0;0;0
18276;4451;1369;608;580;0;0;0
8224;4588;1369;608;580;24402;24660;23954
8367;4925;1369;608;580;24046;25896;24103
8310;5013;1369;608;580;24174;24009;23934
9007;5046;1369;608;580;24056;24002;24265
11719;4782;1369;608;580;24127;24935;24340
9087;5079;1369;608;580;24619;24744;24668
9328;4673;1369;608;580;24486;24344;24664
8750;4668;1369;608;580;24295;24336;24730
8844;4700;1369;608;580;24246;24332;24363
9090;4584;1369;608;580;24512;24295;24174
9970;4707;1369;608;580;24367;24451;24408
9457;4691;1369;608;580;24252;24434;24586
11757;4703;1369;608;580;24171;24306;24387
