svelte_with_browser_chromium;svelte_with_browser_firefox;svelte_with_browser_webkit;svelte-kit_with_browser_chromium;svelte-kit_with_browser_firefox;svelte-kit_with_browser_webkit;react_with_browser_chromium;react_with_browser_firefox;react_with_browser_webkit;react-vite_with_browser_chromium;react-vite_with_browser_firefox;react-vite_with_browser_webkit;react-next_with_browser_chromium;react-next_with_browser_firefox;react-next_with_browser_webkit;vue_with_browser_chromium;vue_with_browser_firefox;vue_with_browser_webkit;vue-nuxt_with_browser_chromium;vue-nuxt_with_browser_firefox;vue-nuxt_with_browser_webkit;angular_with_browser_chromium;angular_with_browser_firefox;angular_with_browser_webkit
12346;12009;12062;12157;12142;12026;12179;12206;12780;12318;12168;12159;12275;12131;12252;12051;12030;12013;12034;12015;12027;12057;12118;12287
12063;12105;11968;12033;12076;12037;12272;12200;12179;12143;12277;12386;12225;12212;12239;12166;12083;12068;12084;12086;12165;12113;12097;12229
12138;12164;12099;11991;12039;11973;12282;12297;12216;12156;12082;12203;12160;12192;12280;12104;12126;12024;12017;12031;12019;12282;12112;12156
12070;12273;12014;12130;12019;11978;12194;12330;12320;12097;12137;12120;12202;12311;12293;12098;11998;12130;12133;12055;12080;12181;12294;12221
12016;12000;11940;12015;12106;12001;12198;12241;12217;12116;12193;12168;12295;12400;12242;12037;12061;12061;12149;12077;12062;12232;12173;12282
12136;12041;11987;12044;11980;12096;12154;12233;12247;12212;12155;12171;12225;12295;12369;12071;11993;12075;12057;12134;12075;12234;12151;12099
12060;12192;11974;12114;12031;12067;12339;12190;12210;12170;12151;12236;12303;12349;12127;12121;12023;12020;12082;12019;12105;12222;12207;12098
12093;12118;12027;12175;12054;12057;12211;12234;12174;12170;12189;12136;12289;12319;12180;12042;12035;12109;12052;12010;12071;12186;12330;12193
12053;12187;12019;12102;12196;12017;12230;12203;12220;12122;12203;12259;12263;12424;12133;12117;12070;12044;12113;12088;12113;12295;12242;12225
12151;12263;11984;12126;12044;12246;12145;12305;12240;12093;12225;12120;12246;12224;12370;12286;12098;12056;12112;12241;12185;12153;12336;12175
12076;12260;12011;12051;12004;12504;12292;12219;12294;12099;12236;12128;12235;12156;12319;12104;12072;12035;12163;12084;12336;12243;12127;12386
12074;12127;12093;12010;12133;12048;12396;12380;12276;12100;12103;12145;12344;12199;12268;12083;12041;12201;12062;12155;12036;12292;12196;12194
12061;12168;11976;12074;12069;12008;12308;12220;12335;12164;12126;12284;12382;12176;12208;12060;12041;12216;12107;12093;12050;12150;12233;12245
12275;12097;11968;12023;12003;12153;12272;12168;12199;12071;12262;12218;12298;12254;12440;12160;12038;12024;12205;12294;12074;12303;12231;12202
12202;12157;12155;12053;11999;12019;12207;12376;12217;12192;12143;12263;12287;12175;12232;12092;12111;12042;12227;12010;12070;12273;12179;12263
12055;12169;12018;12245;12162;12210;12152;12212;12358;12235;12096;12079;12294;12273;12232;12020;12063;12088;12051;12193;12157;12237;12288;12163
12093;12055;12112;12111;12093;12070;12288;12310;12216;12150;12181;12367;12193;12245;12114;12225;12018;12059;12154;12072;12063;12195;12218;12425
12244;11990;11977;12204;12143;12201;12243;12320;12168;12319;12108;12175;12226;12400;12357;12033;12053;12227;12165;12120;12094;12135;12126;12192
12148;12146;11971;12041;12116;12216;12384;12185;12255;12100;12090;12208;12193;12212;12219;12091;12111;12105;12051;12188;12198;12202;12152;12329
12299;12095;12720;12056;12039;12063;12417;12214;12230;12348;12177;12468;12576;12376;12407;12141;12132;12041;12079;12150;12144;12382;12110;12303
12108;12097;12042;12128;12092;12014;12252;12288;12336;12374;12286;12237;12325;12342;12417;12080;12153;12074;12103;12104;12116;12292;12247;12196
12408;12071;12019;12135;12165;12064;12620;12360;12513;12504;12676;12404;12724;12684;12633;12792;12059;12155;12210;12102;12300;12933;12525;12341
