install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
54354;24057;1894;834;208;24054;21908;22519
56550;23801;1894;834;208;21865;22223;22012
56245;23453;1894;834;208;23018;22898;22869
56747;23516;1894;834;208;22941;22151;22254
57653;23326;1894;834;208;23021;22696;22506
56207;22968;1894;834;208;23135;21934;22834
57963;23765;1894;834;208;22815;23181;22085
56208;23812;1894;834;208;23276;22025;23044
56458;22871;1894;834;208;23669;22754;22670
56836;23112;1894;834;208;23652;21723;22705
57635;23681;1894;834;208;22752;21961;22091
57706;23696;1894;834;208;23349;22284;21961
57235;23309;1894;834;208;23113;22567;22117
58166;23810;1894;834;208;23382;22673;21528
57874;23397;1894;834;208;23074;23042;22250
57198;23610;1894;834;208;23941;22242;22386
57072;23961;1894;834;208;23419;21914;22353
56519;23495;1894;834;208;22882;23405;22305
58086;23456;1894;834;208;23336;22601;22414
58146;23530;1894;834;208;23428;22220;22085
58173;23401;1894;834;208;23824;22769;22275
56130;23021;1894;834;208;23589;23097;23027
56343;22899;1894;834;208;24149;22792;22190
56974;23649;1894;834;208;23871;22178;22216
57240;23286;1894;834;208;23341;22365;22862
56874;23663;1894;834;208;23384;23071;22425
58180;23285;1894;834;208;24524;22598;22840
57389;23414;1894;834;208;23508;22736;22264
57761;23309;1894;834;208;23803;22082;22322
57060;23435;1894;834;208;23835;22518;22343
58245;23698;1894;834;208;24729;23484;23110
58204;23315;1894;834;208;23745;22427;22439
56635;24209;1894;834;208;23161;22735;22218
57639;23287;1894;834;208;23842;22302;22431
56939;23426;1894;834;208;24413;22674;21872
57563;23322;1894;834;208;23122;22329;22602
58968;23654;1894;834;208;24925;21917;22615
56725;23805;1894;834;208;24601;22311;22097
56647;23179;1894;834;208;23540;22491;22043
56491;23746;1894;834;208;23747;21898;22902
57253;23816;1894;834;208;23701;22191;22763
55985;23846;1894;834;208;24533;22343;22545
58034;23403;1894;834;208;24707;23178;22066
56197;23349;1894;834;208;23664;22861;21886
56965;23566;1894;834;208;24738;22781;22775
57124;23641;1894;834;208;23009;23423;22522
57630;23843;1894;834;208;22625;22478;22085
56003;23680;1894;834;208;23600;22683;22538
57380;24529;1894;834;208;24501;22425;22517
57397;23648;1894;834;208;23675;22622;23110
57676;23528;1894;834;208;23183;23983;22238
57381;23371;1894;834;208;24750;23214;23762
58136;24331;1894;834;208;24417;23140;22465
56513;23059;1894;834;208;23995;22424;21973
57288;23579;1894;834;208;24185;23252;22465
56932;23459;1894;834;208;23857;22980;22239
57511;24066;1894;834;208;25227;23179;22575
58251;23836;1894;834;208;23741;22171;21986
58082;23907;1894;834;208;25224;22613;22423
57148;23413;1894;834;208;23565;22823;23103
57303;24569;1894;834;208;24318;22782;21949
58091;23805;1894;834;208;24811;22699;22827
57674;23660;1894;834;208;24491;22833;22885
57147;23900;1894;834;208;23785;23749;22232
60863;23833;1894;834;208;23687;22485;22330
55856;23693;1894;834;208;25540;22545;23030
57887;23612;1894;834;208;24429;23325;23063
57398;24835;1894;834;208;25049;22664;22248
56635;23891;1894;834;208;24010;22404;23367
56435;23871;1894;834;208;25760;22807;24166
56462;24670;1894;834;208;24290;23173;22188
56538;23591;1894;834;208;24364;22157;22524
57835;23786;1894;834;208;24836;23160;22537
56675;23863;1894;834;208;24288;22830;22834
58787;23674;1894;834;208;24316;22635;22274
57094;23738;1894;834;208;24719;22651;21704
58515;23172;1894;834;208;25164;22328;23053
57719;24033;1894;834;208;24505;23052;22689
56465;23299;1894;834;208;26051;23536;23307
56266;23513;1894;834;208;24070;23050;24678
56272;23786;1894;834;208;25017;23305;22859
56503;24726;1894;834;208;24517;23112;22548
56736;23934;1894;834;208;24594;21754;22487
57104;24885;1894;834;208;24676;22999;22863
56916;23990;1894;834;208;25483;23840;22959
59599;23707;1894;834;208;24270;22650;22511
56776;23782;1894;834;208;24619;23816;22861
56620;23920;1894;834;208;25326;22586;22545
55675;23133;1894;834;208;24284;22871;22454
57353;23157;1894;834;208;24468;22370;21880
56861;23560;1894;834;208;24539;22727;22895
57712;23850;1894;834;208;25478;22567;22347
56147;23803;1894;834;208;24326;22199;22739
57169;23839;1894;834;208;23216;22939;22369
57396;23165;1894;834;208;24949;23611;23752
57234;23963;1894;834;208;24356;22557;22614
56072;23850;1894;834;208;25037;23189;22786
56283;23651;1894;834;208;25652;23217;23030
56471;24506;1894;834;208;24113;22738;22406
56653;23411;1894;834;208;24505;22969;22402
56338;23550;1894;834;208;24553;22629;22502
56253;23555;1894;834;208;23464;22677;23120
56828;23504;1894;834;208;23988;22649;22633
56928;24770;1894;834;208;25776;24570;24810
57913;23815;1894;834;208;24158;22699;22336
57351;24317;1894;834;208;22687;21904;22210
57163;23158;1894;834;208;25628;24102;23410
56754;23704;1894;834;208;24018;21865;22624
56500;22919;1894;834;208;26153;23799;24184
57400;23343;1894;834;208;24808;22859;24218
56308;23173;1894;834;208;23627;22424;22897
57008;23732;1894;834;208;23718;22793;22052
57378;22955;1894;834;208;24046;24049;22363
56601;23918;1894;834;208;23661;23453;24374
56818;25205;1894;834;208;23928;22503;22333
57461;24382;1894;834;208;25583;22566;22962
56078;23576;1894;834;208;23912;22640;22989
57514;23066;1894;834;208;24705;25053;23181
56447;23623;1894;834;208;23259;22687;22747
56575;23559;1894;834;208;23358;22550;22177
57155;23872;1894;834;208;25273;22578;22581
57326;22958;1894;834;208;24498;22897;22836
57108;24121;1894;834;208;24574;23379;22691
57652;24502;1894;834;208;24577;22466;23540
57310;23779;1894;834;208;25098;23022;22712
57632;24113;1894;834;208;24254;22567;22876
56813;23098;1894;834;208;24460;22735;23203
56644;24390;1894;834;208;24207;23038;21969
57837;23160;1894;834;208;24097;22060;22230
56358;23484;1894;834;208;24279;22661;22518
56996;23586;1894;834;208;24231;22540;23050
57553;25354;1894;834;208;25379;24864;24199
57547;23886;1894;834;208;24900;23230;22680
56069;24826;1894;834;208;25044;23155;23001
56328;24305;1894;834;208;23820;23344;23021
55953;23549;1894;834;208;24793;23539;23108
56108;23789;1894;834;208;24567;23673;22902
56143;23274;1894;834;208;24075;22552;22955
57873;23242;1894;834;208;25113;22477;22649
56668;23507;1894;834;208;24813;24044;23041
57384;23411;1894;834;208;23898;22501;23557
56056;23622;1894;834;208;24874;22435;23287
57328;23059;1894;834;208;25207;22576;23126
56194;24448;1894;834;208;25365;23125;22826
56166;24963;1894;834;208;24238;23574;22888
56446;23538;1894;834;208;24762;23411;24423
56814;24099;1894;834;208;26173;23253;23344
58119;24670;1894;834;208;24899;22247;22365
56156;24255;1894;834;208;23903;22113;22474
57517;23902;1894;834;208;24061;23176;22922
57172;23502;1894;834;208;24679;23094;22786
56655;23440;1894;834;208;25404;22609;22451
55980;23587;1894;834;208;23471;22640;23189
59146;23207;1894;834;208;24286;22440;22238
57542;23680;1894;834;208;24333;22422;22235
56736;23925;1894;834;208;23984;22354;21819
56186;23514;1894;834;208;24991;22932;23241
56943;23404;1894;834;208;24056;22410;23097
56782;23899;1894;834;208;24691;22971;22628
56740;23380;1894;834;208;23224;22039;22186
57241;22974;1894;834;208;24626;22212;22178
57256;23328;1894;834;208;23318;22663;24077
55585;23139;1894;834;208;24922;22410;22811
56920;24371;1894;834;208;25147;25267;22830
55553;23120;1894;834;208;23811;22141;22904
56628;23776;1894;834;208;23837;22698;22897
56135;23161;1894;834;208;24381;23041;22656
56633;23595;1894;834;208;23901;22548;22699
57120;23701;1894;834;208;23692;22901;22882
57041;23478;1894;834;208;24350;24112;23191
57114;24533;1894;834;208;24362;24357;23040
57875;23248;1894;834;208;24656;22779;22954
59398;23617;1894;834;208;24034;23656;23648
56636;23129;1894;834;208;25660;24625;22989
56192;23433;1894;834;208;25538;22964;22954
56363;23207;1894;834;208;23642;22586;22095
57707;23923;1894;834;208;23475;22381;22743
56339;23124;1894;834;208;23953;22516;23495
57098;25146;1894;834;208;23847;23075;22816
56505;23797;1894;834;208;23201;23535;22475
56515;25163;1894;834;208;24946;24540;23004
57537;25433;1894;834;208;24615;24849;23694
57523;23936;1894;834;208;24079;22448;22918
56582;23516;1894;834;208;24302;22300;22249
55975;22739;1894;834;208;23433;24462;23042
58789;23924;1894;834;208;24974;22641;22786
57760;23576;1894;834;208;23830;22351;22691
57780;23907;1894;834;208;23554;22139;22739
57054;24284;1894;834;208;24972;22926;22638
56895;23503;1894;834;208;24033;23477;23165
56424;24281;1894;834;208;25994;24348;23455
57399;23296;1894;834;208;24578;22212;22080
56677;23685;1894;834;208;23346;22711;22593
56248;23228;1894;834;208;24883;22460;21932
56739;23008;1894;834;208;25107;23546;23697
56830;22978;1894;834;208;22751;22790;22681
56773;22978;1894;834;208;24635;22111;22546
56342;23541;1894;834;208;24956;22988;23507
56409;23457;1894;834;208;23783;22867;23172
56244;23238;1894;834;208;23905;22275;22146
57579;23208;1894;834;208;25042;22332;22428
57188;24142;1894;834;208;24897;23198;22292
56855;23279;1894;834;208;24430;22392;22208
56699;25760;1894;834;208;26377;24371;23774
56315;23668;1894;834;208;23638;22489;22486
56534;24230;1894;834;208;25574;22674;22373
57211;23600;1894;834;208;23926;22213;22346
57747;24648;1894;834;208;24197;23068;23313
56531;23571;1894;834;208;25340;23240;22853
57059;23393;1894;834;208;24070;23178;23205
56108;24328;1894;834;208;23171;22853;24336
56332;23289;1894;834;208;24268;22750;22268
56998;23461;1894;834;208;24147;22491;22887
56354;23242;1894;834;208;24030;22758;22223
57570;23013;1894;834;208;24462;22576;22701
55762;23577;1894;834;208;23683;23361;23162
57062;22951;1894;834;208;24695;22900;22415
57626;23227;1894;834;208;23627;22707;22028
56639;23999;1894;834;208;24614;22864;22770
56741;23085;1894;834;208;25417;22730;23511
57524;23422;1894;834;208;23584;22364;22576
57409;23717;1894;834;208;25234;23182;22843
57491;23969;1894;834;208;24699;22730;22822
56555;23323;1894;834;208;24092;23187;22657
57920;23332;1894;834;208;23725;23004;22628
57449;22928;1894;834;208;25268;23820;22593
57207;24072;1894;834;208;22956;22280;22078
56764;22986;1894;834;208;24195;22815;22342
57423;23123;1894;834;208;24402;23968;23516
57127;23544;1894;834;208;24500;22879;23127
57031;23085;1894;834;208;24549;22815;22615
57244;23989;1894;834;208;25409;21568;22514
57969;23803;1894;834;208;24311;23499;23457
57935;25119;1894;834;208;26392;22570;22575
57630;23825;1894;834;208;23360;23088;22534
56302;24262;1894;834;208;24809;23594;22779
56329;24194;1894;834;208;24830;23245;23099
56040;23591;1894;834;208;24400;22835;22377
