install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
38449;23756;621;296;404;24879;24688;23403
36499;23575;621;296;404;24031;23148;23389
36957;23041;621;296;404;23428;23709;24507
36898;23239;621;296;404;23602;23378;23703
37182;23268;621;296;404;24104;23688;24141
37554;23127;621;296;404;23648;22642;23404
37231;24015;621;296;404;23697;23978;23331
36554;24063;621;296;404;24303;24026;23480
35749;23343;621;296;404;24079;23448;23352
36688;23591;621;296;404;23644;23579;23593
37401;23666;621;296;404;24108;23603;23660
36902;23462;621;296;404;23678;24007;23710
37291;23155;621;296;404;23424;23537;23435
37038;23022;621;296;404;24021;23292;23594
36298;22811;621;296;404;23942;23176;24135
35693;24661;621;296;404;23116;23867;23510
36796;23418;621;296;404;23363;23187;23650
37151;22910;621;296;404;24270;23670;23808
36874;23417;621;296;404;23687;23601;23450
36648;23211;621;296;404;23693;23466;23707
36878;23642;621;296;404;24301;23680;24114
35865;23085;621;296;404;23731;23706;23321
35562;23575;621;296;404;24156;24129;22872
36892;23380;621;296;404;24789;23935;23615
36603;23249;621;296;404;24586;23734;23461
36198;23597;621;296;404;24593;23743;23512
36640;23718;621;296;404;23293;23674;24107
36721;23204;621;296;404;24361;22995;23190
36977;22942;621;296;404;23512;23290;23596
36382;24050;621;296;404;23783;23913;23749
36754;24263;621;296;404;23184;23569;23740
36567;23264;621;296;404;23689;23575;22946
37567;23220;621;296;404;24489;23901;23729
35115;23257;621;296;404;23039;24450;23630
37435;23255;621;296;404;24402;23713;23457
36566;23108;621;296;404;23993;23748;23208
36889;22953;621;296;404;24184;23439;23391
36616;23728;621;296;404;23330;23131;23660
36970;24046;621;296;404;24059;23527;24273
36972;24147;621;296;404;23800;24055;23464
36870;23479;621;296;404;24653;23860;23159
36186;23309;621;296;404;24171;23985;24020
36786;24319;621;296;404;23997;23603;23386
37862;24206;621;296;404;24710;23589;24913
37438;23988;621;296;404;24868;23264;23648
37252;23600;621;296;404;25116;23646;23363
36539;24174;621;296;404;23698;23694;23747
37083;24069;621;296;404;24399;24530;24285
36438;23903;621;296;404;24295;23894;24141
36293;23715;621;296;404;24891;23324;24267
37363;23490;621;296;404;24726;23666;23287
35992;23853;621;296;404;24576;23786;23938
37869;23521;621;296;404;23957;23595;24406
36506;23477;621;296;404;23992;23790;23468
35630;23911;621;296;404;24333;23842;24003
36940;23621;621;296;404;23434;24165;24089
37231;22917;621;296;404;24426;23521;23775
37090;23466;621;296;404;23929;23519;23514
36753;23828;621;296;404;24108;23521;24330
35484;23109;621;296;404;23861;24057;24065
37024;23386;621;296;404;23960;23408;24262
36723;23941;621;296;404;24346;23890;23821
37314;23514;621;296;404;24770;24029;23992
37433;23550;621;296;404;25365;23918;24450
37255;23253;621;296;404;24556;23213;24153
37124;23879;621;296;404;24976;24294;24331
37315;23594;621;296;404;24387;23886;23373
37309;23199;621;296;404;23727;23317;23491
37415;23698;621;296;404;23853;24171;23916
35992;24044;621;296;404;24590;23776;23677
37557;24132;621;296;404;23444;24614;23920
36849;23533;621;296;404;24232;23381;23674
35987;23604;621;296;404;23920;23768;24169
36330;23823;621;296;404;23932;23928;23325
37187;24483;621;296;404;24798;23747;24071
36857;23640;621;296;404;24253;24044;23469
37382;23710;621;296;404;25233;24094;23718
36685;24218;621;296;404;24631;23716;23895
36943;23018;621;296;404;24180;24408;24072
36286;24443;621;296;404;24562;23509;23441
37056;24516;621;296;404;25097;23671;24003
37218;24362;621;296;404;25114;24017;23707
36761;23608;621;296;404;24522;23708;24123
35280;23792;621;296;404;24791;24171;24153
37309;24063;621;296;404;24478;24091;23460
36596;23552;621;296;404;24335;23839;23318
37364;23359;621;296;404;25456;24740;25267
36996;24065;621;296;404;25078;23848;23754
36731;23795;621;296;404;25012;23913;23938
37507;23389;621;296;404;24212;24059;23553
37315;23619;621;296;404;23815;23962;23665
36133;23540;621;296;404;24824;23917;24307
37116;23827;621;296;404;23982;23863;23804
37472;23238;621;296;404;24077;24111;24186
37234;23944;621;296;404;26325;24201;24021
36794;23443;621;296;404;25059;24047;23503
37694;24183;621;296;404;23983;24214;23721
36442;23197;621;296;404;25009;23417;23719
37132;23366;621;296;404;24046;24345;23767
36521;23312;621;296;404;24019;23990;24029
36501;23447;621;296;404;24719;23479;23492
36646;23342;621;296;404;23935;23878;23800
36838;24130;621;296;404;23937;24828;24102
36796;24615;621;296;404;23909;23810;23248
36951;23174;621;296;404;24429;23407;24012
37279;25864;621;296;404;25972;25123;24737
36078;24139;621;296;404;25614;24320;23825
37252;23101;621;296;404;23593;23316;23439
36104;22962;621;296;404;23593;23158;23623
37117;23323;621;296;404;24948;23380;24136
36849;23100;621;296;404;23941;23409;23271
36942;23759;621;296;404;24025;24778;24173
36973;22709;621;296;404;24763;23633;23192
35659;23713;621;296;404;23462;22934;23479
37089;22773;621;296;404;24084;23412;23132
35851;23657;621;296;404;23985;24733;24532
36867;23794;621;296;404;24072;24349;23715
35968;23209;621;296;404;24602;24090;23756
37719;23095;621;296;404;23977;23969;23711
37043;23519;621;296;404;24585;23292;24009
36365;23192;621;296;404;23762;24128;24173
36608;23724;621;296;404;24084;24195;24501
36429;23610;621;296;404;25413;24131;23323
37538;23185;621;296;404;24290;23853;23797
36957;23736;621;296;404;24939;24080;24423
37261;23341;621;296;404;23756;23751;24448
37396;23468;621;296;404;23636;24417;23953
36885;24781;621;296;404;24267;24312;23690
36737;23265;621;296;404;24414;23788;24004
37166;23314;621;296;404;24096;23816;23620
36708;23690;621;296;404;25410;24142;23962
36257;24908;621;296;404;24368;23994;23963
36976;23077;621;296;404;24721;23887;23667
37038;24077;621;296;404;24852;24190;23691
37513;23249;621;296;404;24830;24346;23932
37014;23554;621;296;404;25344;25011;24032
37103;23420;621;296;404;25647;24813;24861
36750;23813;621;296;404;24782;23734;23916
37067;23275;621;296;404;24019;24190;24364
36740;22948;621;296;404;24641;23358;23935
37045;23185;621;296;404;23824;23762;23331
37415;23380;621;296;404;23910;24201;23979
36241;24096;621;296;404;23689;24011;23614
36930;23946;621;296;404;23848;23781;24257
37255;23447;621;296;404;24163;23798;24116
36495;24545;621;296;404;25025;24361;23691
36462;23119;621;296;404;24283;23831;24539
35530;23608;621;296;404;24084;23702;23783
36716;23236;621;296;404;24513;23721;23882
36591;24012;621;296;404;24877;23989;23569
36602;23483;621;296;404;23853;23555;23641
36284;24588;621;296;404;23810;23477;23819
37126;23284;621;296;404;24682;24394;23999
36179;23846;621;296;404;24773;23817;23683
36820;23371;621;296;404;24409;23717;23214
37019;23629;621;296;404;24744;23408;23689
36383;23245;621;296;404;24187;23899;24051
36980;24099;621;296;404;23670;23649;23837
37832;23359;621;296;404;24082;23841;23601
36521;23631;621;296;404;24490;24039;23730
37349;23445;621;296;404;24085;24077;23228
37134;24118;621;296;404;25492;24802;24327
37135;23979;621;296;404;24719;23603;23212
36214;23302;621;296;404;24112;23734;23970
36674;22894;621;296;404;23744;24084;24363
36826;23423;621;296;404;24396;23879;23412
36954;23696;621;296;404;24454;23893;23900
37895;23494;621;296;404;23828;23113;23445
37115;24548;621;296;404;25078;24070;25758
37318;24795;621;296;404;25135;24412;25465
36596;23992;621;296;404;24055;23022;23857
36294;24613;621;296;404;24363;23494;23180
36601;23871;621;296;404;24347;23977;23042
37070;23670;621;296;404;24504;23392;23889
35177;23932;621;296;404;24407;24321;23607
37152;23770;621;296;404;23633;23451;23507
37598;23241;621;296;404;24900;23799;23300
37236;24311;621;296;404;25427;23269;23823
37989;23704;621;296;404;24851;24682;24399
37251;23599;621;296;404;24794;23956;23941
36840;23533;621;296;404;23728;22998;23471
36182;23565;621;296;404;28532;27392;29174
37157;23998;621;296;404;24878;23515;23115
36391;23356;621;296;404;23994;23286;24158
36254;24732;621;296;404;24951;23898;24588
36706;23776;621;296;404;24660;24755;24879
36448;23453;621;296;404;24083;24301;23305
36972;24184;621;296;404;23635;23800;23179
36448;23217;621;296;404;24204;23606;23711
37317;24186;621;296;404;24591;23769;23822
36357;23150;621;296;404;23671;23844;24201
35777;23342;621;296;404;24149;23804;23565
37471;23407;621;296;404;24752;23765;24788
36872;23455;621;296;404;24178;23867;23803
36619;23713;621;296;404;24209;23727;23927
37731;23748;621;296;404;23697;23278;23434
35681;23671;621;296;404;25087;23244;23460
36810;23688;621;296;404;24455;23357;24674
36983;23568;621;296;404;23585;23459;23743
36852;23252;621;296;404;24100;23620;22973
36405;23359;621;296;404;23597;22970;23078
36780;23682;621;296;404;23816;23541;23633
35512;23350;621;296;404;23766;23351;23726
37133;23756;621;296;404;25180;24905;25495
37377;23456;621;296;404;24096;23872;24769
35560;23242;621;296;404;23832;23872;23275
36493;23651;621;296;404;24401;23614;23470
36587;23766;621;296;404;24318;23744;23748
37139;23678;621;296;404;25201;24142;24357
36567;23419;621;296;404;24733;24047;23891
36648;24720;621;296;404;24934;24389;23757
37137;23423;621;296;404;24544;24123;24206
36092;23367;621;296;404;24288;23843;23968
37096;23683;621;296;404;24481;23995;24129
35944;23497;621;296;404;23887;24147;23835
37411;24979;621;296;404;24607;24205;23809
36828;23386;621;296;404;24074;23956;23823
36635;23539;621;296;404;25096;24367;23990
34944;23326;621;296;404;24226;23826;23589
36570;24394;621;296;404;24373;23732;23885
37200;23661;621;296;404;23881;23494;24204
36619;23568;621;296;404;24698;24301;24020
36843;23327;621;296;404;24498;23982;23960
36808;23731;621;296;404;24119;23126;23240
36640;23414;621;296;404;24667;23876;23480
37448;24567;621;296;404;24764;24049;24243
37248;23369;621;296;404;23678;23928;24001
36717;23487;621;296;404;23112;23054;23062
36790;24297;621;296;404;24200;23897;23823
36659;23914;621;296;404;24126;23737;23412
36808;23817;621;296;404;25173;23981;23441
36601;23296;621;296;404;24005;23751;23301
36624;23273;621;296;404;24243;23717;23358
36369;23290;621;296;404;23852;23514;23006
36302;23900;621;296;404;24516;24327;24603
36761;24109;621;296;404;24963;24240;24500
35895;24102;621;296;404;24860;24475;24008
36928;23745;621;296;404;23749;23439;24399
37001;23546;621;296;404;24371;24030;24230
36274;23458;621;296;404;24997;24636;24486
37145;23243;621;296;404;24455;23666;24223
36883;23638;621;296;404;24196;23396;23787
37079;23478;621;296;404;24050;24148;23590
36676;23601;621;296;404;25493;24186;23882
36652;23987;621;296;404;25067;24299;24591
37539;24286;621;296;404;24649;24147;24223
37081;24089;621;296;404;24826;24013;24551
36971;23819;621;296;404;25326;23728;24059
35648;23236;621;296;404;24093;24302;24243
37093;24085;621;296;404;24258;23962;24027
36397;24151;621;296;404;24312;23497;23828
36962;23702;621;296;404;23744;23940;23907
37281;23371;621;296;404;25415;23430;23813
35415;23679;621;296;404;23588;23486;23944
37502;23322;621;296;404;24646;24165;23711
35994;23286;621;296;404;24889;23745;24406
37399;23313;621;296;404;23748;23665;23768
36739;23185;621;296;404;25198;24055;24113
37446;22992;621;296;404;24010;23861;23957
35537;23656;621;296;404;24093;24169;23376
36947;23048;621;296;404;24835;24326;23830
37010;23595;621;296;404;25003;23536;24208
36411;23180;621;296;404;24433;23670;23987
37241;23711;621;296;404;23000;23521;23883
36776;23369;621;296;404;24999;23390;23981
37921;23481;621;296;404;24829;23769;24221
36965;23460;621;296;404;24476;24046;24147
36863;23317;621;296;404;24107;23237;23708
36301;24482;621;296;404;23741;24095;23738
37425;23385;621;296;404;24719;23555;23312
36607;23282;621;296;404;24464;23425;23125
36697;23825;621;296;404;24108;23993;23596
36273;23757;621;296;404;24404;24076;24008
36903;23632;621;296;404;25832;24983;25045
36895;23147;621;296;404;24566;23269;24157
36723;23773;621;296;404;24604;23578;22990
36473;23366;621;296;404;24344;23716;23957
36490;23588;621;296;404;24638;23713;23925
36124;23292;621;296;404;24425;23642;23837
37226;23644;621;296;404;24333;23843;24164
37385;24048;621;296;404;23647;23820;23708
36908;23212;621;296;404;23610;23741;23560
36694;23336;621;296;404;24118;24359;23657
36999;23478;621;296;404;24045;23605;23865
37042;24066;621;296;404;23937;23464;23691
37093;23273;621;296;404;24019;23892;23898
36629;23926;621;296;404;24289;23944;23730
37597;23298;621;296;404;24069;24109;23723
37102;22987;621;296;404;24365;23560;25267
35711;23448;621;296;404;24224;23436;23513
37161;23516;621;296;404;25180;24141;23958
37038;23764;621;296;404;23572;23671;23635
36556;23705;621;296;404;25025;23439;23909
36929;24041;621;296;404;24926;23838;23774
36930;23433;621;296;404;24349;23958;23683
36610;23509;621;296;404;24077;24880;24611
37445;23769;621;296;404;23912;23847;23850
36563;24814;621;296;404;25555;25234;25266
37079;23380;621;296;404;24221;23278;23690
36697;23479;621;296;404;23772;23416;22948
37272;23575;621;296;404;24614;23940;23909
36225;24161;621;296;404;25292;23874;23313
36473;23520;621;296;404;24636;24054;25254
37205;23667;621;296;404;23682;23281;23916
37076;24501;621;296;404;25239;24492;24491
