install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
88482;8046;2759;1170;540;23946;22938;23245
88704;7905;2759;1170;540;22956;22648;22749
85904;7642;2759;1170;540;22822;22676;22734
87111;7524;2759;1170;540;23584;22965;23087
88668;7524;2759;1170;540;23292;23129;23481
86810;7702;2759;1170;540;23433;22930;23042
86902;7716;2759;1170;540;23914;23007;22903
86831;7535;2759;1170;540;23608;22422;23430
89346;7633;2759;1170;540;23939;23381;22556
88527;7873;2759;1170;540;23096;23168;22655
83905;7572;2759;1170;540;23428;23176;22566
87870;7725;2759;1170;540;22930;23148;22899
83955;7889;2759;1170;540;22494;23424;22663
86105;7656;2759;1170;540;22385;23295;22641
90416;7652;2759;1170;540;23767;22987;23359
85320;7564;2759;1170;540;23316;22935;22831
87055;7714;2759;1170;540;22883;22588;22378
88308;7597;2759;1170;540;22759;23454;22613
83722;7644;2759;1170;540;23717;23128;23255
88043;7698;2759;1170;540;23663;23253;23561
87183;7511;2759;1170;540;22918;23097;22864
86008;7814;2759;1170;540;23044;22484;22943
85977;7610;2759;1170;540;22839;22992;23208
85017;7587;2759;1170;540;22924;23493;23584
84765;7506;2759;1170;540;23515;22746;22644
84975;7569;2759;1170;540;23082;22451;23273
87040;7706;2759;1170;540;23617;23340;22906
86860;7498;2759;1170;540;22850;22616;22231
86271;7852;2759;1170;540;23311;22693;23354
84781;7533;2759;1170;540;23457;23224;23592
85239;7930;2759;1170;540;23331;23887;23631
86243;7831;2759;1170;540;23071;23307;22952
86100;7651;2759;1170;540;22516;23009;23031
88384;7616;2759;1170;540;23943;22757;22669
87040;7658;2759;1170;540;23032;22858;22655
86075;7934;2759;1170;540;22695;23177;22575
87960;7482;2759;1170;540;22701;23118;23436
86406;8011;2759;1170;540;23411;23520;22869
85559;7559;2759;1170;540;23056;23308;23271
85909;7597;2759;1170;540;23882;23227;22907
87893;7683;2759;1170;540;22978;23189;22779
86390;7653;2759;1170;540;22466;23012;23043
86493;7677;2759;1170;540;23798;23565;23084
84656;7503;2759;1170;540;22550;23740;23459
86802;8014;2759;1170;540;23378;23187;22799
84060;8002;2759;1170;540;22605;23561;23357
86761;7531;2759;1170;540;22746;23778;23188
84532;7700;2759;1170;540;23453;22871;23215
88360;8322;2759;1170;540;23526;23347;23438
87996;7758;2759;1170;540;22873;23478;22888
85322;7538;2759;1170;540;24369;22922;23057
88218;7720;2759;1170;540;24390;22842;23409
84772;7870;2759;1170;540;23039;23002;22874
88239;7512;2759;1170;540;23460;22600;22620
85796;7487;2759;1170;540;24773;22822;23703
84571;7746;2759;1170;540;23637;23274;23506
85700;7903;2759;1170;540;23041;22636;23162
86184;7481;2759;1170;540;23804;23161;22999
87107;7853;2759;1170;540;23067;23426;22491
87840;8011;2759;1170;540;23053;22900;23129
85996;7726;2759;1170;540;22903;22553;23236
88481;7582;2759;1170;540;23995;23668;22863
82618;8036;2759;1170;540;23490;23782;22818
88903;7866;2759;1170;540;23009;22796;22979
89589;7542;2759;1170;540;23810;23006;23075
89082;7729;2759;1170;540;23280;23093;23400
85353;7682;2759;1170;540;23192;22860;23255
87361;7897;2759;1170;540;23251;22696;22575
87878;7480;2759;1170;540;23492;22990;23075
88262;7871;2759;1170;540;23696;23567;22970
86544;7866;2759;1170;540;24199;23258;23108
87168;7933;2759;1170;540;23777;23021;22901
87224;7642;2759;1170;540;23928;23717;23168
87561;7868;2759;1170;540;23783;23577;22579
89900;7669;2759;1170;540;23806;22556;23308
85129;7617;2759;1170;540;23784;23074;23014
89346;8027;2759;1170;540;24052;23855;22789
87611;7619;2759;1170;540;23692;22772;23300
86083;8420;2759;1170;540;23481;24821;22894
