install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
5054;3735;186;107;164;23711;23411;23707
5636;3893;186;107;164;22878;23468;22951
5655;3709;186;107;164;22905;22937;22860
5599;3707;186;107;164;23659;22740;22797
5628;3704;186;107;164;23336;22873;23425
5264;3676;186;107;164;23354;22937;22590
5334;3708;186;107;164;22364;22792;22938
5732;3678;186;107;164;24576;23633;23385
5495;3691;186;107;164;23354;22962;22979
5176;4029;186;107;164;23386;23700;22614
5517;3772;186;107;164;23173;22539;23101
5571;3653;186;107;164;22786;22481;22779
5134;3718;186;107;164;23077;22138;22652
5327;3669;186;107;164;22836;22599;22860
5242;3673;186;107;164;23190;22334;23377
5226;3641;186;107;164;23736;23468;23162
5264;3576;186;107;164;22330;22916;22897
5677;3981;186;107;164;23976;22997;22540
5537;3671;186;107;164;23519;23127;23098
5183;3743;186;107;164;24044;22928;23535
5657;3769;186;107;164;23471;22649;23324
5618;3703;186;107;164;22688;22873;22497
5461;3876;186;107;164;23744;22524;22634
5548;3645;186;107;164;23870;22754;23111
5191;3806;186;107;164;23330;22542;22789
5299;3616;186;107;164;23406;22697;22683
5185;3753;186;107;164;23110;23125;22949
5212;3608;186;107;164;23538;23525;23069
5102;3689;186;107;164;23174;22565;23215
5498;3650;186;107;164;23532;22586;23499
5389;3717;186;107;164;22826;23095;23001
5737;3781;186;107;164;23085;22792;22424
5579;3646;186;107;164;23179;22780;23833
5403;3676;186;107;164;22873;22727;22898
5164;3729;186;107;164;22681;23340;22745
5385;3697;186;107;164;23449;22889;22688
5361;3635;186;107;164;23194;23015;23259
5499;3618;186;107;164;22885;23278;23332
5264;3671;186;107;164;22791;23684;22704
5175;3762;186;107;164;23843;22997;22509
5554;3726;186;107;164;23054;22652;23234
5478;3644;186;107;164;23342;23228;22826
5398;3765;186;107;164;24291;23099;22501
5912;3815;186;107;164;23600;23483;22803
5627;3652;186;107;164;24196;23198;23387
5543;4043;186;107;164;22969;22646;22464
5200;3674;186;107;164;23231;22249;22786
5362;3707;186;107;164;23218;22800;22938
5866;3759;186;107;164;24124;23158;22960
5498;3648;186;107;164;23232;22948;23472
5729;3620;186;107;164;23040;23407;22951
5660;3786;186;107;164;23317;22952;23459
5690;4115;186;107;164;23485;22942;22924
5215;3720;186;107;164;23586;22368;23062
5135;3623;186;107;164;23682;23164;23225
5333;3770;186;107;164;23448;23091;23233
5718;3686;186;107;164;23382;22883;22991
5357;3541;186;107;164;22969;23330;22963
5394;3693;186;107;164;23548;22944;23590
5078;3654;186;107;164;23545;23140;23552
5396;3756;186;107;164;23307;22683;23125
5548;3704;186;107;164;22690;23624;23473
5244;3737;186;107;164;23414;23729;22520
6556;3957;186;107;164;23204;23034;23055
6082;3639;186;107;164;23294;23489;22803
5412;3676;186;107;164;23866;22749;23204
