install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
6570;4950;252;133;116;23249;23032;22545
6526;5223;252;133;116;23024;23150;23012
6393;5004;252;133;116;22917;22347;22555
6439;5059;252;133;116;22898;22380;22275
6523;5097;252;133;116;23100;24216;23115
6531;4947;252;133;116;22324;22534;22754
6506;5054;252;133;116;23247;22884;22706
6359;5080;252;133;116;22985;23826;23464
6478;4993;252;133;116;23271;22419;21762
6380;5051;252;133;116;23471;24050;23450
6393;5019;252;133;116;22886;22574;22090
6440;5103;252;133;116;22342;22292;22308
6452;4929;252;133;116;22303;22186;22598
6455;5062;252;133;116;21911;22603;22118
6386;5005;252;133;116;22741;22485;22525
6382;5113;252;133;116;23769;22394;22146
6434;4932;252;133;116;21789;22459;22150
6596;5089;252;133;116;21836;22884;22404
6486;4938;252;133;116;22187;22357;22150
6411;5068;252;133;116;22736;22624;23701
6041;4966;252;133;116;22745;22916;22482
6442;5071;252;133;116;22545;22316;22462
6583;4914;252;133;116;22953;22119;22103
6381;4936;252;133;116;22790;22544;22521
6262;5002;252;133;116;21954;22511;22314
6787;5021;252;133;116;22596;22829;22868
6751;4889;252;133;116;22543;22863;23665
6429;5029;252;133;116;22498;22034;21944
6448;4891;252;133;116;23072;22219;22512
6513;5062;252;133;116;23773;23257;22368
6491;5088;252;133;116;22535;22549;22529
6668;4983;252;133;116;22973;22641;22075
6545;5173;252;133;116;24168;24182;23177
6471;5081;252;133;116;22497;22514;22367
6462;5154;252;133;116;22943;22433;22385
6453;4966;252;133;116;22126;22236;22865
6346;4963;252;133;116;22129;22773;22299
6479;4929;252;133;116;22603;22861;23249
6686;5519;252;133;116;22060;22553;22377
6504;5421;252;133;116;22115;22686;21938
6754;5111;252;133;116;22313;22571;21929
6574;4913;252;133;116;22566;22373;22706
6399;5207;252;133;116;22146;22501;22190
6432;5070;252;133;116;22855;22786;23041
6526;4980;252;133;116;22376;22770;23064
6389;5062;252;133;116;22811;22690;22473
6736;5040;252;133;116;22473;22781;22197
6647;5013;252;133;116;22568;22298;22100
6759;4942;252;133;116;23197;22059;22928
6441;5014;252;133;116;22729;22311;23040
6407;4992;252;133;116;23087;22102;22597
6494;5075;252;133;116;23105;22529;22809
6701;4986;252;133;116;22595;22931;22401
6392;5011;252;133;116;22993;22642;22555
6542;4916;252;133;116;22599;22872;22355
6433;5210;252;133;116;22859;22966;23011
6325;4945;252;133;116;22898;23280;22602
6334;5026;252;133;116;22935;22069;22363
6374;4967;252;133;116;22966;22422;23576
6378;5077;252;133;116;23002;24216;23685
6561;5243;252;133;116;22812;23264;22625
6513;5056;252;133;116;22749;22736;22288
6484;5022;252;133;116;22670;22630;22814
6382;5003;252;133;116;23511;22922;22692
6629;5174;252;133;116;22628;22332;22778
6390;5085;252;133;116;22537;23705;23052
6118;4953;252;133;116;22588;22376;22412
6423;4922;252;133;116;23025;22617;22340
6401;5096;252;133;116;22948;22968;21674
6458;5118;252;133;116;23105;21989;22980
6781;5192;252;133;116;24594;24230;22269
6368;4918;252;133;116;22606;22872;23187
6673;5017;252;133;116;22506;22883;22612
6597;5035;252;133;116;23482;22602;23025
6441;5233;252;133;116;22575;23110;22658
5936;4983;252;133;116;22944;23130;22907
6788;4922;252;133;116;23061;22533;22218
6432;5011;252;133;116;23951;24825;24030
6616;5070;252;133;116;22541;22916;23284
6702;5094;252;133;116;23754;22453;21946
6424;5163;252;133;116;23601;22265;23297
6530;5296;252;133;116;23222;22604;22553
6457;5386;252;133;116;22967;23916;22500
6647;5383;252;133;116;22392;23014;22800
6857;5050;252;133;116;23379;22815;22753
6362;5119;252;133;116;23429;23028;22649
6682;5088;252;133;116;23177;22483;22592
6424;4900;252;133;116;22889;22689;22618
6389;5158;252;133;116;22875;23071;22616
6397;4870;252;133;116;22842;22790;22683
6298;5026;252;133;116;23965;24017;23255
6441;5142;252;133;116;22153;22792;22373
6420;5025;252;133;116;22623;22777;22366
6223;5650;252;133;116;23154;22997;22082
6428;5093;252;133;116;22936;22932;23277
6068;5085;252;133;116;22831;22653;22480
6349;4908;252;133;116;22604;23152;22523
6403;4954;252;133;116;22736;22671;23081
6444;5045;252;133;116;22655;22767;22488
6403;5051;252;133;116;22577;22717;22746
6716;5025;252;133;116;22529;22683;22465
6429;5122;252;133;116;23214;23014;22930
6524;5026;252;133;116;22696;22832;22714
6438;5055;252;133;116;22866;22549;22722
6435;5120;252;133;116;22650;22747;22730
6333;5209;252;133;116;22644;23001;22125
6327;4974;252;133;116;23088;22280;22317
6514;5120;252;133;116;22646;23229;23529
6412;4833;252;133;116;23654;23320;23173
6382;5008;252;133;116;22067;22363;22831
6673;5213;252;133;116;22106;23414;22944
6549;4934;252;133;116;23200;22897;22851
6572;5024;252;133;116;23926;22997;22492
6541;4977;252;133;116;22689;23399;23592
6409;5013;252;133;116;23683;23956;22834
6459;5001;252;133;116;23237;22951;23140
6492;5493;252;133;116;22953;22939;22371
6709;5311;252;133;116;23125;22832;22704
6411;5076;252;133;116;22488;22340;22317
6348;4971;252;133;116;22970;22219;22178
6467;5051;252;133;116;22638;22715;22857
6984;5195;252;133;116;24004;23464;23329
6178;5045;252;133;116;23087;22152;21945
6707;4999;252;133;116;23127;23029;22467
6380;5237;252;133;116;22819;23285;22943
6751;5101;252;133;116;23849;22387;23122
6331;5136;252;133;116;23317;23310;22660
6110;4907;252;133;116;23275;24235;23092
6442;5146;252;133;116;23499;23134;22584
6456;4909;252;133;116;23373;22791;22555
6518;5316;252;133;116;23400;23203;23407
6622;5194;252;133;116;24438;22756;22703
6579;4921;252;133;116;22482;23095;23185
6639;5034;252;133;116;23272;24527;23801
6411;5109;252;133;116;22850;23474;23243
6389;5185;252;133;116;23009;22842;22466
6103;5132;252;133;116;23345;22498;22711
6650;5148;252;133;116;22744;22149;22985
6439;4998;252;133;116;23450;22847;22968
6364;5079;252;133;116;22673;22965;22611
6479;4889;252;133;116;22558;22563;22297
6409;5156;252;133;116;23159;22565;23194
6576;5137;252;133;116;22639;24444;23867
6434;5038;252;133;116;23091;23620;22883
6450;5181;252;133;116;23202;22468;22737
7695;5042;252;133;116;23124;22845;22353
6346;5104;252;133;116;23940;22321;22633
6413;4960;252;133;116;22071;22704;22497
6372;5122;252;133;116;22807;24776;22989
6284;4912;252;133;116;23329;22753;22973
6574;5226;252;133;116;22519;22751;22382
6471;5072;252;133;116;23066;22957;22586
6100;4996;252;133;116;22334;22574;22969
6121;4842;252;133;116;22906;22466;23010
6429;4987;252;133;116;22479;22526;22704
6469;5139;252;133;116;23309;23187;22648
