install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
4629;1235;219;117;28;22137;22226;21936
4551;1253;219;117;28;21477;22320;22029
4538;1234;219;117;28;21378;22241;21325
4517;1212;219;117;28;22072;22463;21976
4491;1215;219;117;28;22331;22548;23078
4492;1269;219;117;28;22434;21672;21847
4608;1258;219;117;28;22031;22472;22310
4481;1219;219;117;28;22439;22220;22643
4769;1239;219;117;28;22033;22207;22215
4480;1214;219;117;28;22411;23075;21738
4761;1238;219;117;28;22269;22396;22552
4532;1258;219;117;28;22408;21442;21921
4529;1221;219;117;28;21880;22775;21803
4475;1223;219;117;28;22538;21792;21838
4509;1213;219;117;28;22000;21925;21501
4742;1265;219;117;28;22521;23495;22565
4533;1238;219;117;28;21838;21731;22113
4520;1220;219;117;28;21849;21966;21984
4479;1242;219;117;28;22922;21431;22301
4494;1240;219;117;28;21831;21782;21521
4790;1214;219;117;28;22669;22400;21810
4514;1227;219;117;28;22280;22621;21852
4481;1234;219;117;28;21584;22330;22422
4479;1236;219;117;28;21763;21998;21742
4517;1268;219;117;28;21894;21188;21909
4439;1254;219;117;28;21895;21699;22521
4481;1241;219;117;28;22056;21916;21877
4468;1225;219;117;28;22245;21707;21623
4529;1211;219;117;28;22205;22589;22573
4519;1245;219;117;28;22649;22199;22190
4563;1252;219;117;28;22243;22413;21388
4572;1231;219;117;28;22215;21959;21676
4594;1257;219;117;28;21883;22983;22403
4643;1230;219;117;28;22625;22160;21732
4484;1252;219;117;28;21854;21295;21756
4543;1211;219;117;28;21879;21763;21530
4398;1203;219;117;28;21812;21789;21795
4489;1238;219;117;28;22013;22034;22114
4449;1219;219;117;28;21825;22174;22239
4481;1261;219;117;28;21865;22485;21866
4485;1211;219;117;28;22471;22313;22144
4502;1231;219;117;28;21713;22585;21791
4504;1557;219;117;28;21969;22404;21385
4495;1232;219;117;28;21830;22215;22484
4522;1306;219;117;28;22006;23303;21480
4496;1237;219;117;28;22145;22114;21739
4481;1220;219;117;28;22448;21908;21873
4432;1228;219;117;28;21900;22714;22004
4596;1233;219;117;28;22764;22783;22809
4497;1247;219;117;28;22444;21578;22769
4501;1230;219;117;28;21925;21777;22118
4516;1252;219;117;28;22731;21845;22239
4762;1219;219;117;28;21827;22759;22609
4513;1216;219;117;28;22160;22024;22437
4671;1213;219;117;28;21918;22631;21546
4563;1217;219;117;28;22333;21741;21819
4440;1252;219;117;28;21991;22072;22027
4517;1256;219;117;28;22267;22315;21785
4527;1248;219;117;28;22511;22555;21533
4833;1270;219;117;28;23240;22861;21607
4518;1263;219;117;28;22602;22219;21730
4440;1256;219;117;28;22301;22288;22403
4483;1322;219;117;28;23113;22561;23127
4522;1262;219;117;28;21752;22175;21794
4665;1236;219;117;28;21912;22285;22276
4535;1233;219;117;28;22576;22315;22482
4459;1248;219;117;28;22152;22000;21896
4488;1242;219;117;28;22307;22683;21411
4561;1230;219;117;28;22802;22149;21589
4512;1255;219;117;28;22459;21760;22236
4475;1280;219;117;28;22619;22161;21521
4522;1214;219;117;28;22949;22120;22222
4510;1237;219;117;28;22485;22610;23175
4490;1287;219;117;28;22255;21524;21604
4736;1247;219;117;28;22127;22370;22676
4502;1233;219;117;28;22719;22299;22634
4723;1255;219;117;28;22923;22123;22239
4470;1306;219;117;28;23903;24279;23092
4790;1310;219;117;28;22624;22475;21878
4512;1196;219;117;28;22545;22583;23827
4516;1234;219;117;28;23021;23643;22993
4747;1219;219;117;28;21402;23154;23082
4658;1225;219;117;28;22679;23977;23447
4522;1254;219;117;28;22540;23175;22363
4505;1223;219;117;28;22394;22646;21981
4518;1215;219;117;28;21576;22072;23194
4540;1291;219;117;28;23155;22085;22088
4593;1254;219;117;28;22622;23505;22199
4585;1238;219;117;28;22272;22220;22238
4605;1268;219;117;28;22306;22019;21895
4544;1235;219;117;28;23195;23191;22900
4553;1391;219;117;28;21844;22276;21746
4508;1375;219;117;28;22857;23141;21744
4533;1214;219;117;28;21971;22372;21856
4561;1252;219;117;28;22509;22490;22939
4509;1228;219;117;28;22353;22373;22134
4486;1220;219;117;28;21805;22017;22184
4459;1230;219;117;28;23014;22475;22271
4563;1256;219;117;28;22602;22786;21761
4477;1260;219;117;28;22129;22291;21829
4451;1255;219;117;28;22018;22028;22398
4472;1208;219;117;28;22633;22136;21484
4590;1252;219;117;28;21997;22336;22522
4521;1238;219;117;28;22095;21822;22185
4539;1270;219;117;28;22096;21730;21797
4462;1220;219;117;28;21913;23058;23849
4472;1196;219;117;28;21877;21999;22389
4452;1215;219;117;28;22378;21875;22623
4522;1235;219;117;28;22368;22156;22095
4634;1346;219;117;28;23175;24132;22177
4539;1214;219;117;28;22046;21896;21970
4658;1216;219;117;28;21889;22219;22016
4508;1341;219;117;28;24077;23559;23358
4504;1319;219;117;28;22669;21892;21996
4491;1238;219;117;28;22103;21843;21896
4538;1310;219;117;28;22856;22552;22026
4482;1234;219;117;28;22288;22293;23351
4525;1423;219;117;28;23023;21931;22392
4550;1228;219;117;28;21868;23352;22319
4483;1284;219;117;28;22464;22393;23103
4762;1316;219;117;28;23149;22104;22344
4492;1259;219;117;28;23090;22590;23307
4475;1249;219;117;28;22152;22603;22154
4622;1222;219;117;28;22950;22795;22383
4511;1234;219;117;28;22896;23080;21933
4681;1239;219;117;28;22961;22802;21629
4545;1232;219;117;28;22430;22704;21988
4510;1284;219;117;28;22388;22735;22334
4562;1224;219;117;28;22124;22282;22293
4555;1285;219;117;28;22939;22457;21630
4562;1276;219;117;28;22551;22917;23458
4546;1302;219;117;28;22993;22331;22123
4483;1246;219;117;28;24441;22835;22282
4753;1322;219;117;28;24291;23258;24163
4571;1252;219;117;28;22877;22420;22475
4493;1214;219;117;28;22915;21902;22233
4502;1318;219;117;28;22913;22360;21894
4490;1270;219;117;28;22340;22534;22392
4488;1263;219;117;28;22502;22292;22538
4495;1241;219;117;28;22148;21905;22695
4398;1245;219;117;28;22522;22493;22120
4537;1257;219;117;28;22292;22456;22088
4485;1273;219;117;28;22305;21998;22615
4492;1236;219;117;28;22907;22516;22687
4562;1323;219;117;28;22860;22587;22666
4466;1222;219;117;28;22800;22242;21938
4461;1236;219;117;28;22046;23086;22504
4639;1227;219;117;28;23681;22190;21764
4565;1234;219;117;28;22717;21873;23119
4514;1284;219;117;28;22131;22086;22513
4601;1245;219;117;28;22238;22283;22147
4518;1239;219;117;28;22081;21827;21519
4628;1290;219;117;28;22674;22211;21870
4535;1288;219;117;28;22794;21886;22248
4527;1248;219;117;28;22376;22043;22553
4499;1272;219;117;28;22113;22599;21682
4855;1266;219;117;28;22814;22566;22217
4513;1258;219;117;28;22599;22354;22399
4493;1239;219;117;28;21955;22158;21782
4749;1321;219;117;28;22927;23376;21994
4501;1222;219;117;28;21230;21767;22209
4550;1225;219;117;28;21752;22096;22431
4551;1260;219;117;28;21999;22133;21165
4474;1245;219;117;28;22246;22337;22175
4486;1238;219;117;28;22275;21485;21982
4496;1202;219;117;28;22384;22338;22280
4661;1312;219;117;28;22048;22398;22926
4545;1223;219;117;28;22579;22282;21775
4506;1235;219;117;28;21900;22144;22384
4486;1233;219;117;28;25815;40085;27439
4668;1328;219;117;28;23543;21889;22225
4479;1244;219;117;28;22952;22103;22391
4680;1232;219;117;28;22153;21579;21665
4481;1261;219;117;28;22766;22269;22126
4589;1256;219;117;28;21934;22825;21667
4523;1262;219;117;28;22419;24060;22954
4590;1224;219;117;28;22389;22123;22066
4464;1230;219;117;28;23124;22981;24059
4455;1330;219;117;28;22423;22282;22394
4621;1271;219;117;28;21832;21758;21924
4567;1229;219;117;28;23520;23391;23193
5432;1555;219;117;28;26160;26688;25126
