install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
50127;5695;1749;789;220;22851;23301;22816
49968;5852;1749;789;220;23868;23115;23017
47360;5986;1749;789;220;22811;22639;23097
47927;5758;1749;789;220;23166;22533;23224
47220;5774;1749;789;220;23708;23903;23083
50524;5723;1749;789;220;22960;23143;22914
47988;5895;1749;789;220;23270;23207;23107
48905;5658;1749;789;220;22674;23122;22782
48250;5753;1749;789;220;23496;22642;23229
49034;5608;1749;789;220;23368;22760;22529
47834;5880;1749;789;220;23274;22662;23174
48630;5748;1749;789;220;23544;22833;22963
48271;5761;1749;789;220;23188;22235;22954
48084;5750;1749;789;220;22931;23045;22834
48766;5835;1749;789;220;23070;22998;23476
47896;6462;1749;789;220;24011;24420;23080
47732;5682;1749;789;220;23200;23023;22982
48412;5731;1749;789;220;22620;23031;22890
48415;5721;1749;789;220;22868;22520;23011
48889;5751;1749;789;220;23048;22674;23053
49238;5692;1749;789;220;23425;22863;23595
48693;5661;1749;789;220;23022;22651;22986
47713;6162;1749;789;220;22992;22828;22938
47759;5800;1749;789;220;23276;23068;23003
48706;5803;1749;789;220;22948;22047;22838
47890;6076;1749;789;220;22867;22920;22896
46331;5650;1749;789;220;22339;24469;22470
48051;5934;1749;789;220;23231;22870;22790
45740;5783;1749;789;220;23158;22579;23359
48776;6209;1749;789;220;23120;23381;22732
48404;6166;1749;789;220;22834;23203;23093
49056;6055;1749;789;220;23620;22148;23069
49224;5918;1749;789;220;23403;23256;23167
47955;5764;1749;789;220;23384;23232;23161
49046;6252;1749;789;220;23058;23495;23256
47095;5760;1749;789;220;22790;22671;22520
47254;5666;1749;789;220;23493;22886;22846
47292;5987;1749;789;220;23407;23604;22877
46956;5674;1749;789;220;22836;23051;23107
46984;5710;1749;789;220;23706;23368;22965
46582;6206;1749;789;220;22868;23186;22956
49016;5761;1749;789;220;22829;23243;22912
47208;5849;1749;789;220;23221;22475;22943
47912;6488;1749;789;220;22841;23031;22675
48288;5668;1749;789;220;23192;23406;22706
49122;5793;1749;789;220;23168;22478;22493
47178;6123;1749;789;220;22774;22844;22733
46354;5755;1749;789;220;22407;23025;23729
47013;5694;1749;789;220;23345;23717;22875
47816;5767;1749;789;220;23341;22496;22782
48570;5831;1749;789;220;23203;23022;23241
49019;5785;1749;789;220;23816;23496;23358
48514;5926;1749;789;220;22925;22793;22802
47551;5950;1749;789;220;23412;23126;22951
48017;6113;1749;789;220;22625;22904;23052
45973;5791;1749;789;220;23330;23298;23056
48592;5736;1749;789;220;23405;23075;23544
48272;5704;1749;789;220;23640;23916;22958
49506;5872;1749;789;220;23814;23532;23733
48187;5879;1749;789;220;23151;22760;23206
48376;5746;1749;789;220;24455;23037;23515
48632;5656;1749;789;220;23588;22981;23207
46739;6528;1749;789;220;23810;23202;22931
48345;5630;1749;789;220;24659;23865;23361
49147;5807;1749;789;220;23505;24523;22985
48289;5671;1749;789;220;23645;23503;23786
47667;5928;1749;789;220;23359;23343;23480
46828;5866;1749;789;220;23900;22837;23564
48477;6104;1749;789;220;23998;23424;22826
45631;5750;1749;789;220;23101;23119;23195
48982;5790;1749;789;220;24123;23849;22774
47055;6235;1749;789;220;23821;22996;22834
47337;5838;1749;789;220;23424;22785;22902
49158;5781;1749;789;220;23351;24313;23356
45534;5862;1749;789;220;23588;23484;22888
48658;5917;1749;789;220;23039;23352;22526
48672;5981;1749;789;220;23250;23369;23666
47057;6230;1749;789;220;23662;23275;22871
48736;6406;1749;789;220;24978;24542;23671
47783;6306;1749;789;220;23475;24329;23937
45041;6011;1749;789;220;23142;23449;23999
49171;6212;1749;789;220;24523;24377;23986
46433;6070;1749;789;220;23299;23488;23483
48060;5831;1749;789;220;23583;23845;23091
48748;5846;1749;789;220;23218;23144;23740
49295;6265;1749;789;220;23016;23262;24751
47202;5960;1749;789;220;24073;23329;23589
47584;5874;1749;789;220;23044;23267;23137
48764;5831;1749;789;220;23071;23684;23024
46834;5695;1749;789;220;23405;23418;22924
48353;6081;1749;789;220;23953;23323;22640
48886;5667;1749;789;220;23961;23407;23187
47914;5704;1749;789;220;23043;23368;23231
48552;5840;1749;789;220;23050;22939;22645
48022;5821;1749;789;220;23250;23771;23549
47710;5709;1749;789;220;23607;23171;23083
45510;5701;1749;789;220;23288;23303;22656
48278;6096;1749;789;220;23565;23096;23018
47377;5717;1749;789;220;23333;23011;23105
45874;6044;1749;789;220;23022;23110;22775
46624;5774;1749;789;220;23611;23315;22388
48327;5811;1749;789;220;23567;23002;22940
47753;6162;1749;789;220;23275;23321;23040
46768;5764;1749;789;220;23170;23394;22824
48490;5765;1749;789;220;22737;22883;23052
47982;5737;1749;789;220;23894;23715;23087
48668;5816;1749;789;220;23300;23140;22735
46257;5649;1749;789;220;23410;23988;23625
48817;5879;1749;789;220;23489;23510;24240
47797;5707;1749;789;220;23189;24635;23181
47441;5693;1749;789;220;23445;23395;23248
47408;6016;1749;789;220;24285;22914;22717
47636;6147;1749;789;220;24325;24053;23465
48386;6097;1749;789;220;23801;23236;23010
46851;6058;1749;789;220;23247;22866;22853
47043;6429;1749;789;220;24232;23431;23555
46819;5846;1749;789;220;22885;23300;23787
48974;6299;1749;789;220;23278;22770;22970
47770;5804;1749;789;220;23012;22929;23097
48514;5956;1749;789;220;23836;23540;22777
47904;5810;1749;789;220;22928;23633;23034
46518;5939;1749;789;220;23086;24513;24699
49135;5772;1749;789;220;22880;23566;23316
46071;5674;1749;789;220;23634;23622;23635
46159;5808;1749;789;220;24215;23503;23414
48740;6134;1749;789;220;22858;24297;23405
48734;5839;1749;789;220;23400;22600;22997
47044;6345;1749;789;220;23440;22901;22919
46705;5997;1749;789;220;24214;24112;23865
48397;5735;1749;789;220;23542;23398;23288
47783;5987;1749;789;220;24532;23671;23835
46556;6091;1749;789;220;24792;23540;24077
46449;6024;1749;789;220;23477;22952;23531
48369;5850;1749;789;220;24256;23541;22783
47295;5725;1749;789;220;23012;23980;23591
45075;5733;1749;789;220;23243;23390;23517
48358;5759;1749;789;220;23507;23426;23056
47863;6559;1749;789;220;23868;23554;23362
48662;5884;1749;789;220;23626;23049;23300
47217;5889;1749;789;220;23325;23188;23577
49012;5818;1749;789;220;23708;22852;22451
47553;5827;1749;789;220;23938;22988;22753
45138;5750;1749;789;220;24123;23288;23092
48055;5882;1749;789;220;23485;23363;22853
45131;5898;1749;789;220;23823;23654;24716
48633;5739;1749;789;220;23687;23271;23618
46776;5859;1749;789;220;23448;23540;23619
48183;5679;1749;789;220;23919;23319;22813
48118;5748;1749;789;220;23107;23189;23142
49056;5879;1749;789;220;23605;23019;23015
46545;5637;1749;789;220;23478;23404;23376
46237;5935;1749;789;220;23954;23055;22582
46847;5714;1749;789;220;23819;23362;23117
48160;6078;1749;789;220;23098;23125;23321
48401;5752;1749;789;220;23199;23116;23186
45967;6171;1749;789;220;23409;23929;23127
48610;6096;1749;789;220;23148;23254;23422
48296;6224;1749;789;220;23630;23238;23357
49291;6679;1749;789;220;23285;23226;22579
45014;5696;1749;789;220;22998;22942;22697
48979;5730;1749;789;220;23502;22667;23164
47193;5765;1749;789;220;23528;22947;22731
49490;6546;1749;789;220;23523;22519;23251
47296;5740;1749;789;220;23589;23951;24258
45247;5717;1749;789;220;22883;22730;22856
48026;5883;1749;789;220;23103;23106;23320
45397;5894;1749;789;220;23692;23777;23074
48837;5643;1749;789;220;23400;22533;23419
