install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
31965;8244;1400;616;616;22563;24346;23297
31522;8194;1400;616;616;22814;23003;22665
32088;7989;1400;616;616;22241;23034;22310
32941;8202;1400;616;616;23153;23146;22867
32259;8044;1400;616;616;22791;22815;22735
32954;8039;1400;616;616;22505;23313;22130
32465;8312;1400;616;616;23261;23450;23799
32056;8129;1400;616;616;22850;22892;22759
31855;7839;1400;616;616;23618;23374;22596
31947;8213;1400;616;616;22505;22733;23119
32282;8044;1400;616;616;23169;22857;22169
32821;8300;1400;616;616;22957;22939;22910
32512;8276;1400;616;616;22264;22846;22700
32652;8095;1400;616;616;22600;23118;23271
32198;8093;1400;616;616;23252;23061;23180
33004;7989;1400;616;616;23343;23090;22826
32536;7967;1400;616;616;23647;23208;22513
32394;7972;1400;616;616;22963;22550;23424
32825;8272;1400;616;616;22418;23442;22742
35015;8107;1400;616;616;22996;23008;22615
32354;8149;1400;616;616;22976;23161;25254
32840;8061;1400;616;616;22748;23167;22863
33368;7957;1400;616;616;23038;22916;22760
34338;8051;1400;616;616;23163;22742;22910
34225;7889;1400;616;616;22886;22693;22519
32616;8564;1400;616;616;22622;23169;23215
32968;8369;1400;616;616;23036;23058;23831
32939;7800;1400;616;616;23000;22536;22567
33773;8606;1400;616;616;23202;22581;23310
33997;7992;1400;616;616;23587;23475;22610
33007;8376;1400;616;616;22754;23237;22924
33138;8067;1400;616;616;23141;22121;23389
32711;7991;1400;616;616;23225;22847;23156
31478;8251;1400;616;616;23028;23201;22811
31671;7951;1400;616;616;22648;22850;22908
32338;8383;1400;616;616;22640;23169;22700
32696;8165;1400;616;616;23190;22893;23191
32539;7825;1400;616;616;23824;22624;22775
34228;8035;1400;616;616;23364;22607;22940
32681;8327;1400;616;616;23220;22953;23183
32861;8503;1400;616;616;22675;22969;23321
32424;8431;1400;616;616;23206;22752;22532
32188;8089;1400;616;616;23092;22953;23025
32067;8099;1400;616;616;22883;23796;23646
33574;8156;1400;616;616;23056;23359;23031
31678;7993;1400;616;616;24106;22593;22837
33487;8276;1400;616;616;24132;23236;23077
32518;7920;1400;616;616;24062;24106;23240
31720;7850;1400;616;616;23394;22710;23384
32693;8206;1400;616;616;22823;22845;22438
33330;8142;1400;616;616;23212;24234;23014
32703;8367;1400;616;616;23479;22889;23102
32467;8011;1400;616;616;22800;22974;22693
32537;8122;1400;616;616;23516;22342;22455
32619;7873;1400;616;616;23771;23050;22999
32945;8055;1400;616;616;23624;23068;23331
32914;8207;1400;616;616;23317;23086;22788
33940;8077;1400;616;616;22771;23326;23239
31955;8330;1400;616;616;23446;22675;23098
32734;7964;1400;616;616;23390;23107;22901
32071;8036;1400;616;616;23859;22394;22911
32438;8116;1400;616;616;23246;23183;22984
32071;7931;1400;616;616;23703;23018;22806
32517;8541;1400;616;616;23489;23120;22964
33082;8609;1400;616;616;23297;23497;23048
33040;8230;1400;616;616;23631;23036;23261
32427;7876;1400;616;616;24181;24162;22892
32423;7916;1400;616;616;23470;23111;22748
33030;8383;1400;616;616;23034;23049;22857
33309;8176;1400;616;616;23626;22775;22983
33867;8034;1400;616;616;23301;23097;23233
32814;8485;1400;616;616;23251;23254;23241
33065;7946;1400;616;616;23915;22391;22817
32567;8033;1400;616;616;23088;23616;23006
32204;8150;1400;616;616;23246;23104;23294
32340;7981;1400;616;616;23861;23253;23406
32691;8162;1400;616;616;23513;23176;22744
32682;8644;1400;616;616;23344;23304;23500
33085;8397;1400;616;616;23989;23173;23735
32842;8145;1400;616;616;24190;23499;23068
32669;8067;1400;616;616;25077;25884;23728
33199;8178;1400;616;616;23396;22476;22773
33371;7932;1400;616;616;23975;23877;24160
33302;8073;1400;616;616;23759;23014;23333
34457;8077;1400;616;616;23419;23410;23382
32984;8280;1400;616;616;23536;24763;24012
32705;8637;1400;616;616;24287;24381;24341
33026;8183;1400;616;616;23371;23444;23826
31497;8207;1400;616;616;23124;23466;22980
33044;8436;1400;616;616;23236;23290;23055
32458;8268;1400;616;616;23783;22661;22994
31944;8229;1400;616;616;23644;23165;22842
32512;8289;1400;616;616;23649;23131;23316
32428;8030;1400;616;616;22736;23026;23324
32487;8123;1400;616;616;23823;23322;23376
32196;8026;1400;616;616;23155;22861;22866
33038;8225;1400;616;616;22991;22868;23153
33356;7887;1400;616;616;24290;23552;23381
32942;8004;1400;616;616;23100;23380;23042
33262;8020;1400;616;616;23276;23119;23439
32864;8024;1400;616;616;23347;23300;22865
33063;8113;1400;616;616;22988;23549;23571
32991;8282;1400;616;616;23847;23247;23256
33332;7832;1400;616;616;23517;22922;23294
32964;8208;1400;616;616;23556;23189;22679
32412;8025;1400;616;616;23409;23487;23031
32570;7921;1400;616;616;23306;23512;23455
32702;7968;1400;616;616;22654;22676;22843
32629;7952;1400;616;616;24233;23169;23483
32645;8383;1400;616;616;23008;23609;22516
31464;8133;1400;616;616;23242;22775;22630
32048;8046;1400;616;616;24261;24160;23366
33332;8181;1400;616;616;23097;24849;24517
32809;7954;1400;616;616;23020;23204;22803
33587;8051;1400;616;616;22856;23489;23032
33705;7764;1400;616;616;23262;23109;23216
32624;7945;1400;616;616;23927;22932;22728
32543;8204;1400;616;616;23442;22253;22558
32396;7991;1400;616;616;23172;22517;22715
32503;7943;1400;616;616;23504;23700;23744
32465;7984;1400;616;616;24043;23267;23457
33153;8287;1400;616;616;23943;24111;24830
32847;8152;1400;616;616;23028;23329;23209
31511;8061;1400;616;616;22667;23195;23223
33571;8406;1400;616;616;23389;23378;23616
32000;8484;1400;616;616;24241;22781;22587
31877;7888;1400;616;616;23673;23797;23196
32663;7980;1400;616;616;24233;22813;22906
32091;7867;1400;616;616;23465;24080;23440
32485;8345;1400;616;616;23965;23555;23289
32122;7945;1400;616;616;23670;23599;24391
33116;8272;1400;616;616;24365;23906;23925
33315;8081;1400;616;616;23764;24151;24690
32088;7971;1400;616;616;23535;23192;22913
31993;8517;1400;616;616;23384;23409;23608
32817;8164;1400;616;616;23048;23031;23482
32438;7861;1400;616;616;23059;23196;22569
33591;8149;1400;616;616;23538;23202;23370
33309;8297;1400;616;616;23456;23175;22470
32374;8193;1400;616;616;24114;23164;22444
32259;8039;1400;616;616;24285;24048;23285
32162;8454;1400;616;616;23897;23084;23444
32533;8179;1400;616;616;24729;24323;24502
32688;8531;1400;616;616;24574;24006;23300
33240;8440;1400;616;616;23809;23486;23192
33653;9206;1400;616;616;25407;23526;23222
33895;7912;1400;616;616;23870;23830;23771
33424;8291;1400;616;616;23609;22906;23001
33703;8059;1400;616;616;23567;24147;24091
32301;8037;1400;616;616;23846;23356;22874
