install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
18656;29102;297;297;404;25685;25350;25079
3354;33406;297;297;404;25372;25006;25234
3493;33831;297;297;404;25335;25999;24599
3543;32333;297;297;404;25436;25224;25244
2394;31776;297;297;404;25157;24869;24882
2683;32435;297;297;404;25669;25523;24875
4348;31781;297;297;404;25759;25293;25741
7179;59772;297;297;404;40022;25393;25925
2657;31893;297;297;404;25044;25149;25108
7549;31788;297;297;404;25751;25806;24571
3620;32836;297;297;404;25090;27041;26457
7551;32466;297;297;404;24941;25745;25822
4135;33409;297;297;404;25250;24884;24813
3175;31921;297;297;404;24196;25180;25269
2934;32681;297;297;404;24958;25317;24967
6286;32479;297;297;404;24648;25019;25145
3439;31779;297;297;404;25676;25269;25934
2584;32230;297;297;404;25325;25480;25002
8597;32178;297;297;404;25964;24968;23618
2775;32322;297;297;404;25624;25613;25304
7202;31613;297;297;404;25972;24367;24307
3150;31954;297;297;404;25158;25238;24689
3620;32098;297;297;404;25328;24436;24626
4976;32209;297;297;404;25777;25068;25153
4073;31961;297;297;404;25586;25057;25368
5796;32276;297;297;404;25397;25356;25698
3099;31834;297;297;404;26368;25702;25773
2682;31717;297;297;404;25891;25131;24754
3140;32110;297;297;404;25075;26184;26154
4537;31685;297;297;404;25038;24594;24825
6044;32227;297;297;404;26066;25579;25122
2414;31833;297;297;404;25722;25487;25138
2445;32615;297;297;404;25170;24826;25162
6145;31818;297;297;404;25356;24561;24726
2478;32254;297;297;404;25591;24616;25613
4523;31459;297;297;404;25195;25472;24670
6903;32376;297;297;404;25123;25935;26262
3220;31887;297;297;404;25604;24540;25416
2962;33560;297;297;404;26135;25472;25409
3629;31918;297;297;404;25398;25238;25462
3608;31885;297;297;404;26051;26136;25153
5923;31897;297;297;404;25080;25256;25500
2766;32652;297;297;404;25872;24939;25107
2389;33240;297;297;404;25532;25221;24981
3762;31936;297;297;404;25437;23949;26138
2576;32168;297;297;404;25782;25190;24875
2863;31626;297;297;404;25302;25446;24570
2428;33149;297;297;404;25975;25357;25511
4795;32556;297;297;404;25439;25038;25383
2646;32046;297;297;404;25768;25091;25485
3242;32585;297;297;404;26742;25596;26008
4604;32095;297;297;404;25142;25110;25868
2683;32212;297;297;404;25297;25596;25390
2775;32072;297;297;404;24579;25682;25059
7804;32176;297;297;404;25858;24728;24642
3031;31833;297;297;404;25717;25215;26016
8078;32954;297;297;404;25743;25062;25784
6112;31476;297;297;404;25062;25569;24787
2951;31812;297;297;404;25721;24416;24061
4862;31671;297;297;404;25984;25407;25108
5166;32842;297;297;404;25986;25456;24903
5152;32356;297;297;404;25545;25370;25101
2681;31944;297;297;404;25696;25525;24531
3651;32634;297;297;404;25222;24654;25674
2972;31587;297;297;404;24821;24967;25478
7309;32550;297;297;404;24860;24642;25401
3086;32023;297;297;404;25169;25187;24409
2507;31330;297;297;404;24597;24648;25448
2552;32422;297;297;404;25656;25414;25917
3770;33163;297;297;404;26042;25318;25074
6300;32515;297;297;404;25413;25566;25440
5268;32068;297;297;404;25705;24976;24649
6020;32034;297;297;404;25437;24765;25371
2879;31610;297;297;404;25593;24552;24945
2486;32228;297;297;404;25473;24882;24681
3989;32176;297;297;404;25299;26011;24665
2703;32004;297;297;404;26341;24903;25196
3344;32392;297;297;404;26052;25889;25564
2603;31900;297;297;404;24314;24158;24369
2787;32049;297;297;404;25224;24263;24823
2650;31990;297;297;404;25879;24725;24060
7023;31767;297;297;404;24898;24531;24758
3701;32367;297;297;404;26348;25568;24580
4646;31694;297;297;404;26306;24745;24864
2469;31883;297;297;404;25249;24733;24563
5956;32025;297;297;404;25019;25263;24915
4462;32304;297;297;404;24527;25268;24245
3822;31873;297;297;404;24858;24783;24217
6517;32085;297;297;404;25221;24430;24622
4460;32464;297;297;404;24228;24028;24565
2265;31685;297;297;404;25293;24835;24314
3163;31813;297;297;404;26036;24692;24730
3913;31715;297;297;404;25076;24413;24210
3466;32288;297;297;404;24141;24341;24604
4206;31130;297;297;404;25063;24322;24714
3432;31537;297;297;404;24543;24498;23765
2455;32013;297;297;404;24797;25215;24431
2985;31727;297;297;404;24556;24438;23467
