install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
5501;3881;186;107;164;24671;24842;25150
5344;3755;186;107;164;26848;25177;24622
5470;3700;186;107;164;24994;24936;24789
5383;3680;186;107;164;25748;24638;24807
5430;3690;186;107;164;25157;24767;25307
5679;3601;186;107;164;25521;24938;25155
5395;3720;186;107;164;25050;23785;23685
5321;3690;186;107;164;24832;25688;24809
5241;3742;186;107;164;25230;23917;25130
5576;3704;186;107;164;25499;24607;24433
5282;3779;186;107;164;25281;24758;24803
5442;3730;186;107;164;25721;25440;24721
5405;3645;186;107;164;24445;25297;24561
5410;3743;186;107;164;24400;24801;23921
5389;3607;186;107;164;25437;24562;25013
5766;3663;186;107;164;25136;24326;24218
5579;3811;186;107;164;25134;23802;24439
5369;3721;186;107;164;25208;24637;25300
5401;3712;186;107;164;25108;24054;24655
5203;3830;186;107;164;25171;24415;24884
5415;3650;186;107;164;25821;25165;24584
5642;3605;186;107;164;24898;24080;24927
5536;3670;186;107;164;25251;25323;24820
5646;3837;186;107;164;25324;25324;25124
5508;3684;186;107;164;25513;24349;24771
5920;3655;186;107;164;25515;24982;24357
5689;3737;186;107;164;25488;24365;24792
5386;3669;186;107;164;25025;24595;23682
5513;3678;186;107;164;25075;24685;24531
5297;3615;186;107;164;25426;24162;25485
5416;3711;186;107;164;25429;23860;24487
5416;3738;186;107;164;25475;24208;24367
5660;3728;186;107;164;25486;25417;23884
5246;3719;186;107;164;24625;25153;24723
5518;3827;186;107;164;25458;25283;24940
5468;3728;186;107;164;25274;24368;24557
5488;3704;186;107;164;24819;24831;24791
5364;3684;186;107;164;24768;24356;25369
5455;3959;186;107;164;25632;25582;25425
5439;3733;186;107;164;24796;25253;25526
5958;3701;186;107;164;25376;24441;25089
5778;3832;186;107;164;25481;24550;25086
5431;3782;186;107;164;25121;24583;25046
5579;3736;186;107;164;24195;24201;24650
5481;4020;186;107;164;25915;25000;24512
5421;3732;186;107;164;25436;23715;23914
5484;3684;186;107;164;24200;24517;24559
5316;3877;186;107;164;25053;24776;25095
5428;3759;186;107;164;25663;24901;24588
5461;3683;186;107;164;25469;25372;24923
5207;3748;186;107;164;25724;24830;24590
5170;3744;186;107;164;25348;24545;24816
5365;3702;186;107;164;24729;24778;24817
5470;3667;186;107;164;24395;24913;25036
5558;3686;186;107;164;25589;25450;25363
5544;3671;186;107;164;24496;25089;24601
5286;3849;186;107;164;25358;24573;25187
5803;3909;186;107;164;24330;25067;24551
6039;3682;186;107;164;24079;24422;24066
5996;3727;186;107;164;24642;24817;24716
5971;3797;186;107;164;25421;25061;23757
5666;3628;186;107;164;25140;25198;25556
6312;3660;186;107;164;25236;24572;24597
5446;3718;186;107;164;24102;24629;24636
5206;3729;186;107;164;24562;24569;24854
5374;3863;186;107;164;25610;25426;25244
5401;3644;186;107;164;24554;24765;25277
5637;3700;186;107;164;24485;25048;24545
5535;3822;186;107;164;25134;24270;24633
5621;3667;186;107;164;24189;24299;25338
5539;3715;186;107;164;25012;26056;24561
5756;3670;186;107;164;24952;24639;25312
5643;3691;186;107;164;25359;24442;24576
