install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
5686;6030;118;118;116;25411;25603;25543
6626;5718;118;118;116;24683;24055;23812
4606;6699;118;118;116;24925;24783;24238
3411;6735;118;118;116;24971;24949;25237
1198;6836;118;118;116;25319;23894;24714
1131;6713;118;118;116;24243;24275;24258
1241;6653;118;118;116;24561;24374;24077
2123;6654;118;118;116;24423;25326;24287
1155;6929;118;118;116;24426;24439;23765
1175;6810;118;118;116;25357;25375;24173
1160;6733;118;118;116;24386;24295;24616
1172;6777;118;118;116;25106;24511;24160
1148;6627;118;118;116;25190;24654;24742
1149;6835;118;118;116;24375;24059;23971
1167;6749;118;118;116;23782;24185;24196
1302;6664;118;118;116;23187;23501;24215
1190;6754;118;118;116;25236;23689;23976
1122;6730;118;118;116;24004;24347;24547
1180;6964;118;118;116;23859;24954;24797
1136;6886;118;118;116;25184;25164;24858
2062;6515;118;118;116;24251;23732;23830
2199;6689;118;118;116;24705;23345;24781
1294;6823;118;118;116;24215;24454;24622
1157;6716;118;118;116;24126;24248;23987
1178;6721;118;118;116;24448;24460;25513
1194;6718;118;118;116;24106;23756;23892
1153;6800;118;118;116;24133;24326;24504
1271;6674;118;118;116;24152;23962;23911
1181;6770;118;118;116;25059;24860;23963
1219;7209;118;118;116;23730;24470;23549
1137;6773;118;118;116;24508;25202;23997
1119;6334;118;118;116;24276;24182;24238
1152;6574;118;118;116;25187;24079;24767
1134;6743;118;118;116;25570;24570;23762
1207;6679;118;118;116;25525;25678;25473
1174;6756;118;118;116;24409;24443;24301
1219;6642;118;118;116;24505;24125;24440
1170;6639;118;118;116;25587;24158;24430
1206;6887;118;118;116;24795;25235;25018
1147;6716;118;118;116;24260;24520;25123
1297;6523;118;118;116;24951;24196;25082
1223;6643;118;118;116;24785;24582;23317
1762;7000;118;118;116;24681;24218;23911
1165;6834;118;118;116;24685;23932;24194
1185;6787;118;118;116;24565;23358;24439
1239;6459;118;118;116;23719;23322;23142
1184;6783;118;118;116;24579;24672;23353
1249;7030;118;118;116;24146;24191;24199
1183;6924;118;118;116;24607;24123;23948
2064;6563;118;118;116;24038;24151;23927
1519;6815;118;118;116;24701;24894;24098
1180;6845;118;118;116;24774;24807;25329
1192;6928;118;118;116;24908;24882;24908
1228;6699;118;118;116;24514;25359;24889
1119;6641;118;118;116;24352;24851;23801
1168;6848;118;118;116;24280;24368;24154
1250;6814;118;118;116;24194;23870;24263
1166;6736;118;118;116;23838;23324;23864
1176;6882;118;118;116;24743;24260;24676
1217;6591;118;118;120;24012;24282;24694
1548;6652;118;118;116;24451;24298;24903
1162;6452;118;118;116;24282;24037;23785
1203;6691;118;118;116;23905;23956;24711
1130;6667;118;118;116;24495;24063;24224
1185;6799;118;118;116;24345;23893;23688
1154;6578;118;118;116;24460;23647;23847
1207;6604;118;118;116;23897;24020;23280
1148;6678;118;118;116;23704;24026;23999
1146;6670;118;118;116;24178;23793;23630
1185;6785;118;118;116;24677;24379;24094
1139;6842;118;118;116;25396;24527;25718
1352;6590;118;118;116;25149;23260;23071
1156;7048;118;118;116;23680;23619;23785
1158;6329;118;118;116;24474;24987;24711
1167;6903;118;118;116;24476;24314;24214
1162;6892;118;118;116;24562;23771;24716
2000;6629;118;118;116;23743;24538;24224
1271;7111;118;118;116;25812;24718;24605
1749;6542;118;118;116;23975;24330;23647
1218;6560;118;118;116;23806;23588;23949
1186;6864;118;118;116;23613;24344;24227
1158;6527;118;118;116;23983;23626;23283
1236;6833;118;118;116;24377;24136;23620
1174;6823;118;118;116;24187;23623;23588
1172;6889;118;118;116;24225;24393;23915
1209;6563;118;118;116;24254;23565;23136
1166;6527;118;118;116;23390;23517;23789
1147;6796;118;118;116;23185;24118;23483
1160;6691;118;118;116;24087;23076;23027
1171;6748;118;118;116;23670;23773;22978
1150;6759;118;118;116;24016;22852;23008
1532;6808;118;118;116;24389;23576;24845
1796;6689;118;118;116;23473;22636;23418
1483;6692;118;118;116;24904;23054;23530
1162;6664;118;118;116;24367;23996;23047
1150;6626;118;118;116;23111;23518;23371
1166;6580;118;118;116;24066;23599;22972
1191;6714;118;118;116;23354;24023;23453
1104;6768;118;118;116;23519;24024;23025
1149;6678;118;118;116;23380;24035;22930
1260;6814;118;118;116;23628;24114;23254
1251;6915;118;118;116;23529;23580;23324
1158;6679;118;118;116;24118;23793;23236
1167;6779;118;118;116;23238;24825;24014
2384;6707;118;118;116;24412;23142;22680
1222;6891;118;118;116;24115;24599;24252
1131;6764;118;118;116;24001;40024;23958
1210;6830;118;118;116;24267;24257;24276
