install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
1647;1536;102;102;28;24689;24087;23669
2589;1548;102;102;28;24682;24112;23928
1019;1454;102;102;28;24368;24044;23417
1029;1461;102;102;28;23681;24701;23698
1013;1491;102;102;28;24649;24077;23408
995;1434;102;102;28;23596;23994;24359
1000;1502;102;102;28;23382;23750;24021
1001;1499;102;102;28;24127;23353;24498
977;1459;102;102;28;23455;23451;23769
1004;1450;102;102;28;24232;23809;24130
1001;1454;102;102;28;23991;24249;23236
1013;1482;102;102;28;24241;23980;22641
1084;1531;102;102;28;25672;24816;24783
1018;1477;102;102;28;24227;24026;23344
973;1453;102;102;28;23965;23686;23230
993;1529;102;102;28;24338;24160;24225
1010;1517;102;102;28;24690;23676;24826
985;1529;102;102;28;23347;23768;24164
985;1473;102;102;28;23840;22419;23486
1018;1498;102;102;28;25282;24018;23929
983;1456;102;102;28;22774;23665;23929
966;1452;102;102;28;23194;23898;24067
1002;1482;102;102;28;24297;23908;23054
1011;1465;102;102;28;23911;23296;23723
1032;1507;102;102;28;24182;25013;24192
1031;1607;102;102;28;24681;25047;23972
997;1457;102;102;28;24000;23701;23635
1113;1461;102;102;28;23978;24410;24005
990;1483;102;102;28;23801;23607;23008
1039;1536;102;102;28;23551;23331;23549
1021;1455;102;102;28;25172;23402;24163
1127;1503;102;102;28;23613;23307;24300
983;1445;102;102;28;25586;24724;23564
984;1483;102;102;28;23765;24736;23412
1004;1479;102;102;28;24405;24107;24840
1002;1489;102;102;28;23967;24375;23676
989;1474;102;102;28;24834;24242;23837
1026;1498;102;102;28;23644;24160;23969
994;1468;102;102;28;25039;24554;24791
1009;1474;102;102;28;24347;24400;24121
981;1468;102;102;28;24263;23700;24278
1021;1498;102;102;28;24014;24094;23926
1028;1601;102;102;28;24241;23905;24052
1059;1507;102;102;28;24328;23883;23193
997;1456;102;102;28;23332;23758;23640
1019;1477;102;102;28;23585;23533;23401
1186;1506;102;102;28;23722;23643;24344
1038;1569;102;102;28;23832;23623;23860
1056;1601;102;102;28;25619;25242;24257
1031;1442;102;102;28;23891;24274;23044
1003;1503;102;102;28;24404;24344;23177
1013;1468;102;102;28;25422;24432;24398
