install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
4518;1297;219;117;28;23588;24245;23916
4504;1260;219;117;28;23714;23116;23616
4532;1235;219;117;28;23902;23736;23060
4613;1240;219;117;28;23828;23335;24136
4505;1272;219;117;28;23947;24092;23568
4517;1277;219;117;28;24283;24169;23709
4906;1250;219;117;28;23118;23859;22686
4495;1283;219;117;28;24582;24277;23458
4451;1280;219;117;28;23444;24397;23823
4487;1235;219;117;28;24065;25149;24371
4549;1284;219;117;28;24238;24188;23784
4509;1254;219;117;28;23847;24792;23869
4478;1341;219;117;28;25395;24908;23688
4454;1280;219;117;28;23928;23498;23502
4500;1264;219;117;28;23614;23161;22629
4557;1333;219;117;28;24599;24385;24030
4510;1254;219;117;28;24972;24040;24366
4529;1230;219;117;28;23915;23702;24378
4524;1249;219;117;28;23773;23925;23502
4550;1245;219;117;28;24448;23080;24654
4432;1230;219;117;28;23444;23661;24200
4494;1264;219;117;28;24646;23182;23192
4674;1251;219;117;28;25205;23922;22464
4514;1266;219;117;28;24224;23152;23627
4481;1237;219;117;28;24196;23794;22497
4506;1254;219;117;28;24593;24104;23784
4601;1241;219;117;28;24161;24418;24044
4766;1261;219;117;28;25086;23070;23632
4567;1222;219;117;28;24459;24148;23903
4829;1260;219;117;28;23540;23466;23524
4556;1264;219;117;28;24688;23908;23664
4731;1260;219;117;28;25006;25158;23466
4554;1311;219;117;28;24027;23289;23446
4798;1251;219;117;28;24296;23697;22991
5048;1229;219;117;28;23918;24395;24646
4622;1239;219;117;28;23902;23549;24127
4468;1237;219;117;28;24483;24308;23795
4476;1260;219;117;28;23998;24308;23183
4621;1329;219;117;28;24336;24303;23636
4539;1266;219;117;28;24517;24841;24371
4713;1250;219;117;28;23955;24100;23950
4488;1264;219;117;28;23924;23800;23639
4840;1318;219;117;28;24163;23796;23463
4605;1318;219;117;28;23112;22892;23284
4630;1267;219;117;28;24661;25493;25459
4504;1285;219;117;28;23623;22787;23686
4502;1282;219;117;28;24046;24694;24312
4489;1272;219;117;28;23742;23940;23699
4526;1389;219;117;28;24568;25226;24706
4479;1305;219;117;28;23902;24564;24497
4649;1277;219;117;28;24044;24812;23844
4521;1303;219;117;28;23627;24391;23683
4492;1251;219;117;28;24876;24727;24789
4500;1293;219;117;28;23842;23244;25300
4509;1297;219;117;28;23869;23887;24966
4590;1255;219;117;28;24140;23860;23585
4546;1362;219;117;28;24162;23910;24086
4468;1248;219;117;28;24231;23678;23179
4560;1266;219;117;28;24623;23188;23317
4984;1294;219;117;28;23714;23799;23450
4507;1266;219;117;28;24226;23485;25018
4435;1258;219;117;28;23545;23878;23263
4612;1283;219;117;28;23827;23804;23366
4449;1246;219;117;28;23983;23999;23593
4624;1255;219;117;28;24350;23949;24731
4505;1246;219;117;28;23400;24285;23989
4789;1233;219;117;28;23587;23866;22006
4594;1318;219;117;28;23206;22729;23690
4614;1263;219;117;28;24612;23878;23083
4551;1267;219;117;28;23440;23731;24196
4589;1262;219;117;28;24693;23522;24316
4539;1263;219;117;28;24678;23965;25008
4683;1274;219;117;28;23929;24160;23185
4582;1235;219;117;28;23354;23933;23876
4549;1257;219;117;28;23806;23556;24450
4509;1256;219;117;28;24326;22929;23206
4673;1325;219;117;28;23732;24052;23354
4854;1301;219;117;28;24266;23322;23297
4505;1270;219;117;28;23057;23219;23270
4533;1270;219;117;28;24273;23456;23966
4462;1244;219;117;28;24099;23653;22453
4540;1271;219;117;28;24179;23180;23555
4559;1233;219;117;28;23434;22689;23386
4519;1227;219;117;28;23437;22609;23215
4655;1274;219;117;28;24008;24377;23298
4558;1272;219;117;28;22920;22349;22841
4459;1375;219;117;28;23662;23455;22658
4766;1254;219;117;28;23490;23565;23618
4528;1256;219;117;28;23823;22922;23977
4462;1242;219;117;28;23482;23031;22573
4552;1256;219;117;28;24296;23471;23273
4830;1249;219;117;28;23537;23364;23417
4520;1245;219;117;28;23231;22501;22875
4585;1289;219;117;28;22991;23744;23061
4515;1245;219;117;28;22953;22892;22955
4463;1239;219;117;28;22991;23379;22368
4575;1250;219;117;28;23483;23390;22582
4634;1235;219;117;28;23024;23282;23555
4615;1276;219;117;28;23820;23385;23935
4601;1288;219;117;28;23647;22992;22653
4737;1254;219;117;28;22871;23097;22728
5057;1290;219;117;28;23400;22403;22870
5239;1232;219;117;28;22608;22351;22530
4573;1254;219;117;28;23516;22506;23094
4614;1246;219;117;28;23393;22543;23395
4698;1263;219;117;28;24207;23826;23689
4666;1318;219;117;28;23576;23633;23663
4429;1234;219;117;28;23717;23033;22614
4636;1241;219;117;28;23320;23385;24746
4666;1255;219;117;28;23631;23689;23046
4544;1254;219;117;28;23575;23480;23114
4651;1247;219;117;28;23673;24038;23735
4688;1230;219;117;28;23512;23733;22982
4946;1266;219;117;28;24237;23314;23666
5335;1299;219;117;28;23861;22712;23886
4805;1236;219;117;28;24277;23714;23239
4588;1281;219;117;28;25011;24925;23476
4671;1229;219;117;28;24730;24859;24416
4521;1240;219;117;28;23293;23397;23219
4667;1255;219;117;28;24446;24208;22771
4593;1264;219;117;28;23679;23564;23673
4493;1239;219;117;28;24170;24614;24367
4543;1226;219;117;28;23435;23179;23158
