install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
50463;5983;1749;789;220;24980;23909;24326
50463;5857;1749;789;220;25029;24866;24912
52336;6126;1749;789;220;26085;23972;25185
50478;6159;1749;789;220;25138;25035;24310
51003;5886;1749;789;220;25310;24665;24622
51525;5854;1749;789;220;24707;24314;24213
51924;5816;1749;789;220;24717;25257;24883
53209;5798;1749;789;220;24447;25094;23837
51808;5737;1749;789;220;24297;23442;24582
49770;5694;1749;789;220;26981;25374;24866
52134;5869;1749;789;220;25454;24489;25375
51922;5773;1749;789;220;25027;23887;24268
50039;5875;1749;789;220;24915;24584;25002
50425;5688;1749;789;220;24690;25010;25087
51069;5815;1749;789;220;24311;23921;24881
50624;5861;1749;789;220;24947;25207;24974
50105;5741;1749;789;220;25208;24348;24316
49535;5841;1749;789;220;24863;24386;24355
49634;5702;1749;789;220;24914;24793;24239
50751;6680;1749;789;220;24637;24393;24715
50661;5679;1749;789;220;24735;24289;24697
50827;5704;1749;789;220;25302;24249;23431
49937;5849;1749;789;220;25159;24354;24547
49681;5902;1749;789;220;25489;23983;24917
49171;5787;1749;789;220;25463;23831;24505
50068;5697;1749;789;220;25360;24576;24722
48911;6631;1749;789;220;24892;24746;24572
50032;5728;1749;789;220;25237;24417;24441
49939;6035;1749;789;220;25760;25285;25135
49570;5695;1749;789;220;25331;23700;24071
49971;5892;1749;789;220;25190;24770;25372
49294;6031;1749;789;220;24018;25117;25543
49303;5709;1749;789;220;25086;24495;25163
50607;5916;1749;789;220;25567;23526;25029
50866;5680;1749;789;220;25465;24976;24284
49323;5884;1749;789;220;25379;25064;23909
49113;6554;1749;789;220;24431;24579;25523
49641;5789;1749;789;220;25559;24830;24367
50129;5986;1749;789;220;24670;23769;24628
49875;5862;1749;789;220;25277;25079;24430
49150;5717;1749;789;220;25247;25197;24417
48935;5768;1749;789;220;25325;24849;24431
50738;5939;1749;789;220;24862;24592;23839
49060;5748;1749;789;220;25301;24319;24864
50566;5719;1749;789;220;25401;25058;24059
49147;5712;1749;789;220;24431;24834;24672
51692;5953;1749;789;220;25103;24651;24846
49950;5862;1749;789;220;24959;24334;24777
51079;5697;1749;789;220;25446;25671;24926
51052;5804;1749;789;220;25964;26246;25161
50327;5759;1749;789;220;24808;24553;24617
50340;5809;1749;789;220;25677;25107;24647
49239;6158;1749;789;220;24938;25243;24603
49380;5940;1749;789;220;25228;24645;24877
50694;5797;1749;789;220;24432;24492;25578
49162;5825;1749;789;220;25404;24752;24951
49393;6400;1749;789;220;26448;25343;24776
50638;6133;1749;789;220;24616;24523;24912
50442;5886;1749;789;220;25224;24447;24642
50716;5819;1749;789;220;25458;24391;24429
50015;5824;1749;789;220;25240;24209;24582
50109;5712;1749;789;220;25388;24031;24584
50052;5734;1749;789;220;25255;24924;24727
50840;5653;1749;789;220;26083;24367;25019
50349;6108;1749;789;220;25077;24573;24309
51514;5643;1749;789;220;24982;24982;24623
50517;5803;1749;789;220;25023;24025;24266
48885;6531;1749;789;220;24772;23788;23985
50496;5786;1749;789;220;25246;24362;24744
50285;5733;1749;789;220;24859;25220;24935
51017;6184;1749;789;220;25911;25059;24934
49903;5860;1749;789;220;24708;25554;24543
50394;5762;1749;789;220;24992;23893;24034
49329;5724;1749;789;220;24789;24759;24494
50541;5753;1749;789;220;23888;23894;23652
50759;5629;1749;789;220;25320;23783;24537
51415;6084;1749;789;220;24403;24718;24284
49764;6558;1749;789;220;25934;24813;24409
53236;5732;1749;789;220;24561;24392;23978
53030;5751;1749;789;220;24219;24621;24713
51416;5810;1749;789;220;24947;24934;24601
51246;6160;1749;789;220;25489;24580;24157
51093;5647;1749;789;220;23884;24248;24156
51434;5843;1749;789;220;24043;24066;23671
50590;5774;1749;789;220;24834;24966;23925
50176;5720;1749;789;220;25146;24471;23749
50216;5654;1749;789;220;23751;24310;23600
50434;6140;1749;789;220;23767;23853;23460
49504;5892;1749;789;220;24353;23854;23316
50035;5784;1749;789;220;24443;23258;23213
51400;5649;1749;789;220;24818;24261;23370
50233;5661;1749;789;220;25471;24600;24305
51618;6421;1749;789;220;24770;23580;23557
49980;6069;1749;789;220;24516;23832;24090
49491;5690;1749;789;220;24147;23841;24194
50283;5656;1749;789;220;24797;23702;23183
49732;5685;1749;789;220;24619;24121;23641
50853;5678;1749;789;220;24270;24182;23237
49102;5768;1749;789;220;23706;24067;23523
49910;5774;1749;789;220;24061;23846;23789
50211;5683;1749;789;220;24024;23544;23493
51194;5960;1749;789;220;24142;23344;23666
50458;5673;1749;789;220;24573;23612;23796
51102;5818;1749;789;220;23949;23308;23571
52583;5622;1749;789;220;24550;23768;23081
52986;5927;1749;789;220;24269;24286;24049
51892;5757;1749;789;220;24618;24411;24328
52276;5880;1749;789;220;25174;23873;23911
51383;5826;1749;789;220;24763;24643;24384
49852;5605;1749;789;220;24399;24398;23780
49850;5745;1749;789;220;24711;23548;23691
50526;5757;1749;789;220;24869;23828;24701
51163;5759;1749;789;220;25004;24450;24107
49214;5684;1749;789;220;24711;23783;24260
49911;5960;1749;789;220;24154;24457;24614
51293;6828;1749;789;220;24337;24232;23542
50411;5609;1749;789;220;24926;26292;25248
49453;7030;1749;789;220;24775;24073;25038
49916;5861;1749;789;220;24448;25126;24355
49497;5685;1749;789;220;24559;24488;23988
50175;5812;1749;789;220;24239;24630;24123
50004;5911;1749;789;220;24418;24476;24156
51371;5562;1749;789;220;24263;24582;24573
51244;5856;1749;789;220;24000;24256;23918
50383;5825;1749;789;220;24574;24135;24030
49256;5730;1749;789;220;23808;24170;24236
50499;5742;1749;789;220;24405;24528;23980
49603;5706;1749;789;220;24844;24693;24268
49045;6348;1749;789;220;24813;24565;24200
51130;5798;1749;789;220;24295;24740;24784
50550;6319;1749;789;220;26020;24766;24215
50531;6370;1749;789;220;25767;25215;24679
50363;5782;1749;789;220;24231;24486;23898
51156;5697;1749;789;220;24819;24194;23800
51343;5740;1749;789;220;25099;25513;24967
50289;5928;1749;789;220;24676;24084;24766
