install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
35194;8467;1400;616;616;31213;24348;24558
32687;8168;1400;616;616;24823;24759;24545
33558;8037;1400;616;616;25367;23890;24508
32086;8005;1400;616;616;25327;24744;24098
33501;8400;1400;616;616;24163;24475;24387
32822;8070;1400;616;616;25609;24823;24199
34332;7965;1400;616;616;24755;24659;24411
32356;8336;1400;616;616;25006;23534;24280
33979;8058;1400;616;616;23969;24593;24261
33843;7987;1400;616;616;24494;24895;25206
34668;8744;1400;616;616;25512;24592;24361
34304;8055;1400;616;616;24471;24174;23835
33456;8040;1400;616;616;24735;24531;25419
34256;8154;1400;616;616;24932;23993;24460
33205;8209;1400;616;616;23884;23989;23937
33915;7940;1400;616;616;25052;24330;23738
32840;8016;1400;616;616;24636;24106;24487
34615;9085;1400;616;616;25601;24664;24662
33076;8246;1400;616;616;24909;24180;24443
32807;8480;1400;616;616;24477;24657;24095
35530;8731;1400;616;616;24027;23843;24127
33425;8049;1400;616;616;24565;23727;24201
37271;8049;1400;616;616;24201;24381;23562
36985;8342;1400;616;616;25573;24320;24368
32728;7890;1400;616;616;24600;24994;25519
33453;8043;1400;616;616;23668;23991;24639
33006;8083;1400;616;616;24963;24460;24220
32714;8114;1400;616;616;24188;23845;23459
33082;8169;1400;616;616;24615;24381;25371
32528;7973;1400;616;616;24210;24791;24732
33197;8086;1400;616;616;24374;24700;24712
34508;9044;1400;616;616;24967;24463;24550
32861;8024;1400;616;616;24787;24581;24462
32875;8016;1400;616;616;25039;24455;23701
33588;8116;1400;616;616;24857;24149;24239
35066;8308;1400;616;616;25309;25117;23696
33035;8058;1400;616;616;24338;24441;24981
32643;8678;1400;616;616;24723;24133;24634
33312;8128;1400;616;616;25245;24979;24534
33845;8305;1400;616;616;24994;24434;24560
33126;8082;1400;616;616;23974;24469;24514
32761;8116;1400;616;616;25696;25773;25405
33899;8659;1400;616;616;24410;24507;24041
33055;8050;1400;616;616;24956;24716;24922
33884;8028;1400;616;616;24353;24388;24057
33189;8021;1400;616;616;24688;23846;23715
33413;8662;1400;616;616;24951;24183;24049
32594;8523;1400;616;616;25254;24475;24211
32971;8135;1400;616;616;24032;25401;25155
33994;8233;1400;616;616;25501;24875;24645
32547;7996;1400;616;616;24698;24229;23669
32970;8173;1400;616;616;25899;25220;24943
32672;8785;1400;616;616;24885;24934;25180
33237;8274;1400;616;616;24772;24873;24104
33080;8073;1400;616;616;24294;24766;24322
33116;8805;1400;616;616;25188;25219;25700
34259;8027;1400;616;616;24249;25688;24823
33471;8140;1400;616;616;24677;24305;24287
34143;7971;1400;616;616;24508;24605;24587
33061;8158;1400;616;616;24476;24757;24317
32758;8213;1400;616;616;25217;24813;24392
32471;8220;1400;616;616;25128;24532;25040
34408;8120;1400;616;616;24285;24229;24046
33195;8139;1400;616;616;24608;24278;24021
33959;7987;1400;616;616;25519;24099;24989
32633;8295;1400;616;616;24500;24523;24771
34997;8043;1400;616;616;24471;25267;24243
32402;8360;1400;616;616;24559;24544;25045
33505;8001;1400;616;616;25576;24593;24068
34173;7953;1400;616;616;25248;24969;25060
33685;8406;1400;616;616;24430;24506;24264
33164;8193;1400;616;616;25018;24472;24938
33304;8114;1400;616;616;24722;23592;23827
33561;7986;1400;616;616;25096;24387;24349
33223;8397;1400;616;616;24344;24310;24631
33233;8217;1400;616;616;24618;25227;24642
32459;8690;1400;616;616;24635;24505;24232
32401;8409;1400;616;616;24866;24818;24428
33148;8346;1400;616;616;24281;24370;23719
33337;8578;1400;616;616;25502;23498;23998
33716;8035;1400;616;616;25031;24639;23707
33543;7967;1400;616;616;24213;24737;24410
33236;8052;1400;616;616;24173;23062;23536
32864;8760;1400;616;616;24379;24188;24191
33445;7886;1400;616;616;24078;24401;23656
33149;8087;1400;616;616;24173;24177;23884
32853;7983;1400;616;616;24655;24359;24014
34530;8429;1400;616;616;24107;24737;24126
32780;7897;1400;616;616;24678;24376;23456
32845;8188;1400;616;616;24498;24655;23866
33129;8031;1400;616;616;23993;25232;24056
33674;8180;1400;616;616;24597;24528;24497
34212;8336;1400;616;616;24086;23649;24092
33364;8089;1400;616;616;23896;23719;23494
32601;7893;1400;616;616;23496;23634;23392
33251;8180;1400;616;616;23657;23565;24025
33238;8228;1400;616;616;23609;23192;23456
33707;8029;1400;616;616;24362;23769;24038
33178;8338;1400;616;616;24027;23963;23504
32792;8214;1400;616;616;23328;23779;23394
32669;8292;1400;616;616;23868;23319;23530
33556;8576;1400;616;616;24520;23303;23767
32391;8051;1400;616;616;24167;23384;23144
33780;8208;1400;616;616;23997;23575;24204
32564;8169;1400;616;616;23890;23380;23233
32509;8114;1400;616;616;24568;25014;25140
32754;8346;1400;616;616;24936;24278;25761
32798;8030;1400;616;616;24066;24541;24134
32918;7928;1400;616;616;23866;23595;23989
34483;8208;1400;616;616;24338;23882;24175
33651;8093;1400;616;616;23691;24022;24316
33006;8087;1400;616;616;24015;23540;23609
33085;8068;1400;616;616;23626;23242;23970
34589;8316;1400;616;616;24262;24587;24340
33276;8112;1400;616;616;24097;25147;24452
33438;8522;1400;616;616;24424;24820;25081
32944;8116;1400;616;616;25013;24764;23779
34300;8318;1400;616;616;25137;24343;24659
34199;8161;1400;616;616;24380;24999;24421
34181;8222;1400;616;616;24515;24675;24288
34659;8368;1400;616;616;26018;24362;24479
33622;7857;1400;616;616;24030;24367;23793
33466;8082;1400;616;616;24249;24248;23572
34420;8187;1400;616;616;24702;24430;23783
33153;8089;1400;616;616;23959;24251;24085
33654;8002;1400;616;616;23803;24022;23389
33589;8032;1400;616;616;24065;24295;23949
33360;8083;1400;616;616;24617;24301;24528
33789;8402;1400;616;616;24235;23567;23980
33922;7893;1400;616;616;24698;23811;24420
34766;8010;1400;616;616;23681;24340;23829
33855;8240;1400;616;616;24032;24126;24209
33804;8209;1400;616;616;24570;23917;23779
33349;8270;1400;616;616;23889;24106;23937
34677;8008;1400;616;616;24198;24467;24606
32809;8608;1400;616;616;25921;24691;24176
32699;7993;1400;616;616;24580;23574;25110
33587;8121;1400;616;616;24476;24681;24485
33557;8310;1400;616;616;25960;24613;24703
33572;8141;1400;616;616;24726;25107;24237
32986;8173;1400;616;616;25771;24651;24093
33172;8121;1400;616;616;24518;24243;24300
33902;7981;1400;616;616;23857;24048;24015
34447;8106;1400;616;616;24149;23261;24217
35845;7930;1400;616;616;24485;24255;24267
34463;8239;1400;616;616;24791;24109;24051
33258;8154;1400;616;616;23967;23630;24088
33336;8184;1400;616;616;23970;24118;23913
33959;7999;1400;616;616;24107;23666;24217
33314;8210;1400;616;616;24361;24062;24552
34540;8506;1400;616;616;25416;24636;23886
33247;8274;1400;616;616;24408;23603;24023
33526;8065;1400;616;616;24251;24101;24178
33366;7880;1400;616;616;23524;23620;23885
33106;8095;1400;616;616;24616;23272;23936
33465;8114;1400;616;616;24274;24732;24725
33339;8044;1400;616;616;24435;23819;24542
33330;7857;1400;616;616;24325;24916;24069
34251;7903;1400;616;616;23577;24148;24727
34475;7955;1400;616;616;25626;24288;24785
35004;8076;1400;616;616;24052;24451;23867
35248;8668;1400;616;616;24084;24282;24004
33446;8731;1400;616;616;25586;25215;25016
34215;8228;1400;616;616;23838;23740;24036
33565;8000;1400;616;616;23796;23684;23949
34003;8628;1400;616;616;25013;25121;25340
33270;8378;1400;616;616;25506;25167;24833
32507;8092;1400;616;616;24257;23850;25117
34885;8163;1400;616;616;24912;23877;24902
