svelte-yarn;svelte-kit-yarn;react-yarn;react-vite-yarn;react-next-yarn;vue-yarn;vue-nuxt-yarn;angular-yarn;svelte-build;svelte-kit-build;react-build;react-vite-build;react-next-build;vue-build;vue-nuxt-build;angular-build;svelte-build-size;svelte-kit-build-size;react-build-size;react-vite-build-size;react-next-build-size;vue-build-size;vue-nuxt-build-size;angular-build-size
;;;;;;;;1496;5572;7901;4759;18750;6998;7099;24759;28;124;548;164;396;684;184;204
;;;;;;;;1455;5381;7931;4918;23532;6930;6853;24896;28;124;548;164;396;684;184;204
;;;;;;;;1451;5574;8372;4910;19768;7329;7340;24911;28;124;548;164;396;684;184;204
;;;;;;;;1434;5452;8206;5135;19003;7288;7164;25710;28;124;548;164;396;684;184;204
;;;;;;;;1485;5502;8164;4960;19211;7070;7057;25509;28;124;548;164;396;684;184;204
;;;;;;;;1458;5676;8155;4755;19596;7211;7028;25200;28;124;548;164;396;684;184;204
;;;;;;;;1456;5690;7998;4853;18972;7327;7372;25070;28;124;548;164;396;684;184;204
;;;;;;;;1461;5567;8158;5010;19509;7241;7217;25152;28;124;548;164;396;684;184;204
;;;;;;;;1487;5625;8235;4927;19127;7436;7226;25377;28;124;548;164;396;684;184;204
;;;;;;;;1461;5678;8224;4921;19198;7149;7270;25310;28;124;548;164;396;684;184;204
;;;;;;;;1487;5555;8198;5232;19700;7284;7222;26043;28;124;548;164;396;684;184;204
;;;;;;;;1550;5607;8089;4993;20136;7292;7322;25690;28;124;548;164;396;684;184;204
;;;;;;;;1473;5768;8003;4858;19299;7287;7160;25562;28;124;548;164;396;684;184;204
;;;;;;;;1530;5835;8137;4789;19522;7192;7196;25128;28;124;548;164;396;684;184;204
;;;;;;;;1482;5660;8371;4916;19204;7390;7502;24972;28;124;548;164;396;684;184;204
;;;;;;;;1458;5539;8445;5092;24399;7389;7372;25239;28;124;548;164;396;684;184;204
;;;;;;;;1464;5757;8480;4954;19634;7460;7131;25598;28;124;548;164;396;684;184;204
;;;;;;;;1501;5562;8180;5007;24186;7463;7065;24847;28;124;548;164;396;684;184;204
;;;;;;;;1492;5521;8523;5523;19233;7360;7063;25794;28;124;548;164;396;684;184;204
;;;;;;;;1498;5799;8273;4899;19173;7459;7642;25027;28;124;548;164;396;684;184;204
;;;;;;;;1422;5378;7971;5080;19138;7384;7379;25137;28;124;548;164;396;684;184;204
