install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
9804;29202;1812;825;208;0;0;0
9391;28321;1812;825;208;0;0;0
10715;30909;1812;825;208;0;0;0
10825;31968;1812;825;208;0;0;0
9573;28667;1812;825;208;0;0;0
9755;29061;1812;825;208;0;0;0
9844;29246;1812;825;208;0;0;0
10462;28717;1812;825;208;0;0;0
10078;29550;1812;825;208;0;0;0
10039;29289;1812;825;208;0;0;0
10053;30275;1812;825;208;0;0;0
10329;29076;1812;825;208;0;0;0
10396;29671;1812;825;208;0;0;0
9927;29888;1812;825;208;0;0;0
10100;30071;1812;825;208;0;0;0
10168;30001;1812;825;208;0;0;0
9879;29461;1812;825;208;0;0;0
9773;28959;1812;825;208;0;0;0
9643;29725;1812;825;208;0;0;0
10058;28901;1812;825;208;0;0;0
10041;29696;1812;825;208;0;0;0
11136;31520;1812;825;208;0;0;0
10662;32060;1812;825;208;0;0;0
9764;29988;1812;825;208;0;0;0
10128;29730;1812;825;208;0;0;0
9909;29515;1812;825;208;0;0;0
9992;29919;1812;825;208;0;0;0
10639;31938;1812;825;208;0;0;0
10268;31323;1812;825;208;0;0;0
10193;29990;1812;825;208;0;0;0
10706;31297;1812;825;208;0;0;0
9876;30631;1812;825;208;0;0;0
10317;30365;1812;825;208;0;0;0
10971;31092;1812;825;208;0;0;0
11146;31532;1812;825;208;0;0;0
10441;30396;1812;825;208;0;0;0
10257;30636;1812;825;208;0;0;0
10023;30952;1812;825;208;0;0;0
10854;30211;1812;825;208;0;0;0
11881;32007;1812;825;208;0;0;0
11556;32615;1812;825;208;0;0;0
10324;30224;1812;825;208;0;0;0
10436;30960;1812;825;208;0;0;0
10235;31438;1812;825;208;0;0;0
10704;30658;1812;825;208;0;0;0
10991;31438;1812;825;208;0;0;0
10843;31313;1812;825;208;0;0;0
9889;30459;1812;825;208;0;0;0
10771;32696;1812;825;208;0;0;0
10797;31686;1812;825;208;0;0;0
10707;29939;1812;825;208;0;0;0
11320;32504;1812;825;208;0;0;0
10571;31304;1812;825;208;0;0;0
10694;30511;1812;825;208;0;0;0
