install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
1713;5714;171;102;164;0;0;0
1812;5643;171;102;164;0;0;0
1962;6138;171;102;164;0;0;0
1875;6036;171;102;164;0;0;0
1687;5746;171;102;164;0;0;0
1925;5903;171;102;164;0;0;0
1677;5525;171;102;164;0;0;0
1694;5547;171;102;164;0;0;0
1748;5645;171;102;164;0;0;0
1673;5339;171;102;164;0;0;0
1713;5809;171;102;164;0;0;0
1780;5805;171;102;164;0;0;0
1868;5972;171;102;164;0;0;0
1816;5635;171;102;164;0;0;0
1763;5953;171;102;164;0;0;0
1752;5792;171;102;164;0;0;0
1745;5648;171;102;164;0;0;0
1860;5706;171;102;164;0;0;0
1764;5759;171;102;164;0;0;0
1765;5776;171;102;164;0;0;0
1758;6050;171;102;164;0;0;0
1863;5911;171;102;164;0;0;0
1801;5829;171;102;164;0;0;0
1948;5975;171;102;164;0;0;0
1755;5984;171;102;164;0;0;0
1813;5778;171;102;164;0;0;0
1732;5641;171;102;164;0;0;0
1946;6348;171;102;164;0;0;0
1775;5592;171;102;164;0;0;0
1732;5775;171;102;164;0;0;0
1747;6128;171;102;164;0;0;0
1727;5696;171;102;164;0;0;0
1696;5840;171;102;164;0;0;0
1879;6332;171;102;164;0;0;0
1813;5799;171;102;164;0;0;0
2059;5936;171;102;164;0;0;0
1783;5828;171;102;164;0;0;0
1767;5974;171;102;164;0;0;0
1910;6226;171;102;164;0;0;0
1922;6275;171;102;164;0;0;0
1858;6047;171;102;164;0;0;0
1810;6077;171;102;164;0;0;0
1877;6054;171;102;164;0;0;0
1840;6268;171;102;164;0;0;0
1965;6290;171;102;164;0;0;0
1783;6198;171;102;164;0;0;0
1898;6182;171;102;164;0;0;0
1857;6121;171;102;164;0;0;0
1845;6139;171;102;164;0;0;0
1815;5971;171;102;164;0;0;0
1919;6388;171;102;164;0;0;0
1958;6087;171;102;164;0;0;0
1842;6146;171;102;164;0;0;0
1806;5991;171;102;164;0;0;0
1738;5886;171;102;164;0;0;0
1929;6342;171;102;164;0;0;0
2023;6690;171;102;164;0;0;0
1923;6605;171;102;164;0;0;0
1787;5749;171;102;164;0;0;0
1911;6450;171;102;164;0;0;0
2086;6185;171;102;164;0;0;0
1827;5821;171;102;164;0;0;0
1905;6144;171;102;164;0;0;0
1813;5868;171;102;164;0;0;0
1740;5675;171;102;164;0;0;0
1780;5921;171;102;164;0;0;0
1950;6030;171;102;164;0;0;0
1715;6172;171;102;164;0;0;0
1800;6037;171;102;164;0;0;0
1759;5833;171;102;164;0;0;0
1801;5849;171;102;164;0;0;0
1820;6233;171;102;164;0;0;0
1773;5852;171;102;164;0;0;0
1848;5993;171;102;164;0;0;0
2004;6252;171;102;164;0;0;0
1827;5832;171;102;164;0;0;0
1845;5922;171;102;164;0;0;0
1713;5867;171;102;164;0;0;0
1726;5747;171;102;164;0;0;0
1866;5771;171;102;164;0;0;0
2114;6836;171;102;164;0;0;0
1881;5632;171;102;164;0;0;0
1803;5899;171;102;164;0;0;0
1871;5930;171;102;164;0;0;0
2015;6197;171;102;164;0;0;0
2019;6168;171;102;164;0;0;0
1849;6180;171;102;164;0;0;0
1852;5974;171;102;164;0;0;0
1808;5690;171;102;164;0;0;0
1836;6092;171;102;164;0;0;0
1798;5781;171;102;164;0;0;0
1766;5803;171;102;164;0;0;0
1971;6346;171;102;164;0;0;0
1741;5747;171;102;164;0;0;0
1790;5548;171;102;164;0;0;0
1834;6445;171;102;164;0;0;0
1862;5804;171;102;164;0;0;0
1671;5558;171;102;164;0;0;0
1833;6120;171;102;164;0;0;0
1710;5693;171;102;164;0;0;0
1808;5841;171;102;164;0;0;0
1805;5734;171;102;164;0;0;0
1786;5844;171;102;164;0;0;0
1686;5709;171;102;164;0;0;0
1732;6114;171;102;164;0;0;0
1834;5956;171;102;164;0;0;0
1681;5623;171;102;164;0;0;0
