install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
13925;11732;2617;1129;548;0;0;0
15902;12125;2617;1129;548;0;0;0
15035;12248;2617;1129;548;0;0;0
15946;12310;2617;1129;548;0;0;0
13689;12037;2617;1129;548;0;0;0
14204;12116;2617;1129;548;0;0;0
14162;11562;2617;1129;548;0;0;0
13312;11667;2617;1129;548;0;0;0
13800;12462;2617;1129;548;0;0;0
14388;12344;2617;1129;548;0;0;0
14660;12117;2617;1129;548;0;0;0
13705;11907;2617;1129;548;0;0;0
14221;11976;2617;1129;548;0;0;0
14152;11986;2617;1129;548;0;0;0
14692;12054;2617;1129;548;0;0;0
14802;12170;2617;1129;548;0;0;0
14453;11797;2617;1129;548;0;0;0
14412;12159;2617;1129;548;0;0;0
13653;11824;2617;1129;548;0;0;0
14104;11780;2617;1129;548;0;0;0
13673;11693;2617;1129;548;0;0;0
14846;12381;2617;1129;548;0;0;0
15083;12837;2617;1129;548;0;0;0
14087;12151;2617;1129;548;0;0;0
14575;12045;2617;1129;548;0;0;0
14384;11939;2617;1129;548;0;0;0
14221;12338;2617;1129;548;0;0;0
16321;13626;2617;1129;548;0;0;0
14307;11931;2617;1129;548;0;0;0
13780;11902;2617;1129;548;0;0;0
14694;12633;2617;1129;548;0;0;0
14881;12283;2617;1129;548;0;0;0
14892;12403;2617;1129;548;0;0;0
15469;12746;2617;1129;548;0;0;0
16208;12476;2617;1129;548;0;0;0
14777;12178;2617;1129;548;0;0;0
15204;12163;2617;1129;548;0;0;0
14845;12707;2617;1129;548;0;0;0
14854;12201;2617;1129;548;0;0;0
15105;12949;2617;1129;548;0;0;0
15355;12554;2617;1129;548;0;0;0
14745;12248;2617;1129;548;0;0;0
14189;12472;2617;1129;548;0;0;0
14541;12292;2617;1129;548;0;0;0
14606;12377;2617;1129;548;0;0;0
14823;12384;2617;1129;548;0;0;0
14792;12323;2617;1129;548;0;0;0
14691;12386;2617;1129;548;0;0;0
15148;12767;2617;1129;548;0;0;0
14699;12441;2617;1129;548;0;0;0
15455;12552;2617;1129;548;0;0;0
15689;13585;2617;1129;548;0;0;0
14552;11986;2617;1129;548;0;0;0
15946;12649;2617;1129;548;0;0;0
14603;12511;2617;1129;548;0;0;0
14797;12651;2617;1129;548;0;0;0
16497;13173;2617;1129;548;0;0;0
15494;12755;2617;1129;548;0;0;0
15751;12809;2617;1129;548;0;0;0
15247;12820;2617;1129;548;0;0;0
15521;12943;2617;1129;548;0;0;0
15290;12213;2617;1129;548;0;0;0
15814;13085;2617;1129;548;0;0;0
15400;12629;2617;1129;548;0;0;0
14071;12022;2617;1129;548;0;0;0
14389;12276;2617;1129;548;0;0;0
14998;12020;2617;1129;548;0;0;0
14565;12182;2617;1129;548;0;0;0
15317;12321;2617;1129;548;0;0;0
14289;12476;2617;1129;548;0;0;0
15557;12245;2617;1129;548;0;0;0
14849;12621;2617;1129;548;0;0;0
15026;12204;2617;1129;548;0;0;0
15311;11937;2617;1129;548;0;0;0
15281;13045;2617;1129;548;0;0;0
15892;12657;2617;1129;548;0;0;0
14085;11957;2617;1129;548;0;0;0
15167;12005;2617;1129;548;0;0;0
14286;12890;2617;1129;548;0;0;0
14160;11777;2617;1129;548;0;0;0
15698;12334;2617;1129;548;0;0;0
14537;12819;2617;1129;548;0;0;0
14012;12020;2617;1129;548;0;0;0
14519;12263;2617;1129;548;0;0;0
15063;12587;2617;1129;548;0;0;0
14584;12523;2617;1129;548;0;0;0
15099;12747;2617;1129;548;0;0;0
15813;12916;2617;1129;548;0;0;0
13984;11980;2617;1129;548;0;0;0
14375;12262;2617;1129;548;0;0;0
14499;12321;2617;1129;548;0;0;0
14133;12072;2617;1129;548;0;0;0
19387;14128;2617;1129;548;0;0;0
15892;13473;2617;1129;548;0;0;0
13693;12396;2617;1129;548;0;0;0
14722;12081;2617;1129;548;0;0;0
14004;12051;2617;1129;548;0;0;0
14821;12137;2617;1129;548;0;0;0
