install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
2732;8396;250;132;112;0;0;0
2709;8829;250;132;112;0;0;0
2876;9435;250;132;112;0;0;0
2762;8866;250;132;112;0;0;0
2647;8419;250;132;112;0;0;0
2776;8889;250;132;112;0;0;0
2826;8745;250;132;112;0;0;0
2659;8668;250;132;112;0;0;0
2800;9055;250;132;112;0;0;0
2642;8566;250;132;112;0;0;0
2804;8696;250;132;112;0;0;0
2857;8787;250;132;112;0;0;0
2914;9046;250;132;112;0;0;0
2810;8738;250;132;112;0;0;0
2887;9145;250;132;112;0;0;0
2884;8691;250;132;112;0;0;0
2685;8406;250;132;112;0;0;0
2919;9382;250;132;112;0;0;0
2902;9365;250;132;112;0;0;0
2831;8666;250;132;112;0;0;0
2843;9531;250;132;112;0;0;0
2988;9032;250;132;112;0;0;0
2823;9209;250;132;112;0;0;0
2844;8920;250;132;112;0;0;0
2792;8695;250;132;112;0;0;0
2842;8731;250;132;112;0;0;0
3062;9494;250;132;112;0;0;0
2812;8770;250;132;112;0;0;0
2574;8695;250;132;112;0;0;0
2747;8875;250;132;112;0;0;0
2747;8957;250;132;112;0;0;0
2778;8919;250;132;112;0;0;0
2901;9138;250;132;112;0;0;0
3051;9217;250;132;112;0;0;0
2802;9182;250;132;112;0;0;0
3040;9629;250;132;112;0;0;0
2804;9135;250;132;112;0;0;0
2854;9815;250;132;112;0;0;0
3029;9262;250;132;112;0;0;0
3119;9057;250;132;112;0;0;0
2895;9183;250;132;112;0;0;0
2879;9352;250;132;112;0;0;0
2796;9035;250;132;112;0;0;0
2917;8883;250;132;112;0;0;0
3066;9752;250;132;112;0;0;0
2913;9051;250;132;112;0;0;0
3100;9192;250;132;112;0;0;0
3066;9438;250;132;112;0;0;0
2946;8970;250;132;112;0;0;0
2920;9308;250;132;112;0;0;0
2926;9625;250;132;112;0;0;0
3148;9716;250;132;112;0;0;0
2903;8980;250;132;112;0;0;0
2829;8977;250;132;112;0;0;0
2808;9143;250;132;112;0;0;0
2665;8923;250;132;112;0;0;0
3139;10006;250;132;112;0;0;0
3070;9932;250;132;112;0;0;0
3103;9424;250;132;112;0;0;0
2957;9623;250;132;112;0;0;0
3074;9554;250;132;112;0;0;0
2862;9059;250;132;112;0;0;0
3069;9347;250;132;112;0;0;0
2825;8938;250;132;112;0;0;0
2822;9116;250;132;112;0;0;0
3137;9000;250;132;112;0;0;0
2935;9204;250;132;112;0;0;0
2892;9294;250;132;112;0;0;0
2821;9284;250;132;112;0;0;0
2775;8973;250;132;112;0;0;0
2870;8914;250;132;112;0;0;0
2767;9366;250;132;112;0;0;0
3027;9076;250;132;112;0;0;0
2800;9011;250;132;112;0;0;0
2872;9621;250;132;112;0;0;0
2895;9109;250;132;112;0;0;0
2774;9241;250;132;112;0;0;0
2840;9074;250;132;112;0;0;0
2713;8765;250;132;112;0;0;0
2803;8709;250;132;112;0;0;0
3024;9131;250;132;112;0;0;0
2765;9044;250;132;112;0;0;0
2702;8908;250;132;112;0;0;0
2915;9001;250;132;112;0;0;0
2999;9102;250;132;112;0;0;0
3010;9242;250;132;112;0;0;0
3065;9276;250;132;112;0;0;0
2838;9210;250;132;112;0;0;0
2864;9579;250;132;112;0;0;0
2861;8848;250;132;112;0;0;0
2856;8901;250;132;112;0;0;0
2790;9500;250;132;112;0;0;0
3110;9543;250;132;112;0;0;0
2750;8815;250;132;112;0;0;0
2794;8528;250;132;112;0;0;0
2716;8764;250;132;112;0;0;0
2866;8950;250;132;112;0;0;0
3189;9755;250;132;112;0;0;0
2930;8981;250;132;112;0;0;0
2694;8735;250;132;112;0;0;0
2839;8907;250;132;112;0;0;0
2899;8739;250;132;112;0;0;0
2804;8855;250;132;112;0;0;0
2787;9007;250;132;112;0;0;0
3169;9759;250;132;112;0;0;0
2688;8680;250;132;112;0;0;0
2859;9364;250;132;112;0;0;0
2787;8291;250;132;112;0;0;0
2662;8556;250;132;112;0;0;0
2674;8662;250;132;112;0;0;0
2836;8935;250;132;112;0;0;0
2816;9013;250;132;112;0;0;0
2632;8697;250;132;112;0;0;0
2684;8731;250;132;112;0;0;0
2648;9030;250;132;112;0;0;0
2718;8780;250;132;112;0;0;0
