install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
1793;2621;221;117;28;0;0;0
1767;2503;221;117;28;0;0;0
2028;2669;221;117;28;0;0;0
1885;2586;221;117;28;0;0;0
1686;2383;221;117;28;0;0;0
1769;2604;221;117;28;0;0;0
1735;2506;221;117;28;0;0;0
1717;2441;221;117;28;0;0;0
1837;2628;221;117;28;0;0;0
1838;2662;221;117;28;0;0;0
1723;2402;221;117;28;0;0;0
1755;2510;221;117;28;0;0;0
1905;2668;221;117;28;0;0;0
1906;2698;221;117;28;0;0;0
1784;2556;221;117;28;0;0;0
1811;2890;221;117;28;0;0;0
1727;2553;221;117;28;0;0;0
1949;2838;221;117;28;0;0;0
2001;2589;221;117;28;0;0;0
1724;2762;221;117;28;0;0;0
1762;2622;221;117;28;0;0;0
1863;2851;221;117;28;0;0;0
1813;2590;221;117;28;0;0;0
1772;2657;221;117;28;0;0;0
1883;2543;221;117;28;0;0;0
1807;2491;221;117;28;0;0;0
1897;2760;221;117;28;0;0;0
2157;2723;221;117;28;0;0;0
1702;2549;221;117;28;0;0;0
1979;2548;221;117;28;0;0;0
1915;2654;221;117;28;0;0;0
1907;2513;221;117;28;0;0;0
1951;2739;221;117;28;0;0;0
1903;2666;221;117;28;0;0;0
1741;2611;221;117;28;0;0;0
1921;2706;221;117;28;0;0;0
1883;2722;221;117;28;0;0;0
1936;2574;221;117;28;0;0;0
2061;2812;221;117;28;0;0;0
1838;2640;221;117;28;0;0;0
1673;2673;221;117;28;0;0;0
1869;2549;221;117;28;0;0;0
1775;2723;221;117;28;0;0;0
1811;2619;221;117;28;0;0;0
2107;2681;221;117;28;0;0;0
1941;2632;221;117;28;0;0;0
1919;2802;221;117;28;0;0;0
1976;2938;221;117;28;0;0;0
1825;2811;221;117;28;0;0;0
1945;2666;221;117;28;0;0;0
1920;2837;221;117;28;0;0;0
1970;2908;221;117;28;0;0;0
1843;2517;221;117;28;0;0;0
1891;2672;221;117;28;0;0;0
1937;2709;221;117;28;0;0;0
1746;2555;221;117;28;0;0;0
2042;2939;221;117;28;0;0;0
2101;2876;221;117;28;0;0;0
1842;2765;221;117;28;0;0;0
1933;2735;221;117;28;0;0;0
1807;2688;221;117;28;0;0;0
1950;2673;221;117;28;0;0;0
1904;2661;221;117;28;0;0;0
1940;2576;221;117;28;0;0;0
1832;2498;221;117;28;0;0;0
1872;2670;221;117;28;0;0;0
1848;2663;221;117;28;0;0;0
1770;2605;221;117;28;0;0;0
1861;2914;221;117;28;0;0;0
1870;2652;221;117;28;0;0;0
1864;2618;221;117;28;0;0;0
2137;2807;221;117;28;0;0;0
1858;2767;221;117;28;0;0;0
1886;2588;221;117;28;0;0;0
2009;3030;221;117;28;0;0;0
2029;2549;221;117;28;0;0;0
1892;2665;221;117;28;0;0;0
1821;2620;221;117;28;0;0;0
1922;2557;221;117;28;0;0;0
1752;2467;221;117;28;0;0;0
1905;2850;221;117;28;0;0;0
1850;2595;221;117;28;0;0;0
1867;2589;221;117;28;0;0;0
1883;2750;221;117;28;0;0;0
1808;2675;221;117;28;0;0;0
1823;2756;221;117;28;0;0;0
1901;2762;221;117;28;0;0;0
1790;2490;221;117;28;0;0;0
1920;2587;221;117;28;0;0;0
1838;2500;221;117;28;0;0;0
1832;2666;221;117;28;0;0;0
1692;2545;221;117;28;0;0;0
1887;2615;221;117;28;0;0;0
1764;2534;221;117;28;0;0;0
