install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;chromium;firefox;webkit
6857;9218;1395;626;188;0;0;0
7390;9138;1395;626;188;0;0;0
7759;9441;1395;626;188;0;0;0
6510;8999;1395;626;188;0;0;0
6868;9312;1395;626;188;0;0;0
7340;9405;1395;626;188;0;0;0
6598;8954;1395;626;188;0;0;0
6919;9413;1395;626;188;0;0;0
6724;9542;1395;626;188;0;0;0
7086;9520;1395;626;188;0;0;0
6703;9465;1395;626;188;0;0;0
6785;9432;1395;626;188;0;0;0
7200;9471;1395;626;188;0;0;0
6866;9523;1395;626;188;0;0;0
6988;9747;1395;626;188;0;0;0
6865;9221;1395;626;188;0;0;0
7192;9317;1395;626;188;0;0;0
7087;9544;1395;626;188;0;0;0
7506;10098;1395;626;188;0;0;0
6849;9737;1395;626;188;0;0;0
7368;10117;1395;626;188;0;0;0
7478;9912;1395;626;188;0;0;0
6761;9501;1395;626;188;0;0;0
7315;9754;1395;626;188;0;0;0
7465;9564;1395;626;188;0;0;0
7161;9390;1395;626;188;0;0;0
7236;9795;1395;626;188;0;0;0
7042;9583;1395;626;188;0;0;0
7593;9534;1395;626;188;0;0;0
7225;9591;1395;626;188;0;0;0
7274;9474;1395;626;188;0;0;0
7049;9818;1395;626;188;0;0;0
7157;9904;1395;626;188;0;0;0
7010;10075;1395;626;188;0;0;0
7169;9923;1395;626;188;0;0;0
7851;9590;1395;626;188;0;0;0
7574;9421;1395;626;188;0;0;0
7697;10033;1395;626;188;0;0;0
7927;10210;1395;626;188;0;0;0
7818;10049;1395;626;188;0;0;0
7519;9474;1395;626;188;0;0;0
7218;9715;1395;626;188;0;0;0
7170;9537;1395;626;188;0;0;0
7913;9630;1395;626;188;0;0;0
7480;9927;1395;626;188;0;0;0
6945;9898;1395;626;188;0;0;0
6957;9480;1395;626;188;0;0;0
7197;9640;1395;626;188;0;0;0
7702;10029;1395;626;188;0;0;0
7000;9553;1395;626;188;0;0;0
7689;10267;1395;626;188;0;0;0
7879;10208;1395;626;188;0;0;0
7061;9769;1395;626;188;0;0;0
6864;9637;1395;626;188;0;0;0
7249;9566;1395;626;188;0;0;0
7280;9897;1395;626;188;0;0;0
7814;10574;1395;626;188;0;0;0
8054;10357;1395;626;188;0;0;0
7717;9950;1395;626;188;0;0;0
7682;10255;1395;626;188;0;0;0
7643;9575;1395;626;188;0;0;0
6827;9593;1395;626;188;0;0;0
7294;10257;1395;626;188;0;0;0
6900;9388;1395;626;188;0;0;0
7169;9764;1395;626;188;0;0;0
7399;9993;1395;626;188;0;0;0
7336;9575;1395;626;188;0;0;0
7074;9643;1395;626;188;0;0;0
8081;10591;1395;626;188;0;0;0
7290;9599;1395;626;188;0;0;0
7248;9927;1395;626;188;0;0;0
7491;9592;1395;626;188;0;0;0
7247;9633;1395;626;188;0;0;0
8145;9919;1395;626;188;0;0;0
7528;9938;1395;626;188;0;0;0
7815;9944;1395;626;188;0;0;0
7914;9599;1395;626;188;0;0;0
7178;9401;1395;626;188;0;0;0
6987;9916;1395;626;188;0;0;0
7559;9993;1395;626;188;0;0;0
7551;9476;1395;626;188;0;0;0
7353;9588;1395;626;188;0;0;0
7244;9630;1395;626;188;0;0;0
7340;9634;1395;626;188;0;0;0
7650;10089;1395;626;188;0;0;0
7631;10336;1395;626;188;0;0;0
7274;9926;1395;626;188;0;0;0
7706;10061;1395;626;188;0;0;0
7272;9863;1395;626;188;0;0;0
7222;10016;1395;626;188;0;0;0
7762;9926;1395;626;188;0;0;0
7671;10276;1395;626;188;0;0;0
8009;10255;1395;626;188;0;0;0
7415;9665;1395;626;188;0;0;0
7510;9938;1395;626;188;0;0;0
6912;9378;1395;626;188;0;0;0
7368;9654;1395;626;188;0;0;0
7821;10145;1395;626;188;0;0;0
7259;9650;1395;626;188;0;0;0
7258;9402;1395;626;188;0;0;0
7028;9543;1395;626;188;0;0;0
7135;9459;1395;626;188;0;0;0
7583;9723;1395;626;188;0;0;0
6978;9523;1395;626;188;0;0;0
7970;10195;1395;626;188;0;0;0
7022;9518;1395;626;188;0;0;0
6988;10046;1395;626;188;0;0;0
6961;9054;1395;626;188;0;0;0
7365;9385;1395;626;188;0;0;0
7626;9841;1395;626;188;0;0;0
7393;9752;1395;626;188;0;0;0
6827;9811;1395;626;188;0;0;0
6525;9321;1395;626;188;0;0;0
6599;10043;1395;626;188;0;0;0
6884;9390;1395;626;188;0;0;0
6920;9153;1395;626;188;0;0;0
6812;9192;1395;626;188;0;0;0
7268;9385;1395;626;188;0;0;0
6816;9489;1395;626;188;0;0;0
6971;9369;1395;626;188;0;0;0
6985;9182;1395;626;188;0;0;0
6497;9205;1395;626;188;0;0;0
6780;9135;1395;626;188;0;0;0
6879;9057;1395;626;188;0;0;0
6588;9101;1395;626;188;0;0;0
6921;9119;1395;626;188;0;0;0
7231;9147;1395;626;188;0;0;0
7167;8990;1395;626;188;0;0;0
6955;9285;1395;626;188;0;0;0
6916;9391;1395;626;188;0;0;0
7484;9414;1395;626;188;0;0;0
6609;9040;1395;626;188;0;0;0
6706;8924;1395;626;188;0;0;0
6612;8765;1395;626;188;0;0;0
6661;8887;1395;626;188;0;0;0
6780;9434;1395;626;188;0;0;0
7558;9171;1395;626;188;0;0;0
6687;8836;1395;626;188;0;0;0
6692;9341;1395;626;188;0;0;0
7328;9552;1395;626;188;0;0;0
6959;8982;1395;626;188;0;0;0
7435;9617;1395;626;188;0;0;0
6883;9503;1395;626;188;0;0;0
6405;8857;1395;626;188;0;0;0
6434;8928;1395;626;188;0;0;0
6369;8897;1395;626;188;0;0;0
6897;9100;1395;626;188;0;0;0
7439;9042;1395;626;188;0;0;0
7337;9036;1395;626;188;0;0;0
6630;8917;1395;626;188;0;0;0
6394;8904;1395;626;188;0;0;0
6534;8971;1395;626;188;0;0;0
6183;8753;1395;626;188;0;0;0
6942;8785;1395;626;188;0;0;0
6484;9165;1395;626;188;0;0;0
6558;9321;1395;626;188;0;0;0
6548;9088;1395;626;188;0;0;0
6456;8621;1395;626;188;0;0;0
6368;8888;1395;626;188;0;0;0
6822;8905;1395;626;188;0;0;0
6445;8842;1395;626;188;0;0;0
6697;9426;1395;626;188;0;0;0
6200;8860;1395;626;188;0;0;0
6491;8868;1395;626;188;0;0;0
6198;8731;1395;626;188;0;0;0
6276;8688;1395;626;188;0;0;0
6277;8855;1395;626;188;0;0;0
6865;9018;1395;626;188;0;0;0
6548;8844;1395;626;188;0;0;0
6466;8985;1395;626;188;0;0;0
6736;8798;1395;626;188;0;0;0
6747;8857;1395;626;188;0;0;0
6815;8590;1395;626;188;0;0;0
6472;8492;1395;626;188;0;0;0
6398;9255;1395;626;188;0;0;0
6513;8871;1395;626;188;0;0;0
6517;8812;1395;626;188;0;0;0
6368;8816;1395;626;188;0;0;0
6687;9061;1395;626;188;0;0;0
6140;8673;1395;626;188;0;0;0
6797;9101;1395;626;188;0;0;0
6583;8870;1395;626;188;0;0;0
6300;9091;1395;626;188;0;0;0
6289;9280;1395;626;188;0;0;0
6698;8957;1395;626;188;0;0;0
6714;8810;1395;626;188;0;0;0
6371;8667;1395;626;188;0;0;0
6921;9117;1395;626;188;0;0;0
6720;9012;1395;626;188;0;0;0
6312;8774;1395;626;188;0;0;0
6246;8945;1395;626;188;0;0;0
6205;8782;1395;626;188;0;0;0
6780;9167;1395;626;188;0;0;0
7316;9465;1395;626;188;0;0;0
6487;8931;1395;626;188;0;0;0
6167;9023;1395;626;188;0;0;0
6728;8859;1395;626;188;0;0;0
6616;8866;1395;626;188;0;0;0
6864;9089;1395;626;188;0;0;0
7032;9137;1395;626;188;0;0;0
7020;9258;1395;626;188;0;0;0
6889;8908;1395;626;188;0;0;0
6778;8711;1395;626;188;0;0;0
