install_time;build_time;deps_with_duplicates;deps_without_duplicates;build_size;
5461;8410;1369;608;580;
5722;8400;1369;608;580;
6754;8782;1369;608;580;
5929;8208;1369;608;580;
6181;8442;1369;608;580;
5846;8599;1369;608;580;
5770;8408;1369;608;580;
5660;8062;1369;608;580;
5836;8402;1369;608;580;
5685;8323;1369;608;580;
5968;8347;1369;608;580;
5842;9063;1369;608;580;
6514;8694;1369;608;580;
6235;8408;1369;608;580;
6017;8678;1369;608;580;
6296;8546;1369;608;580;
6566;8668;1369;608;580;
6366;8788;1369;608;580;
6143;9140;1369;608;580;
6188;8717;1369;608;580;
6592;8923;1369;608;580;
6503;8966;1369;608;580;
5927;8373;1369;608;580;
5944;8587;1369;608;580;
6350;8776;1369;608;580;
6129;8973;1369;608;580;
6409;8960;1369;608;580;
6054;8534;1369;608;580;
6115;8667;1369;608;580;
6103;8835;1369;608;580;
6299;8993;1369;608;580;
6118;8885;1369;608;580;
6608;8875;1369;608;580;
6201;9263;1369;608;580;
6077;8659;1369;608;580;
6667;8822;1369;608;580;
6297;8803;1369;608;580;
7349;9437;1369;608;580;
6287;8637;1369;608;580;
6662;9124;1369;608;580;
6227;8724;1369;608;580;
6805;8987;1369;608;580;
6050;8728;1369;608;580;
6162;8828;1369;608;580;
6547;8806;1369;608;580;
6665;8445;1369;608;580;
6469;9031;1369;608;580;
6465;9415;1369;608;580;
6415;9382;1369;608;580;
6159;8553;1369;608;580;
7200;9405;1369;608;580;
6872;9563;1369;608;580;
6137;8667;1369;608;580;
6695;9365;1369;608;580;
6079;8894;1369;608;580;
5906;8112;1369;608;580;
7291;9387;1369;608;580;
7006;9685;1369;608;580;
6753;9072;1369;608;580;
6505;8988;1369;608;580;
6369;9111;1369;608;580;
6339;8613;1369;608;580;
6292;9041;1369;608;580;
6004;8751;1369;608;580;
5930;8442;1369;608;580;
6144;8896;1369;608;580;
6117;8614;1369;608;580;
6145;8548;1369;608;580;
6552;9067;1369;608;580;
6085;8677;1369;608;580;
5952;8289;1369;608;580;
6209;8884;1369;608;580;
5882;8754;1369;608;580;
6471;8994;1369;608;580;
6829;9078;1369;608;580;
6500;8723;1369;608;580;
6094;8902;1369;608;580;
6571;8641;1369;608;580;
6052;8612;1369;608;580;
6176;9177;1369;608;580;
6211;8857;1369;608;580;
6531;8793;1369;608;580;
5939;8968;1369;608;580;
6117;8737;1369;608;580;
6898;8889;1369;608;580;
6621;9343;1369;608;580;
6765;9060;1369;608;580;
6456;8978;1369;608;580;
6975;9482;1369;608;580;
6024;8624;1369;608;580;
6105;8711;1369;608;580;
6769;9576;1369;608;580;
6253;9379;1369;608;580;
5999;8564;1369;608;580;
5938;8375;1369;608;580;
5886;8679;1369;608;580;
5975;8730;1369;608;580;
6603;9250;1369;608;580;
6620;9149;1369;608;580;
6228;8666;1369;608;580;
6346;8667;1369;608;580;
6081;8667;1369;608;580;
6279;8661;1369;608;580;
6487;8760;1369;608;580;
7063;9375;1369;608;580;
6230;8667;1369;608;580;
5968;8874;1369;608;580;
5736;8436;1369;608;580;
6061;8341;1369;608;580;
6074;8048;1369;608;580;
6763;8783;1369;608;580;
